id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_nikke_clay_04_1,d_nikke_clay_04,,Self,,,Locale_NikkeEpisode:d_nikke_clay_04_1,False,City_d,,,,,,10,10,0,,bgm_story_orangepop,,None,None,,None,False,clay,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_clay_04_2,d_nikke_clay_04,,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_04_2,True,,,,,,,10,10,0,,,,None,None,,None,False,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_clay_04_3,d_nikke_clay_04,,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_04_3,True,,,,,,,10,10,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_clay_04_4,d_nikke_clay_04,,Self,,,Locale_NikkeEpisode:d_nikke_clay_04_4,False,,,,,,,10,10,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_clay_04_5,d_nikke_clay_04,,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_04_5,True,,,,,,,10,10,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_clay_04_6,d_nikke_clay_04,,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_04_6,True,,,,,,,10,10,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_clay_04_7,d_nikke_clay_04,,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_04_7,True,,,,,,,10,10,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_clay_04_8,d_nikke_clay_04,,Self,,,Locale_NikkeEpisode:d_nikke_clay_04_8,False,,,,,,,10,10,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_clay_04_9,d_nikke_clay_04,,Self,,,Locale_NikkeEpisode:d_nikke_clay_04_9,False,,,,,,,10,10,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_clay_04_10,d_nikke_clay_04,,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_04_10,True,,,,,,,10,10,0,,,,None,None,,None,False,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_clay_04_11,d_nikke_clay_04,,Narration,,,Locale_NikkeEpisode:d_nikke_clay_04_11,False,CommanderRoom,,,,,,black,black,0,sfx_scn_autodooropen,none,,None,None,,None,False,,clay,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_clay_04_12,d_nikke_clay_04,,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_clay_04_12,True,,,,,,,10,10,0,,bgm_story_whosdumber,,None,None,,None,False,,,,,anis,,1,idle,neon,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_clay_04_13,d_nikke_clay_04,,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_clay_04_13,True,,,,,,,10,10,0,,,,None,None,,None,False,,,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_clay_04_14,d_nikke_clay_04,,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_clay_04_14,True,,,,,,,10,S_130,0,,,,None,None,,None,False,,,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_clay_04_15,d_nikke_clay_04,,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_clay_04_15,True,,,,,,,S_130,S_130,0,,,,None,None,,None,False,,,,,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_clay_04_16,d_nikke_clay_04,,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_clay_04_16,True,,,,,,,S_130,S_1300,0,,,,None,None,,None,False,,,,,,,1,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_clay_04_17,d_nikke_clay_04,,Monologue,neon,,Locale_NikkeEpisode:d_nikke_clay_04_17,True,,,,,,,S_1300,12,0,,,,None,None,,None,False,,,,,,,1,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_clay_04_18,d_nikke_clay_04,,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_clay_04_18,True,,,,,,,12,12,0,,,,None,None,,None,False,,,,,,,1,idle,,,13,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_clay_04_19,d_nikke_clay_04,,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_04_19,True,,,,,,,3,30,0,,,,None,None,,None,False,clay,,3,idle,,,1,idle,,,13,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
