id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_nikke_tove_05_1,d_nikke_tove_05,,Monologue,,,Locale_NikkeEpisode:d_nikke_tove_05_1,True,IceLand_03,,,,,,3,S_30,0,,bgm_frostpillar,,None,None,,None,False,tove,,3,idle,ludmilla,,1,think,alice,,13,idle,neve,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_2,d_nikke_tove_05,,Monologue,,,Locale_NikkeEpisode:d_nikke_tove_05_2,True,,,,,,,S_30,S_30,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_3,d_nikke_tove_05,,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_05_3,True,,,,,,,S_30,S_30,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_4,d_nikke_tove_05,,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_05_4,True,,,,,,,S_30,S_30,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_5,d_nikke_tove_05,,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_05_5,True,,,,,,,S_30,S_30,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_6,d_nikke_tove_05,,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_05_6,True,,,,,,,S_30,S_30,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_7,d_nikke_tove_05,,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_05_7,True,,,,,,,S_30,S_30,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_8,d_nikke_tove_05,,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_05_8,True,,,,,,,S_30,S_30,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_9,d_nikke_tove_05,,Narration,tove,,Locale_NikkeEpisode:d_nikke_tove_05_9,True,,,,,,,S_30,S_30,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_10,d_nikke_tove_05,,Monologue,tove,,Locale_NikkeEpisode:d_nikke_tove_05_10,True,,,,,,,S_30,S_300,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_11,d_nikke_tove_05,,Speech,survivornikke,survivornikke,Locale_NikkeEpisode:d_nikke_tove_05_11,True,,,,,,,S_300,S_300,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_12,d_nikke_tove_05,,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_05_12,True,,,,,,,S_300,S_300,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_13,d_nikke_tove_05,,Monologue,tove,,Locale_NikkeEpisode:d_nikke_tove_05_13,True,,,,,,,S_300,S_300,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_14,d_nikke_tove_05,,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_05_14,True,,,,,,,S_300,S_300,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_15,d_nikke_tove_05,,Speech,survivornikke,survivornikke,Locale_NikkeEpisode:d_nikke_tove_05_15,True,,,,,,,S_300,S_300,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_16,d_nikke_tove_05,,Narration,survivornikke,,Locale_NikkeEpisode:d_nikke_tove_05_16,True,,,,,,,S_300,S_300,0,sfx_scn_swallow,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_17,d_nikke_tove_05,,Speech,survivornikke,survivornikke,Locale_NikkeEpisode:d_nikke_tove_05_17,True,,,,,,,S_300,S_30,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_18,d_nikke_tove_05,,Speech,survivornikke,survivornikke,Locale_NikkeEpisode:d_nikke_tove_05_18,True,,,,,,,S_30,S_30,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_19,d_nikke_tove_05,,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_05_19,True,,,,,,,S_30,S_30,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_20,d_nikke_tove_05,,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_05_20,True,,,,,,,S_30,S_30,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_21,d_nikke_tove_05,,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_05_21,True,,,,,,,S_30,S_30,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_22,d_nikke_tove_05,,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_05_22,True,,,,,,,S_30,S_30,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_23,d_nikke_tove_05,,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_tove_05_23,True,,,,,,,S_30,2,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_24,d_nikke_tove_05,,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_05_24,True,,,,,,,2,2,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_25,d_nikke_tove_05,,Monologue,tove,,Locale_NikkeEpisode:d_nikke_tove_05_25,True,,,,,,,2,2,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_26,d_nikke_tove_05,,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_05_26,True,,,,,,,2,2,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_27,d_nikke_tove_05,,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_05_27,True,,,,,,,2,2,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_28,d_nikke_tove_05,,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_05_28,True,,,,,,,2,2,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_29,d_nikke_tove_05,,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_05_29,True,,,,,,,2,2,0,,,,None,None,,None,False,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_tove_05_30,d_nikke_tove_05,,Speech,alice,alice,Locale_NikkeEpisode:d_nikke_tove_05_30,True,,,,,,,2,14,0,,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
