id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,set_filter_01,set_camera_shake,play_sound,jump_target
d_nikke_pepper_01_1,d_nikke_pepper_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_pepper_01_1,True,rapi,1,worry,anis,13,worry,neon,15,worry,Hospital,1,1,1.0,bgm_story_leisuretime,,,,,,,
d_nikke_pepper_01_2,d_nikke_pepper_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_pepper_01_2,True,,1,worry,,13,worry,,15,worry,,1,1315,1.0,,,,,,,,
d_nikke_pepper_01_3,d_nikke_pepper_01,Self,,Self,Locale_NikkeEpisode:d_nikke_pepper_01_3,False,,1,worry,,13,worry,,15,worry,,1315,1315,1.0,,,,,,,,
d_nikke_pepper_01_4,d_nikke_pepper_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_pepper_01_4,True,,1,worry,,13,worry,,15,worry,,1315,1315,1.0,,,,,,,,
d_nikke_pepper_01_5,d_nikke_pepper_01,Self,,Self,Locale_NikkeEpisode:d_nikke_pepper_01_5,False,,1,worry,,13,worry,,15,worry,,1315,1315,1.0,,,,,,,,
d_nikke_pepper_01_6,d_nikke_pepper_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_pepper_01_6,False,,1,idle,,13,worry,,15,worry,,1315,1,1.0,,,,,,,,
d_nikke_pepper_01_7,d_nikke_pepper_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_pepper_01_7,True,,1,idle,,13,worry,,15,worry,,1,10,1.0,,,,,,,,
d_nikke_pepper_01_8,d_nikke_pepper_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_pepper_01_8,True,,1,idle,,13,worry,,15,idle,,10,10,1.0,,,,,,,,
d_nikke_pepper_01_9,d_nikke_pepper_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_pepper_01_9,True,,1,idle,,13,idle,,15,idle,,10,1315,1.0,,,,,,,,
d_nikke_pepper_01_10,d_nikke_pepper_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_pepper_01_10,True,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,,,,,,,
d_nikke_pepper_01_11,d_nikke_pepper_01,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_pepper_01_11,False,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,rapi,anis,neon,,,,
d_nikke_pepper_01_12,d_nikke_pepper_01,Self,,Self,Locale_NikkeEpisode:d_nikke_pepper_01_12,False,,,,,,,,,,,1315,1,1.0,,,,,,,,
d_nikke_pepper_01_13,d_nikke_pepper_01,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_pepper_01_13,False,,,,,,,,,,,1,1,1.0,,,,,,,,
d_nikke_pepper_01_14,d_nikke_pepper_01,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_pepper_01_14,False,,,,,,,,,,,1,1,1.0,,,,,,,,
d_nikke_pepper_01_15,d_nikke_pepper_01,Self,,Self,Locale_NikkeEpisode:d_nikke_pepper_01_15,False,,,,,,,,,,,1,1,1.0,,,,,,,,
