id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id,jump_target,fade,play_sound,set_filter_01,set_filter_02
d_nikke_dorothy_02_1,d_nikke_dorothy_02,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_02_1,False,dorothy,1,idle,Desert_02,black,black,1.0,none,,,,,,,
d_nikke_dorothy_02_2,d_nikke_dorothy_02,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_02_2,False,,1,idle,,1,10,2.0,bgm_recognition_underworld,,,,,,,
d_nikke_dorothy_02_3,d_nikke_dorothy_02,Self,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_02_3,False,,1,idle,,10,10,1.0,,,,,,,,
d_nikke_dorothy_02_4,d_nikke_dorothy_02,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_02_4,True,,1,worry,,10,10,1.0,,dorothy,,,,,,
d_nikke_dorothy_02_5,d_nikke_dorothy_02,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_02_5,True,,1,idle,,10,10,1.0,,dorothy,,,,,,
d_nikke_dorothy_02_6,d_nikke_dorothy_02,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_02_6,True,,1,idle,,10,10,1.0,,dorothy,,,,,,
d_nikke_dorothy_02_7,d_nikke_dorothy_02,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_02_7,True,,1,idle,,10,10,1.0,,dorothy,,,,,,
d_nikke_dorothy_02_8,d_nikke_dorothy_02,Self,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_02_8,False,,1,idle,,10,10,1.0,,,,,,,,
d_nikke_dorothy_02_9,d_nikke_dorothy_02,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_02_9,True,,1,idle,,10,10,1.0,,dorothy,,,,,,
d_nikke_dorothy_02_10,d_nikke_dorothy_02,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_02_10,True,,1,idle,,10,10,1.0,,dorothy,,,,,,
d_nikke_dorothy_02_11,d_nikke_dorothy_02,Self,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_02_11,False,,1,idle,,10,10,1.0,,,,,,,,
d_nikke_dorothy_02_12,d_nikke_dorothy_02,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_02_12,True,,1,idle,,10,10,1.0,,dorothy,,,,,,
d_nikke_dorothy_02_13,d_nikke_dorothy_02,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_02_13,True,,1,idle,,10,10,1.0,,dorothy,,,,,,
d_nikke_dorothy_02_14,d_nikke_dorothy_02,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_02_14,True,,1,idle,,10,10,1.0,,dorothy,,,,,,
d_nikke_dorothy_02_15,d_nikke_dorothy_02,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_02_15,True,,1,idle,,10,10,1.0,,dorothy,,,,,,
d_nikke_dorothy_02_16,d_nikke_dorothy_02,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_02_16,True,,1,idle,,10,10,1.0,,dorothy,,,,,,
d_nikke_dorothy_02_17,d_nikke_dorothy_02,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_02_17,True,,1,idle,,10,10,1.0,,dorothy,,,,,,
d_nikke_dorothy_02_18,d_nikke_dorothy_02,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_02_18,True,,1,idle,,10,10,1.0,,dorothy,,,,,,
d_nikke_dorothy_02_19,d_nikke_dorothy_02,Self,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_02_19,False,,1,idle,,10,10,1.0,,,,,,,,
d_nikke_dorothy_02_20,d_nikke_dorothy_02,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_02_20,True,,1,idle,,10,100,2.0,,dorothy,,,,,,
d_nikke_dorothy_02_21,d_nikke_dorothy_02,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_02_21,True,,1,idle,,100,100,1.0,,dorothy,,,,,,
d_nikke_dorothy_02_22,d_nikke_dorothy_02,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_02_22,True,,1,idle,,100,100,1.0,,dorothy,,,,,,
