id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,play_sound,set_camera_shake,fade
d_nikke_hongryeon_blackshadow_03_1,d_nikke_hongryeon_blackshadow_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_03_1,True,redhood,1,shy,liliweiss,13,idle,hongryeon_o,3,idle,BattleShipBridge,1,1,1.0,event_bgm_redash_alldownhill,,,,,
d_nikke_hongryeon_blackshadow_03_2,d_nikke_hongryeon_blackshadow_03,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_03_2,True,,1,shy,,13,idle,,3,idle,,13,130,1.0,,,,,,
d_nikke_hongryeon_blackshadow_03_3,d_nikke_hongryeon_blackshadow_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_03_3,True,,1,shy,,13,idle,,3,idle,,1,10,1.0,,,,,,
d_nikke_hongryeon_blackshadow_03_4,d_nikke_hongryeon_blackshadow_03,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_03_4,True,,1,shy,,13,idle,,3,idle,,130,1300,1.0,,,,,,
d_nikke_hongryeon_blackshadow_03_5,d_nikke_hongryeon_blackshadow_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_03_5,True,,1,shy,,13,idle,,3,idle,,10,100,1.0,,,,,,
d_nikke_hongryeon_blackshadow_03_6,d_nikke_hongryeon_blackshadow_03,Speech,hongryeon_o,hongryeon_o,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_03_6,True,,1,shy,,13,idle,,3,rage,,3,3,1.0,,,,,,
d_nikke_hongryeon_blackshadow_03_7,d_nikke_hongryeon_blackshadow_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_03_7,True,,1,smile,,13,idle,,3,rage,,12,12,1.0,,,,,,
d_nikke_hongryeon_blackshadow_03_8,d_nikke_hongryeon_blackshadow_03,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_03_8,True,,1,smile,,13,delight,,3,rage,,12,12,1.0,,,,,,
d_nikke_hongryeon_blackshadow_03_9,d_nikke_hongryeon_blackshadow_03,Speech,hongryeon_o,hongryeon_o,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_03_9,True,,1,smile,,13,delight,,3,idle,,12,2,1.0,,,,,,
d_nikke_hongryeon_blackshadow_03_10,d_nikke_hongryeon_blackshadow_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_03_10,True,,1,idle,,13,idle,,3,idle,,2,2,1.0,,,,,,
