id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_nikke_c_1_04_1,d_nikke_c_1_04,,Monologue,,,Locale_NikkeEpisode:d_nikke_c_1_04_1,False,Park,,,,,,13,13,0,,bgm_story_sundayintheark,,None,None,,None,False,yulha,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_c_1_04_2,d_nikke_c_1_04,,Monologue,,,Locale_NikkeEpisode:d_nikke_c_1_04_2,False,,,,,,,13,13,0,,,,None,None,,None,False,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_c_1_04_3,d_nikke_c_1_04,,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_c_1_04_3,True,,,,,,,13,L_130,0,,,,None,None,,None,False,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_c_1_04_4,d_nikke_c_1_04,,Self,yulha,,Locale_NikkeEpisode:d_nikke_c_1_04_4,False,,,,,,,L_130,L_130,0,,,,None,None,,None,False,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_c_1_04_5,d_nikke_c_1_04,,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_c_1_04_5,True,,,,,,,L_130,L_130,0,,,,None,None,,None,False,,,13,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_c_1_04_6,d_nikke_c_1_04,,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_c_1_04_6,True,,,,,,,L_130,L_130,0,,,,None,None,,None,False,,,13,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_c_1_04_7,d_nikke_c_1_04,,Self,yulha,,Locale_NikkeEpisode:d_nikke_c_1_04_7,False,,,,,,,L_130,L_130,0,,,,None,None,,None,False,,,13,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_c_1_04_8,d_nikke_c_1_04,,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_c_1_04_8,True,,,,,,,L_130,L_130,0,,,,None,None,,None,False,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_c_1_04_9,d_nikke_c_1_04,,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_c_1_04_9,True,,,,,,,L_130,L_130,0,,,,None,None,,None,False,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_c_1_04_10,d_nikke_c_1_04,,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_c_1_04_10,True,,,,,,,L_130,L_1300,0,,,,None,None,,None,False,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_c_1_04_11,d_nikke_c_1_04,,Self,yulha,,Locale_NikkeEpisode:d_nikke_c_1_04_11,False,,,,,,,L_1300,L_1300,0,,,,None,None,,None,False,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_c_1_04_12,d_nikke_c_1_04,,Monologue,yulha,,Locale_NikkeEpisode:d_nikke_c_1_04_12,False,,,,,,,L_1300,L_1300,0,,,,None,None,,None,False,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_c_1_04_13,d_nikke_c_1_04,,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_c_1_04_13,True,,,,,,,L_1300,L_1300,0,,,,None,None,,None,False,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_c_1_04_14,d_nikke_c_1_04,,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_c_1_04_14,True,,,,,,,L_1300,L_1300,0,,,,None,None,,None,False,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_c_1_04_15,d_nikke_c_1_04,,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_c_1_04_15,True,,,,,,,L_1300,L_1300,0,,,,None,None,,None,False,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_c_1_04_16,d_nikke_c_1_04,,Self,yulha,,Locale_NikkeEpisode:d_nikke_c_1_04_16,False,,,,,,,L_1300,L_1300,0,,,,None,None,,None,False,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_c_1_04_17,d_nikke_c_1_04,,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_c_1_04_17,True,,,,,,,L_1300,L_1300,0,,,,None,None,,None,False,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
