id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_nikke_crown_02_1,d_nikke_crown_02,Self,chime,Locale_NikkeEpisode:d_nikke_crown_02_1,False,anis,7,idle,neon,5,idle,chime,3,idle,crown,1,idle,Desert_02,3,XXS_30,1.0,none,,,,,,
d_nikke_crown_02_2,d_nikke_crown_02,Speech,chime,Locale_NikkeEpisode:d_nikke_crown_02_2,True,,7,idle,,5,idle,,3,idle,,1,idle,,XXS_30,XXS_30,1.0,bgm_story_leisuretime,chime,,,,,
d_nikke_crown_02_3,d_nikke_crown_02,Speech,chime,Locale_NikkeEpisode:d_nikke_crown_02_3,True,,7,idle,,5,idle,,3,idle,,1,idle,,XXS_30,XXS_30,1.0,,chime,,,,,
d_nikke_crown_02_4,d_nikke_crown_02,Speech,chime,Locale_NikkeEpisode:d_nikke_crown_02_4,True,,7,idle,,5,idle,,3,idle,,1,idle,,XXS_30,XXS_30,1.0,,chime,,,,,
d_nikke_crown_02_5,d_nikke_crown_02,Speech,chime,Locale_NikkeEpisode:d_nikke_crown_02_5,True,,7,idle,,5,idle,,3,idle,,1,idle,,XXS_30,XXS_30,1.0,,chime,,,,,
d_nikke_crown_02_6,d_nikke_crown_02,Speech,chime,Locale_NikkeEpisode:d_nikke_crown_02_6,True,,7,idle,,5,idle,,3,smile,,1,idle,,XXS_30,XXS_30,1.0,,chime,,,,,
d_nikke_crown_02_7,d_nikke_crown_02,Self,chime,Locale_NikkeEpisode:d_nikke_crown_02_7,False,,7,idle,,5,idle,,3,smile,,1,idle,,XXS_30,XXS_30,1.0,,,,,,,
d_nikke_crown_02_8,d_nikke_crown_02,Speech,chime,Locale_NikkeEpisode:d_nikke_crown_02_8,True,,7,idle,,5,idle,,3,idle,,1,idle,,XXS_30,XXS_30,1.0,,chime,,,,,
d_nikke_crown_02_9,d_nikke_crown_02,Speech,chime,Locale_NikkeEpisode:d_nikke_crown_02_9,True,,7,idle,,5,idle,,3,idle,,1,idle,,XXS_30,XXS_30,1.0,,chime,,,,,
d_nikke_crown_02_10,d_nikke_crown_02,Self,chime,Locale_NikkeEpisode:d_nikke_crown_02_10,False,,7,idle,,5,idle,,3,idle,,1,idle,,XXS_30,XXS_30,1.0,,,,,,,
d_nikke_crown_02_11,d_nikke_crown_02,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_02_11,False,,7,idle,,5,idle,,3,angry,,1,idle,,XXS_30,3,0.7,,crown,,,,,
d_nikke_crown_02_12,d_nikke_crown_02,Speech,chime,Locale_NikkeEpisode:d_nikke_crown_02_12,True,,7,idle,,5,idle,,3,angry,,1,idle,,3,3,1.0,,chime,,,,,
d_nikke_crown_02_13,d_nikke_crown_02,Speech,chime,Locale_NikkeEpisode:d_nikke_crown_02_13,True,,7,idle,,5,idle,,3,angry,,1,idle,,3,3,1.0,,chime,,,,,
