id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,play_sound,fade,set_filter_01,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_cocoa_02_1,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_1,True,cocoa,1,idle,Backstreet,1,1,1.0,bgm_story_fairytalesend_a,,,,,,,,,,,
d_nikke_cocoa_02_2,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_2,True,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_cocoa_02_3,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_3,True,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_cocoa_02_4,d_nikke_cocoa_02,Self,,Self,Locale_NikkeEpisode:d_nikke_cocoa_02_4,False,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_cocoa_02_5,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_5,True,,1,surprised,,1,XS_10,1.0,,,,,,,,,,,,
d_nikke_cocoa_02_6,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_6,True,,1,surprised,,XS_10,XS_10,1.0,,,,,,,,,,,,
d_nikke_cocoa_02_7,d_nikke_cocoa_02,Choice,,,Locale_NikkeEpisode:d_nikke_cocoa_02_7,False,,1,surprised,,XS_10,XS_10,1.0,,d_nikke_cocoa_02_9,,,,,,,,,,
d_nikke_cocoa_02_8,d_nikke_cocoa_02,Choice,,,Locale_NikkeEpisode:d_nikke_cocoa_02_8,False,,1,surprised,,XS_10,XS_10,1.0,,d_nikke_cocoa_02_12,,,,,,,,,,
d_nikke_cocoa_02_9,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_9,False,,1,surprised,,XS_10,XS_10,1.0,,,,,,,,,,,,
d_nikke_cocoa_02_10,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_10,True,,1,delight,,XS_10,XS_10,1.0,,,,,,,,,,,,
d_nikke_cocoa_02_11,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_11,True,,1,delight,,XS_10,XS_10,1.0,,d_nikke_cocoa_02_15,,,,,,,,,,
d_nikke_cocoa_02_12,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_12,True,,1,delight,,XS_10,XS_10,1.0,,,,,,,,,,,,
d_nikke_cocoa_02_13,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_13,True,,1,delight,,XS_10,XS_10,1.0,,,,,,,,,,,,
d_nikke_cocoa_02_14,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_14,True,,1,delight,,XS_10,XS_10,1.0,,,,,,,,,,,,
d_nikke_cocoa_02_15,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_15,True,,1,serious,,XS_10,XS_30,2.0,,,,,,,,,,,,
d_nikke_cocoa_02_16,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_16,True,,1,serious,,XS_30,XS_30,1.0,,,,,,,,,,,,
d_nikke_cocoa_02_17,d_nikke_cocoa_02,Self,,Self,Locale_NikkeEpisode:d_nikke_cocoa_02_17,False,,1,serious,,XS_30,XS_30,1.0,,,,,,,,,,,,
d_nikke_cocoa_02_18,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_18,True,,1,idle,,XS_30,XS_10,1.0,,,,,,,,,,,,
d_nikke_cocoa_02_19,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_19,True,,1,idle,,XS_10,XS_10,1.0,,,,,,,,,,,,
d_nikke_cocoa_02_20,d_nikke_cocoa_02,Self,,Self,Locale_NikkeEpisode:d_nikke_cocoa_02_20,False,,1,idle,,XS_10,XS_10,1.0,,,,,,,,,,,,
d_nikke_cocoa_02_21,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_21,True,,1,idle,,XS_10,XS_10,2.0,,,,,,,,,,,,
d_nikke_cocoa_02_22,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_22,True,,1,serious,,XS_10,XS_10,1.0,,,,,,,,,,,,
d_nikke_cocoa_02_23,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_23,True,,1,idle,,XS_10,XS_10,1.0,,,,,,,,,,,,
d_nikke_cocoa_02_24,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_24,True,,1,idle,,XS_10,XS_10,1.0,,,,,,,,,,,,
d_nikke_cocoa_02_25,d_nikke_cocoa_02,Self,,Self,Locale_NikkeEpisode:d_nikke_cocoa_02_25,False,,1,idle,,XS_10,XS_10,1.0,,,,,,,,,,,,
d_nikke_cocoa_02_26,d_nikke_cocoa_02,Narration,,Narration,Locale_NikkeEpisode:d_nikke_cocoa_02_26,False,,1,idle,Bar,1,1,1.0,none,,cocoa,sfx_scn_chimebell,black,,,,,,,
d_nikke_cocoa_02_27,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_27,True,cocoa,1,delight,,1,1,1.0,bgm_story_tuffguys,,,,,,,,,,,
d_nikke_cocoa_02_28,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_28,True,,1,delight,,1,1,1.0,,,,,,,,,,,,
d_nikke_cocoa_02_29,d_nikke_cocoa_02,Choice,,,Locale_NikkeEpisode:d_nikke_cocoa_02_29,False,,1,delight,,1,1,1.0,,d_nikke_cocoa_02_31,,,,,,,,,,
d_nikke_cocoa_02_30,d_nikke_cocoa_02,Choice,,,Locale_NikkeEpisode:d_nikke_cocoa_02_30,False,,1,delight,,1,1,1.0,,d_nikke_cocoa_02_31,,,,,,,,,,
d_nikke_cocoa_02_31,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_31,True,,1,idle,,1,1,2.0,,,,,,,,,,,,
