id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,highlight,characters/1/hide_char_id,characters/2/hide_char_id,fade,set_camera_shake
d_nikke_RedHood_05_1,d_nikke_RedHood_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_RedHood_05_1,False,redhood,5,smile_02,anis,7,idle,neon,9,idle,Desert_02_n,17,170,0.3,none,Blur_Low,Vignetting,,,,,
d_nikke_RedHood_05_2,d_nikke_RedHood_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_RedHood_05_2,False,,5,smile_02,,7,idle,,9,idle,,170,170,1.0,event_bgm_redash_alldownhill,Blur_Low,Vignetting,,,,,
d_nikke_RedHood_05_3,d_nikke_RedHood_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_RedHood_05_3,False,,5,smile_02,,7,idle,,9,idle,,170,50,1.0,,Blur_Low,Vignetting,,,,,
d_nikke_RedHood_05_4,d_nikke_RedHood_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_RedHood_05_4,False,,5,smile_02,,7,idle,,9,idle,,50,50,1.0,,Blur_Low,Vignetting,,,,,
d_nikke_RedHood_05_5,d_nikke_RedHood_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_RedHood_05_5,False,,5,smile_02,,7,idle,,9,idle,,50,50,1.0,,Blur_Low,Vignetting,,,,,
d_nikke_RedHood_05_6,d_nikke_RedHood_05,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_05_6,False,,5,smile_02,,7,idle,,9,idle,,50,50,1.0,,Blur_Low,Vignetting,redhood,,,,
d_nikke_RedHood_05_7,d_nikke_RedHood_05,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_05_7,True,,5,smile_02,,7,idle,,9,idle,,50,50,1.0,,Blur_Low,Vignetting,redhood,,,,
d_nikke_RedHood_05_8,d_nikke_RedHood_05,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_05_8,True,,5,smile_02,,7,idle,,9,idle,,50,50,1.0,,Blur_Low,Vignetting,redhood,,,,
d_nikke_RedHood_05_9,d_nikke_RedHood_05,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_05_9,True,,5,smile_02,,7,idle,,9,idle,,50,50,1.0,,Blur_Low,Vignetting,redhood,,,,
d_nikke_RedHood_05_10,d_nikke_RedHood_05,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_05_10,True,,5,smile_02,,7,idle,,9,idle,,50,5,1.0,,Blur_Low,Vignetting,redhood,,,,
