id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,play_sound,set_camera_shake,fade,set_filter_01,set_filter_02
d_nikke_neve_03_1,d_nikke_neve_03,Self,Locale_NikkeEpisode:d_nikke_neve_03_1,False,neve,1,idle,IceLand_01,1,1,1.0,bgm_story_languor,,,,,,,,
d_nikke_neve_03_2,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_2,True,,1,shy,,1,100,1.0,,neve,neve,,,,,,
d_nikke_neve_03_3,d_nikke_neve_03,Self,Locale_NikkeEpisode:d_nikke_neve_03_3,False,,1,shy,,100,100,1.0,,neve,neve,,,,,,
d_nikke_neve_03_4,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_4,True,,1,idle,,100,1,1.0,,neve,neve,,,,,,
d_nikke_neve_03_5,d_nikke_neve_03,Self,Locale_NikkeEpisode:d_nikke_neve_03_5,False,,1,idle,,1,1,1.0,,neve,neve,,,,,,
d_nikke_neve_03_6,d_nikke_neve_03,Choice,Locale_NikkeEpisode:d_nikke_neve_03_6,False,,1,idle,,1,1,1.0,,neve,,d_nikke_neve_03_9,,,,,
d_nikke_neve_03_7,d_nikke_neve_03,Choice,Locale_NikkeEpisode:d_nikke_neve_03_7,False,,1,idle,,1,1,1.0,,neve,,d_nikke_neve_03_8,,,,,
d_nikke_neve_03_8,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_8,True,,1,idle,,1,1,1.0,,neve,neve,d_nikke_neve_03_9,,,,,
d_nikke_neve_03_9,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_9,True,,1,idle,,1,1,1.0,,neve,neve,,,,,,
d_nikke_neve_03_10,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_10,True,,1,idle,,1,1,1.0,,neve,neve,,,,,,
d_nikke_neve_03_11,d_nikke_neve_03,Choice,Locale_NikkeEpisode:d_nikke_neve_03_11,False,,1,idle,,1,1,1.0,,neve,,d_nikke_neve_03_13,,,,,
d_nikke_neve_03_12,d_nikke_neve_03,Choice,Locale_NikkeEpisode:d_nikke_neve_03_12,False,,1,idle,,1,1,1.0,,neve,,d_nikke_neve_03_13,,,,,
d_nikke_neve_03_13,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_13,True,,1,idle,,1,10,1.0,,neve,neve,,,,,,
d_nikke_neve_03_14,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_14,True,,1,idle,,10,10,1.0,,neve,neve,,,,,,
d_nikke_neve_03_15,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_15,True,,1,idle,,10,10,1.0,,neve,neve,,,,,,
d_nikke_neve_03_16,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_16,True,,1,shy,,10,100,2.0,,neve,neve,,,,,,
d_nikke_neve_03_17,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_17,True,,1,sad,,100,1,3.0,,neve,neve,,,,,,
d_nikke_neve_03_18,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_18,True,,1,sad,,1,1,1.0,,neve,neve,,,,,,
d_nikke_neve_03_19,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_19,True,,1,sad,,1,1,1.0,,neve,neve,,,,,,
d_nikke_neve_03_20,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_20,True,,1,sad,,1,1,1.0,,neve,neve,,,,,,
d_nikke_neve_03_21,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_21,True,,1,sad,,1,1,1.0,,neve,neve,,,,,,
d_nikke_neve_03_22,d_nikke_neve_03,Self,Locale_NikkeEpisode:d_nikke_neve_03_22,False,,1,sad,,1,9,1.0,,neve,neve,,,,,,
d_nikke_neve_03_23,d_nikke_neve_03,Narration,Locale_NikkeEpisode:d_nikke_neve_03_23,False,,1,sad,,9,9,1.0,,neve,neve,,sfx_scn_knock,,,,
d_nikke_neve_03_24,d_nikke_neve_03,Monologue,Locale_NikkeEpisode:d_nikke_neve_03_24,False,,1,good,,9,9,1.0,,neve,neve,,,,,,
d_nikke_neve_03_25,d_nikke_neve_03,Self,Locale_NikkeEpisode:d_nikke_neve_03_25,False,,1,good,,9,9,1.0,,neve,neve,,,,,,
d_nikke_neve_03_26,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_26,False,,1,good,,9,1,3.0,,neve,neve,,,,,,
d_nikke_neve_03_27,d_nikke_neve_03,Self,Locale_NikkeEpisode:d_nikke_neve_03_27,False,,1,good,,1,9,3.0,,,,,,,,,
d_nikke_neve_03_28,d_nikke_neve_03,Monologue,Locale_NikkeEpisode:d_nikke_neve_03_28,False,,1,good,,9,9,1.0,,,,,,,,,
d_nikke_neve_03_29,d_nikke_neve_03,Choice,Locale_NikkeEpisode:d_nikke_neve_03_29,False,,1,good,,9,9,1.0,,,,d_nikke_neve_03_31,,,,,
d_nikke_neve_03_30,d_nikke_neve_03,Choice,Locale_NikkeEpisode:d_nikke_neve_03_30,False,,1,good,,9,9,1.0,,,,d_nikke_neve_03_35,,,,,
d_nikke_neve_03_31,d_nikke_neve_03,Narration,Locale_NikkeEpisode:d_nikke_neve_03_31,False,,1,good,,9,9,1.0,,,,,sfx_scn_tablehit,Low_2,,,
d_nikke_neve_03_32,d_nikke_neve_03,Self,Locale_NikkeEpisode:d_nikke_neve_03_32,False,,1,good,,9,9,1.0,,,,,,,,,
d_nikke_neve_03_33,d_nikke_neve_03,Monologue,Locale_NikkeEpisode:d_nikke_neve_03_33,False,,1,good,,9,9,1.0,,,,,,,,,
d_nikke_neve_03_34,d_nikke_neve_03,Monologue,Locale_NikkeEpisode:d_nikke_neve_03_34,False,,1,good,,9,9,1.0,,,,d_nikke_neve_03_35,,,,,
d_nikke_neve_03_35,d_nikke_neve_03,Monologue,Locale_NikkeEpisode:d_nikke_neve_03_35,False,,1,good,,9,1,2.0,,,,,,,,,
d_nikke_neve_03_36,d_nikke_neve_03,Narration,Locale_NikkeEpisode:d_nikke_neve_03_36,False,,1,good,,1,1,1.0,,,,,sfx_scn_poke,,,,
d_nikke_neve_03_37,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_37,False,,1,good,,1,1,1.0,,neve,neve,,,,,,
d_nikke_neve_03_38,d_nikke_neve_03,Self,Locale_NikkeEpisode:d_nikke_neve_03_38,False,,1,good,,1,1,1.0,,,,,,,,,
d_nikke_neve_03_39,d_nikke_neve_03,Narration,Locale_NikkeEpisode:d_nikke_neve_03_39,False,,1,good,,1,1,1.0,,,,,sfx_scn_poke,,,,
d_nikke_neve_03_40,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_40,True,,1,sad,,1,10,1.0,,neve,neve,,,,,,
d_nikke_neve_03_41,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_41,True,,1,sad,,10,10,1.0,,neve,neve,,,,,,
d_nikke_neve_03_42,d_nikke_neve_03,Self,Locale_NikkeEpisode:d_nikke_neve_03_42,False,,1,sad,,10,10,1.0,,,,,,,,,
d_nikke_neve_03_43,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_43,True,,1,sad,,10,10,1.0,,neve,neve,,,,,,
d_nikke_neve_03_44,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_44,True,,1,sad,,10,1,3.0,,neve,neve,,,,,,
d_nikke_neve_03_45,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_45,True,,1,sad,,1,1,1.0,,neve,neve,,,,,,
d_nikke_neve_03_46,d_nikke_neve_03,Narration,Locale_NikkeEpisode:d_nikke_neve_03_46,False,,1,good,,1,1,1.0,,,,,,,,,
d_nikke_neve_03_47,d_nikke_neve_03,Monologue,Locale_NikkeEpisode:d_nikke_neve_03_47,False,,1,good,,1,1,1.0,,,,,,,,,
d_nikke_neve_03_48,d_nikke_neve_03,Narration,Locale_NikkeEpisode:d_nikke_neve_03_48,False,,1,good,,1,1,1.0,,,,,sfx_scn_poke,,,,
d_nikke_neve_03_49,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_49,False,,1,good,,1,1,1.0,,neve,neve,,,,,,
d_nikke_neve_03_50,d_nikke_neve_03,Narration,Locale_NikkeEpisode:d_nikke_neve_03_50,False,,1,good,,1,1,1.0,,,,,sfx_scn_poke,,,,
d_nikke_neve_03_51,d_nikke_neve_03,Self,Locale_NikkeEpisode:d_nikke_neve_03_51,False,,1,good,,1,1,1.0,,,,,,,,,
d_nikke_neve_03_52,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_52,True,,1,angry,,1,100,0.5,none,neve,neve,,,,,,
d_nikke_neve_03_53,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_53,True,,1,angry,,100,100,1.0,,neve,neve,,,,,,
d_nikke_neve_03_54,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_54,True,,1,angry,,100,100,1.0,,neve,neve,,,,,,
d_nikke_neve_03_55,d_nikke_neve_03,Self,Locale_NikkeEpisode:d_nikke_neve_03_55,False,,1,angry,,100,100,1.0,,,,,,,,,
d_nikke_neve_03_56,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_56,False,,1,good,,100,1,3.0,,neve,neve,,,,,,
d_nikke_neve_03_57,d_nikke_neve_03,Monologue,Locale_NikkeEpisode:d_nikke_neve_03_57,False,,1,good,,1,9,3.0,,,,,,,,,
d_nikke_neve_03_58,d_nikke_neve_03,Monologue,Locale_NikkeEpisode:d_nikke_neve_03_58,False,,1,good,,9,9,1.0,bgm_story_languor,,,,,,,,
d_nikke_neve_03_59,d_nikke_neve_03,Narration,Locale_NikkeEpisode:d_nikke_neve_03_59,False,,1,good,,9,9,1.0,,,,,,,black,,
d_nikke_neve_03_60,d_nikke_neve_03,Narration,Locale_NikkeEpisode:d_nikke_neve_03_60,False,,1,good,,9,9,1.0,,,,,sfx_scn_tablehit,Low_2,,,
d_nikke_neve_03_61,d_nikke_neve_03,Narration,Locale_NikkeEpisode:d_nikke_neve_03_61,False,,1,good,,9,9,1.0,,,,,sfx_scn_scratch,,,,
d_nikke_neve_03_62,d_nikke_neve_03,Monologue,Locale_NikkeEpisode:d_nikke_neve_03_62,False,,1,good,,9,9,1.0,,,,,,,,,
d_nikke_neve_03_63,d_nikke_neve_03,Choice,Locale_NikkeEpisode:d_nikke_neve_03_63,False,,1,good,,9,9,1.0,,,,d_nikke_neve_03_65,,,,,
d_nikke_neve_03_64,d_nikke_neve_03,Choice,Locale_NikkeEpisode:d_nikke_neve_03_64,False,,1,good,,9,9,1.0,,,,d_nikke_neve_03_71,,,,,
d_nikke_neve_03_65,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_65,True,,1,idle,,10,10,1.0,,neve,neve,,,,,Grey,Blur_Low
d_nikke_neve_03_66,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_66,True,,1,shy,,10,10,1.0,,neve,neve,,,,,Grey,Blur_Low
d_nikke_neve_03_67,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_67,True,,1,angry,,100,100,1.0,,neve,neve,,,,,Grey,Blur_Low
d_nikke_neve_03_68,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_68,True,,1,angry,,100,100,1.0,,neve,neve,,,,,Grey,Blur_Low
d_nikke_neve_03_69,d_nikke_neve_03,Speech,Locale_NikkeEpisode:d_nikke_neve_03_69,True,,1,angry,,100,100,1.0,,neve,neve,,,,,Grey,Blur_Low
d_nikke_neve_03_70,d_nikke_neve_03,Monologue,Locale_NikkeEpisode:d_nikke_neve_03_70,False,,1,good,,9,9,1.0,,,,d_nikke_neve_03_71,,,,,
d_nikke_neve_03_71,d_nikke_neve_03,Monologue,Locale_NikkeEpisode:d_nikke_neve_03_71,False,,1,good,,9,9,1.0,,,,,,,,,
d_nikke_neve_03_72,d_nikke_neve_03,Narration,Locale_NikkeEpisode:d_nikke_neve_03_72,False,,1,good,,9,9,1.0,,,,,,,black,,
d_nikke_neve_03_73,d_nikke_neve_03,Narration,Locale_NikkeEpisode:d_nikke_neve_03_73,False,,1,good,,9,9,1.0,,,,,,,,,
d_nikke_neve_03_74,d_nikke_neve_03,Monologue,Locale_NikkeEpisode:d_nikke_neve_03_74,False,,1,good,,9,9,1.0,,,,,,,,,
d_nikke_neve_03_75,d_nikke_neve_03,Monologue,Locale_NikkeEpisode:d_nikke_neve_03_75,False,,1,good,,9,9,1.0,,,,,,,,,
d_nikke_neve_03_76,d_nikke_neve_03,Narration,Locale_NikkeEpisode:d_nikke_neve_03_76,False,,1,good,,9,9,1.0,,,,,sfx_scn_scratch,,,,
d_nikke_neve_03_77,d_nikke_neve_03,Narration,Locale_NikkeEpisode:d_nikke_neve_03_77,False,,1,good,,9,9,1.0,,,,,sfx_scn_icecrack,,,,
d_nikke_neve_03_78,d_nikke_neve_03,Monologue,Locale_NikkeEpisode:d_nikke_neve_03_78,False,,1,good,,9,9,1.0,,,,,,,,,
d_nikke_neve_03_79,d_nikke_neve_03,Narration,Locale_NikkeEpisode:d_nikke_neve_03_79,False,,1,good,,9,9,1.0,,,,,sfx_scn_icesplit,,,,
d_nikke_neve_03_80,d_nikke_neve_03,Narration,Locale_NikkeEpisode:d_nikke_neve_03_80,False,,1,good,,9,9,1.0,,,,,sfx_scn_icecrack,,,,
d_nikke_neve_03_81,d_nikke_neve_03,Monologue,Locale_NikkeEpisode:d_nikke_neve_03_81,False,,1,good,,9,9,1.0,,,,,,,,,
d_nikke_neve_03_82,d_nikke_neve_03,Self,Locale_NikkeEpisode:d_nikke_neve_03_82,False,,1,good,,9,9,1.0,,,,,,,,,
d_nikke_neve_03_83,d_nikke_neve_03,Monologue,Locale_NikkeEpisode:d_nikke_neve_03_83,False,,1,good,,9,9,1.0,,,,,,,,,
d_nikke_neve_03_84,d_nikke_neve_03,Monologue,Locale_NikkeEpisode:d_nikke_neve_03_84,False,,1,good,,9,9,1.0,,,,,,,,,
d_nikke_neve_03_85,d_nikke_neve_03,Narration,Locale_NikkeEpisode:d_nikke_neve_03_85,False,,1,good,,9,9,1.0,,,,,,,black,,
d_nikke_neve_03_86,d_nikke_neve_03,Narration,Locale_NikkeEpisode:d_nikke_neve_03_86,False,,1,good,,9,9,1.0,,,,,sfx_scn_waterslide,,,,
d_nikke_neve_03_87,d_nikke_neve_03,Narration,Locale_NikkeEpisode:d_nikke_neve_03_87,False,,1,good,,9,9,1.0,,,,,sfx_scn_waterwalk,,,,
d_nikke_neve_03_88,d_nikke_neve_03,Monologue,Locale_NikkeEpisode:d_nikke_neve_03_88,False,,1,good,,9,9,1.0,,,,,sfx_scn_complite,,,,
