id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id
d_nikke_ce006_01_05_1,d_nikke_ce006_01_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_ce006_01_05_1,True,neon,5,idle,anis,1,idle,rapi,3,idle,ce006_01,13,no,Desert_03,2,2,1.0,none,,,,,
d_nikke_ce006_01_05_2,d_nikke_ce006_01_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_ce006_01_05_2,True,,5,idle,,1,idle,,3,idle,,13,no,,2,2,1.0,,,,,,
d_nikke_ce006_01_05_3,d_nikke_ce006_01_05,Speech,ce006_01,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_05_3,True,,5,idle,,1,idle,,3,idle,,13,no,,2,12,1.3,,,,,,
d_nikke_ce006_01_05_4,d_nikke_ce006_01_05,Speech,ce006_01,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_05_4,True,,5,idle,,1,idle,,3,idle,,13,no,,12,12,1.0,,,,,,
d_nikke_ce006_01_05_5,d_nikke_ce006_01_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_ce006_01_05_5,True,,5,idle,,1,void,,3,idle,,13,no,,12,12,1.0,,,,,,
d_nikke_ce006_01_05_6,d_nikke_ce006_01_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_ce006_01_05_6,True,,5,idle,,1,void,,3,idle,,13,no,,12,12,1.0,,,,,,
d_nikke_ce006_01_05_7,d_nikke_ce006_01_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_ce006_01_05_7,True,,5,idle,,1,void,,3,idle,,13,no,,12,12,1.0,,,,,,
d_nikke_ce006_01_05_8,d_nikke_ce006_01_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_ce006_01_05_8,True,,5,idle,,1,void,,3,idle,,13,no,,12,12,1.0,,,,,,
d_nikke_ce006_01_05_9,d_nikke_ce006_01_05,Speech,ce006_01,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_05_9,True,,5,idle,,1,void,,3,idle,,13,no,,12,12,1.0,,,,,,
d_nikke_ce006_01_05_10,d_nikke_ce006_01_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_ce006_01_05_10,True,,5,idle,,1,void,,3,idle,,13,no,,12,2,1.3,bgm_chapter31_field_beast,,,,,
d_nikke_ce006_01_05_11,d_nikke_ce006_01_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_ce006_01_05_11,True,,5,idle,,1,void,,3,idle,,13,no,,2,2,1.0,,,,,,
d_nikke_ce006_01_05_12,d_nikke_ce006_01_05,Self,anis,,Locale_NikkeEpisode:d_nikke_ce006_01_05_12,False,,5,idle,,1,void,,3,idle,,13,no,,2,2,1.0,,,,,,
d_nikke_ce006_01_05_13,d_nikke_ce006_01_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_ce006_01_05_13,True,,5,idle,,1,void,,3,idle,,13,no,,2,2,1.0,,,,,,
d_nikke_ce006_01_05_14,d_nikke_ce006_01_05,Self,rapi,,Locale_NikkeEpisode:d_nikke_ce006_01_05_14,False,,5,idle,,1,void,,3,idle,,13,no,,2,2,1.0,,,,,,
