id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_nikke_ce006_01_05_1,d_nikke_ce006_01_05,,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_ce006_01_05_1,True,Desert_03,,,,,,2,2,0,,none,,None,None,,None,False,neon,,5,idle,anis,,1,idle,rapi,,3,idle,ce006_01,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_ce006_01_05_2,d_nikke_ce006_01_05,,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_ce006_01_05_2,True,,,,,,,2,2,0,,,,None,None,,None,False,,,5,idle,,,1,idle,,,3,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_ce006_01_05_3,d_nikke_ce006_01_05,,Speech,ce006_01,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_05_3,True,,,,,,,2,12,-858993459,,,,None,None,,None,False,,,5,idle,,,1,idle,,,3,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_ce006_01_05_4,d_nikke_ce006_01_05,,Speech,ce006_01,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_05_4,True,,,,,,,12,12,0,,,,None,None,,None,False,,,5,idle,,,1,idle,,,3,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_ce006_01_05_5,d_nikke_ce006_01_05,,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_ce006_01_05_5,True,,,,,,,12,12,0,,,,None,None,,None,False,,,5,idle,,,1,void,,,3,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_ce006_01_05_6,d_nikke_ce006_01_05,,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_ce006_01_05_6,True,,,,,,,12,12,0,,,,None,None,,None,False,,,5,idle,,,1,void,,,3,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_ce006_01_05_7,d_nikke_ce006_01_05,,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_ce006_01_05_7,True,,,,,,,12,12,0,,,,None,None,,None,False,,,5,idle,,,1,void,,,3,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_ce006_01_05_8,d_nikke_ce006_01_05,,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_ce006_01_05_8,True,,,,,,,12,12,0,,,,None,None,,None,False,,,5,idle,,,1,void,,,3,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_ce006_01_05_9,d_nikke_ce006_01_05,,Speech,ce006_01,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_05_9,True,,,,,,,12,12,0,,,,None,None,,None,False,,,5,idle,,,1,void,,,3,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_ce006_01_05_10,d_nikke_ce006_01_05,,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_ce006_01_05_10,True,,,,,,,12,2,-858993459,,bgm_chapter31_field_beast,,None,None,,None,False,,,5,idle,,,1,void,,,3,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_ce006_01_05_11,d_nikke_ce006_01_05,,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_ce006_01_05_11,True,,,,,,,2,2,0,,,,None,None,,None,False,,,5,idle,,,1,void,,,3,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_ce006_01_05_12,d_nikke_ce006_01_05,,Self,anis,,Locale_NikkeEpisode:d_nikke_ce006_01_05_12,False,,,,,,,2,2,0,,,,None,None,,None,False,,,5,idle,,,1,void,,,3,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_ce006_01_05_13,d_nikke_ce006_01_05,,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_ce006_01_05_13,True,,,,,,,2,2,0,,,,None,None,,None,False,,,5,idle,,,1,void,,,3,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_ce006_01_05_14,d_nikke_ce006_01_05,,Self,rapi,,Locale_NikkeEpisode:d_nikke_ce006_01_05_14,False,,,,,,,2,2,0,,,,None,None,,None,False,,,5,idle,,,1,void,,,3,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_ce006_01_05_15,d_nikke_ce006_01_05,,Speech,ce006_01,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_05_15,True,,,,,,,2,12,-858993459,,,,None,None,,None,False,,,5,idle,,,1,void,,,3,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_ce006_01_05_16,d_nikke_ce006_01_05,,Narration,rapi,,Locale_NikkeEpisode:d_nikke_ce006_01_05_16,False,,,,,,,black,black,0,sfx_scn_gunfire,,,None,None,,None,False,,,5,idle,,,1,void,,,3,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_ce006_01_05_17,d_nikke_ce006_01_05,,Monologue,rapi,,Locale_NikkeEpisode:d_nikke_ce006_01_05_17,False,,,,,,,black,black,0,,,,None,None,,None,False,,,5,idle,,,1,void,,,3,idle,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
