id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
treasurestory_frima_04_1,treasurestory_frima_04,,Monologue,,,Locale_NikkeEpisode:treasurestory_frima_04_1,False,Police,,,,,,black,black,0,,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_frima_04_2,treasurestory_frima_04,,Monologue,,,Locale_NikkeEpisode:treasurestory_frima_04_2,False,,,,,,,black,black,0,,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_frima_04_3,treasurestory_frima_04,,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_frima_04_3,True,,,,,,,XS_20,XS_20,0,,bgm_story_orangepop,,None,None,,None,False,poli,,2,idle,frima,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_frima_04_4,treasurestory_frima_04,,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_frima_04_4,True,,,,,,,XS_20,XS_20,0,,,,None,None,,None,False,,,2,idle,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_frima_04_5,treasurestory_frima_04,,Speech,frima,frima,Locale_NikkeEpisode:treasurestory_frima_04_5,True,,,,,,,XS_20,1,0,,,,None,None,,None,False,,,2,idle,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_frima_04_6,treasurestory_frima_04,,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_frima_04_6,True,,,,,,,1,1,0,,,,None,None,,None,False,,,2,sad,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_frima_04_7,treasurestory_frima_04,,Self,poli,,Locale_NikkeEpisode:treasurestory_frima_04_7,False,,,,,,,1,1,0,,,,None,None,,None,False,,,2,sad,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_frima_04_8,treasurestory_frima_04,,Speech,frima,frima,Locale_NikkeEpisode:treasurestory_frima_04_8,False,,,,,,,1,1,0,,,,None,None,,None,False,,,2,sad,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_frima_04_9,treasurestory_frima_04,,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_frima_04_9,True,,,,,,,1,1,0,,,,None,None,,None,False,,,2,sad,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_frima_04_10,treasurestory_frima_04,,Speech,poli,poli,Locale_NikkeEpisode:treasurestory_frima_04_10,True,,,,,,,1,1,0,,,,None,None,,None,False,,,2,idle,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
