id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,fade,play_sound,characters/0/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,set_camera_shake
d_nikke_ce_003_02_01_1,d_nikke_ce_003_02_01,Speech,ade,ade,Locale_NikkeEpisode:d_nikke_ce_003_02_01_1,True,ce_003_02,1,idle,ade,13,idle,MaidCafe,1,12,1.0,bgm_story_girlstalk,,,,,,,,,,,,,
d_nikke_ce_003_02_01_2,d_nikke_ce_003_02_01,Speech,ade,ade,Locale_NikkeEpisode:d_nikke_ce_003_02_01_2,True,,1,idle,,13,delight,,12,12,1.0,,,,,,,,,,,,,,
d_nikke_ce_003_02_01_3,d_nikke_ce_003_02_01,Speech,ce_003_02,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_01_3,True,,1,idle,,13,delight,,12,12,1.0,,,,,,,,,,,,,,
d_nikke_ce_003_02_01_4,d_nikke_ce_003_02_01,Speech,ce_003_02,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_01_4,True,,1,idle,,13,delight,,12,12,1.0,,,,,,,,,,,,,,
d_nikke_ce_003_02_01_5,d_nikke_ce_003_02_01,Narration,ce_003_02,,Locale_NikkeEpisode:d_nikke_ce_003_02_01_5,False,,1,idle,,13,delight,,12,1,1.0,,ade,black,,,,,,,,,,,
d_nikke_ce_003_02_01_6,d_nikke_ce_003_02_01,Speech,ce_003_02,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_01_6,True,,1,idle,,,,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_ce_003_02_01_7,d_nikke_ce_003_02_01,Speech,ce_003_02,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_01_7,True,,1,idle,,,,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_ce_003_02_01_8,d_nikke_ce_003_02_01,Narration,ce_003_02,,Locale_NikkeEpisode:d_nikke_ce_003_02_01_8,False,,1,idle,,,,,1,10,0.6,none,,,sfx_scn_tablehit,,,,,,,,,,
d_nikke_ce_003_02_01_9,d_nikke_ce_003_02_01,Speech,ce_003_02,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_01_9,True,,1,surprise,,,,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_ce_003_02_01_10,d_nikke_ce_003_02_01,Speech,ce_003_02,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_01_10,True,,1,idle,,,,,10,10,1.0,bgm_story_whosdumber,,,,,,,,,,,,,
d_nikke_ce_003_02_01_11,d_nikke_ce_003_02_01,Speech,ce_003_02,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_01_11,True,,1,idle,,,,,10,10,1.0,,,,sfx_scn_smallfoodfall,,,,,,,,,,
d_nikke_ce_003_02_01_12,d_nikke_ce_003_02_01,Speech,ce_003_02,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_01_12,True,,1,idle,,,,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_ce_003_02_01_13,d_nikke_ce_003_02_01,Speech,ce_003_02,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_01_13,True,,1,idle,,,,,10,10,1.0,,,,sfx_scn_cookknife,,,,,,,,,,
d_nikke_ce_003_02_01_14,d_nikke_ce_003_02_01,Speech,ce_003_02,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_01_14,True,,1,idle,,,,,10,10,1.0,,,,sfx_scn_condiment,,,,,,,,,,
d_nikke_ce_003_02_01_15,d_nikke_ce_003_02_01,Narration,ce_003_02,,Locale_NikkeEpisode:d_nikke_ce_003_02_01_15,False,,1,idle,,,,,10,1,1.0,,,,sfx_scn_muddy,,,,,,,,,,
