id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_camera_shake,characters/1/hide_char_id
d_nikke_snowwhite_young_04_1,d_nikke_snowwhite_young_04,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_1,False,snowwhite_o,1,sad,liliweiss,13,idle,Armory,black,black,1.0,event_bgm_redash_alldownhill,,,,,
d_nikke_snowwhite_young_04_2,d_nikke_snowwhite_young_04,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_2,False,,1,sad,,13,idle,,black,black,2.0,,,,,,
d_nikke_snowwhite_young_04_3,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_3,True,,1,sad,,13,idle,,S_10,S_10,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_4,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_4,True,,1,sad,,13,idle,,130,130,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_5,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_5,True,,1,shy,,13,idle,,130,12,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_6,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_6,True,,1,shy,,13,idle,,12,12,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_7,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_7,True,,1,shy,,13,surprise,,12,12,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_8,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_8,True,,1,idle,,13,surprise,,12,12,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_9,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_9,True,,1,idle,,13,idle,,12,12,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_10,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_10,True,,1,idle,,13,idle,,12,12,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_11,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_11,True,,1,idle,,13,idle,,12,12,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_12,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_12,True,,1,idle,,13,idle,,12,S_10,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_13,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_13,True,,1,idle,,13,idle,,S_10,S_100,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_14,d_nikke_snowwhite_young_04,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_14,False,,1,idle,,13,idle,,S_100,S_10,0.5,,snowwhite_o,,sfx_scn_swordswing,,
d_nikke_snowwhite_young_04_15,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_15,True,,1,idle,,13,idle,,S_10,S_10,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_16,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_16,True,,1,idle,,13,idle,,S_10,S_10,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_17,d_nikke_snowwhite_young_04,Narration,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_17,False,,1,idle,,13,idle,,black,black,1.0,,snowwhite_o,,sfx_scn_remotesignal,,
d_nikke_snowwhite_young_04_18,d_nikke_snowwhite_young_04,Narration,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_18,False,,1,idle,,13,idle,,S_10,S_10,1.0,,snowwhite_o,,sfx_scn_aims,,
d_nikke_snowwhite_young_04_19,d_nikke_snowwhite_young_04,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_19,False,,1,idle,,13,idle,,S_10,S_10,1.0,,snowwhite_o,,,,
d_nikke_snowwhite_young_04_20,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_20,True,,1,idle,,13,idle,,130,130,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_21,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_21,True,,1,idle,,13,idle,,S_10,S_10,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_22,d_nikke_snowwhite_young_04,Narration,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_22,False,,1,idle,,13,idle,,S_10,1,0.5,,snowwhite_o,,sfx_scn_finishshot,Low_2,
d_nikke_snowwhite_young_04_23,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_23,True,,1,idle,,13,idle,,1,1,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_24,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_24,True,,1,idle,,13,idle,,1,12,2.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_25,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_25,True,,1,idle,,13,delight,,12,12,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_26,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_26,True,,1,idle,,13,idle,,12,12,1.0,,liliweiss,liliweiss,,,
d_nikke_snowwhite_young_04_27,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_27,True,,1,sad,,13,idle,,12,12,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_28,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_28,True,,1,sad,,13,idle,,12,12,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_29,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_29,True,,1,sad,,13,idle,,12,12,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_30,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_30,True,,1,sad,,13,idle,,12,12,1.0,,snowwhite_o,snowwhite_o,,,
d_nikke_snowwhite_young_04_31,d_nikke_snowwhite_young_04,Speech,Locale_NikkeEpisode:d_nikke_snowwhite_young_04_31,True,,1,sad,,13,idle,,12,130,2.0,,liliweiss,liliweiss,,,
