id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_exia_05_1,d_nikke_exia_05,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_05_1,True,BriefingRoom,1,1,1.0,bgm_story_fairytalesend_a,,,,,exia,1,delight,,,,,
d_nikke_exia_05_2,d_nikke_exia_05,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_05_2,True,,1,1,1.0,,,,,,,1,delight,,,,,
d_nikke_exia_05_3,d_nikke_exia_05,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_05_3,True,,1,7,2.0,,,,,,,1,delight,,,,,
d_nikke_exia_05_4,d_nikke_exia_05,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_05_4,True,,7,1,1.0,,,,,,,1,delight,,,,,
d_nikke_exia_05_5,d_nikke_exia_05,Self,exia,,Locale_NikkeEpisode:d_nikke_exia_05_5,False,,1,1,1.0,,,,,,,1,delight,,,,,
d_nikke_exia_05_6,d_nikke_exia_05,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_05_6,True,,1,1,1.0,,,,,,,1,idle,,,,,
d_nikke_exia_05_7,d_nikke_exia_05,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_05_7,True,,black,black,0.7,none,,,,,,1,idle,,,,,
d_nikke_exia_05_8,d_nikke_exia_05,Narration,,,Locale_NikkeEpisode:d_nikke_exia_05_8,False,,black,black,1.0,,sfx_scn_noise,,,,,1,idle,exia,,,,
d_nikke_exia_05_9,d_nikke_exia_05,Speech,researcher01,researcher01,Locale_NikkeEpisode:d_nikke_exia_05_9,False,,9,9,1.0,,,,,,,,,,,,,
d_nikke_exia_05_10,d_nikke_exia_05,Speech,researcher01,researcher01,Locale_NikkeEpisode:d_nikke_exia_05_10,True,,9,9,1.0,,,,,,,,,,,,,
d_nikke_exia_05_11,d_nikke_exia_05,Speech,researcher01,researcher01,Locale_NikkeEpisode:d_nikke_exia_05_11,True,,9,9,0.5,,,,,,,,,,,,,
d_nikke_exia_05_12,d_nikke_exia_05,Speech,researcher02,researcher02,Locale_NikkeEpisode:d_nikke_exia_05_12,True,,9,7,1.0,,,,,,,,,,,,,
d_nikke_exia_05_13,d_nikke_exia_05,Speech,researcher02,researcher02,Locale_NikkeEpisode:d_nikke_exia_05_13,True,,7,7,1.0,,,,,,,,,,,,,
d_nikke_exia_05_14,d_nikke_exia_05,Self,,,Locale_NikkeEpisode:d_nikke_exia_05_14,False,Armory,black,black,1.0,bgm_story_fairytalesend_b,,,,,,,,,,,,
d_nikke_exia_05_15,d_nikke_exia_05,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_05_15,True,,4,1,2.0,,sfx_scn_autodooropen,,,,exia,1,idle,,,,,
d_nikke_exia_05_16,d_nikke_exia_05,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_05_16,True,,1,1,1.0,,,,,,,1,idle,,,,,
d_nikke_exia_05_17,d_nikke_exia_05,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_05_17,False,,1,10,1.0,,,,,,,1,"expression_0,good",,,,,
d_nikke_exia_05_18,d_nikke_exia_05,Narration,,,Locale_NikkeEpisode:d_nikke_exia_05_18,False,,black,black,1.0,,sfx_scn_noise,,,,,1,good,,,,,
d_nikke_exia_05_19,d_nikke_exia_05,Speech,android,android,Locale_NikkeEpisode:d_nikke_exia_05_19,False,,4,4,1.0,,,,,,,1,good,,,,,
d_nikke_exia_05_20,d_nikke_exia_05,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_05_20,True,,4,1,1.0,,,,,,,1,good,,,,,
d_nikke_exia_05_21,d_nikke_exia_05,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_05_21,True,EnikkRoom,4,1,2.0,,sfx_scn_autodooropen,black,,,,1,good,,,,,
d_nikke_exia_05_22,d_nikke_exia_05,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_05_22,True,,1,1,1.0,,,,,,,1,good,,,,,
d_nikke_exia_05_23,d_nikke_exia_05,Speech,enikk,enikk,Locale_NikkeEpisode:d_nikke_exia_05_23,False,,30,30,1.0,,,,,,,1,good,,enikk,3,special,
d_nikke_exia_05_24,d_nikke_exia_05,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_05_24,True,,30,2,0.5,,,,,,,1,good,,,3,special,
d_nikke_exia_05_25,d_nikke_exia_05,Self,enikk,,Locale_NikkeEpisode:d_nikke_exia_05_25,False,,2,2,1.0,,,,,,,1,good,,,3,special,
d_nikke_exia_05_26,d_nikke_exia_05,Speech,enikk,enikk,Locale_NikkeEpisode:d_nikke_exia_05_26,True,,2,30,1.0,,,,,,,1,good,,,3,special,
d_nikke_exia_05_27,d_nikke_exia_05,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_05_27,True,,30,10,0.3,none,,,,,,1,good,,,3,special,
d_nikke_exia_05_28,d_nikke_exia_05,Narration,exia,,Locale_NikkeEpisode:d_nikke_exia_05_28,False,,10,10,1.0,,,,,,,1,good,,,3,special,
d_nikke_exia_05_29,d_nikke_exia_05,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_05_29,True,,10,10,1.0,,,,,,,1,good,,,3,special,
d_nikke_exia_05_30,d_nikke_exia_05,Speech,enikk,enikk,Locale_NikkeEpisode:d_nikke_exia_05_30,False,,30,30,1.0,bgm_story_whosdumber,,,,,,1,good,,,3,special,
d_nikke_exia_05_31,d_nikke_exia_05,Speech,enikk,enikk,Locale_NikkeEpisode:d_nikke_exia_05_31,True,,30,30,1.0,,,,,,,1,good,,,3,special,
d_nikke_exia_05_32,d_nikke_exia_05,Speech,enikk,enikk,Locale_NikkeEpisode:d_nikke_exia_05_32,True,,30,30,1.0,,,,,,,1,good,,,3,special,
d_nikke_exia_05_33,d_nikke_exia_05,Self,enikk,,Locale_NikkeEpisode:d_nikke_exia_05_33,False,,30,30,1.0,,,,,,,1,good,,,3,special,
d_nikke_exia_05_34,d_nikke_exia_05,Speech,enikk,enikk,Locale_NikkeEpisode:d_nikke_exia_05_34,True,,30,30,1.0,,,,,,,1,good,,,3,special,
d_nikke_exia_05_35,d_nikke_exia_05,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_05_35,True,,30,10,0.3,,,,,,,1,delight,,,3,special,
d_nikke_exia_05_36,d_nikke_exia_05,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_05_36,True,,10,S_100,1.0,,,,,,,1,delight,,,3,special,
d_nikke_exia_05_37,d_nikke_exia_05,Speech,enikk,enikk,Locale_NikkeEpisode:d_nikke_exia_05_37,True,,S_100,30,0.3,,,,,,,1,delight,,,3,special,
d_nikke_exia_05_38,d_nikke_exia_05,Speech,enikk,enikk,Locale_NikkeEpisode:d_nikke_exia_05_38,True,,30,30,1.0,,,,,,,1,delight,,,3,special,
d_nikke_exia_05_39,d_nikke_exia_05,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_05_39,True,,2,2,1.0,,,,,,,1,good,,,3,special,
d_nikke_exia_05_40,d_nikke_exia_05,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_05_40,True,,2,2,1.0,,,,,,,1,good,,,3,special,
d_nikke_exia_05_41,d_nikke_exia_05,Speech,enikk,enikk,Locale_NikkeEpisode:d_nikke_exia_05_41,True,,2,2,1.0,,,,,,,1,good,,,3,special,
d_nikke_exia_05_42,d_nikke_exia_05,Self,enikk,,Locale_NikkeEpisode:d_nikke_exia_05_42,False,,2,2,1.0,,,,,,,1,good,,,3,special,
d_nikke_exia_05_43,d_nikke_exia_05,Speech,enikk,enikk,Locale_NikkeEpisode:d_nikke_exia_05_43,True,,2,2,1.0,,,,,,,1,good,,,3,special,
