id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_nikke_bready_04_1,d_nikke_bready_04,,Narration,bready,,Locale_NikkeEpisode:d_nikke_bready_04_1,False,CommanderRoom_n,,,,,,1,1,0,sfx_scn_knock,bgm_story_languor,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_2,d_nikke_bready_04,,Self,bready,,Locale_NikkeEpisode:d_nikke_bready_04_2,False,,,,,,,1,1,0,,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_3,d_nikke_bready_04,,Narration,bready,,Locale_NikkeEpisode:d_nikke_bready_04_3,False,,,,,,,1,S_10,-858993459,sfx_scn_autodooropen,,,None,None,,None,False,bready,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_4,d_nikke_bready_04,,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_04_4,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_5,d_nikke_bready_04,,Self,bready,,Locale_NikkeEpisode:d_nikke_bready_04_5,False,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_6,d_nikke_bready_04,,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_04_6,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_7,d_nikke_bready_04,,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_04_7,True,,,,,,,S_10,S_100,-858993459,,,,None,None,,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_8,d_nikke_bready_04,,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_04_8,True,,,,,,,S_100,S_100,0,,,,None,None,,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_9,d_nikke_bready_04,,Self,bready,,Locale_NikkeEpisode:d_nikke_bready_04_9,False,,,,,,,S_100,S_100,0,,,,None,None,,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_10,d_nikke_bready_04,,Self,bready,,Locale_NikkeEpisode:d_nikke_bready_04_10,False,,,,,,,S_100,S_100,0,,,,None,None,,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_11,d_nikke_bready_04,,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_04_11,False,,,,,,,S_100,S_10,-858993459,,,,None,None,,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_12,d_nikke_bready_04,,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_04_12,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_13,d_nikke_bready_04,,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_04_13,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_14,d_nikke_bready_04,,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_04_14,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_15,d_nikke_bready_04,,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_04_15,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_16,d_nikke_bready_04,,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_04_16,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_17,d_nikke_bready_04,,Self,bready,,Locale_NikkeEpisode:d_nikke_bready_04_17,False,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_18,d_nikke_bready_04,,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_04_18,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_19,d_nikke_bready_04,,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_04_19,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_20,d_nikke_bready_04,,Self,bready,,Locale_NikkeEpisode:d_nikke_bready_04_20,False,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_21,d_nikke_bready_04,,Choice,bready,,Locale_NikkeEpisode:d_nikke_bready_04_21,False,,,,,,,S_10,S_10,0,,,,None,None,d_nikke_bready_04_23,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_22,d_nikke_bready_04,,Choice,bready,,Locale_NikkeEpisode:d_nikke_bready_04_22,False,,,,,,,S_10,S_10,0,,,,None,None,d_nikke_bready_04_27,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_23,d_nikke_bready_04,,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_04_23,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_24,d_nikke_bready_04,,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_04_24,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_25,d_nikke_bready_04,,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_04_25,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_26,d_nikke_bready_04,,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_04_26,True,,,,,,,S_10,S_10,0,,,,None,None,d_nikke_bready_04_31,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_27,d_nikke_bready_04,,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_04_27,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_28,d_nikke_bready_04,,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_04_28,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_29,d_nikke_bready_04,,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_04_29,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_30,d_nikke_bready_04,,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_04_30,True,,,,,,,S_10,S_10,0,,,,None,None,d_nikke_bready_04_31,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_31,d_nikke_bready_04,,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_04_31,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_32,d_nikke_bready_04,,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_04_32,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_bready_04_33,d_nikke_bready_04,,Self,bready,,Locale_NikkeEpisode:d_nikke_bready_04_33,False,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
