id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
treasurestory_exia_05_1,treasurestory_exia_05,,Narration,,,Locale_NikkeEpisode:treasurestory_exia_05_1,False,Park_n,,,,,,S_10,S_10,0,,bgm_story_weare,,None,None,,None,False,exia,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_exia_05_2,treasurestory_exia_05,,Self,,,Locale_NikkeEpisode:treasurestory_exia_05_2,False,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_exia_05_3,treasurestory_exia_05,,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_05_3,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_exia_05_4,treasurestory_exia_05,,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_05_4,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_exia_05_5,treasurestory_exia_05,,Self,,,Locale_NikkeEpisode:treasurestory_exia_05_5,False,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_exia_05_6,treasurestory_exia_05,,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_05_6,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_exia_05_7,treasurestory_exia_05,,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_05_7,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_exia_05_8,treasurestory_exia_05,,Self,,,Locale_NikkeEpisode:treasurestory_exia_05_8,False,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_exia_05_9,treasurestory_exia_05,,Self,,,Locale_NikkeEpisode:treasurestory_exia_05_9,False,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_exia_05_10,treasurestory_exia_05,,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_05_10,False,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_exia_05_11,treasurestory_exia_05,,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_05_11,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_exia_05_12,treasurestory_exia_05,,Self,,,Locale_NikkeEpisode:treasurestory_exia_05_12,False,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_exia_05_13,treasurestory_exia_05,,Monologue,,,Locale_NikkeEpisode:treasurestory_exia_05_13,False,,,,,,,black,black,0,,,,None,None,,None,False,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_exia_05_14,treasurestory_exia_05,,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_05_14,False,,,,,,,5,5,0,,,,None,None,,None,False,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_exia_05_15,treasurestory_exia_05,,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_05_15,True,,,,,,,5,5,0,,,,None,None,,None,False,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_exia_05_16,treasurestory_exia_05,,Monologue,,,Locale_NikkeEpisode:treasurestory_exia_05_16,False,,,,,,,5,5,0,,,,None,None,,None,False,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_exia_05_17,treasurestory_exia_05,,Self,,,Locale_NikkeEpisode:treasurestory_exia_05_17,False,,,,,,,5,5,0,,,,None,None,,None,False,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_exia_05_18,treasurestory_exia_05,,Monologue,,,Locale_NikkeEpisode:treasurestory_exia_05_18,False,,,,,,,5,S_50,0,,,,None,None,,None,False,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_exia_05_19,treasurestory_exia_05,,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_05_19,True,,,,,,,S_50,S_50,0,,,,None,None,,None,False,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
