id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,fade
d_nikke_milk_bloomingbunny_01_1,d_nikke_milk_bloomingbunny_01,Speech,milk_b,suspiciousman,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_01_1,False,milk_b,1,good,CoinRushIndoor,1,1,1.0,bgm_story_boogiebox,,,,,,,,,,,,
d_nikke_milk_bloomingbunny_01_2,d_nikke_milk_bloomingbunny_01,Speech,milk_b,milk_b,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_01_2,True,,1,good,,1,1,1.0,,,,,,,,,,,,,
d_nikke_milk_bloomingbunny_01_3,d_nikke_milk_bloomingbunny_01,Monologue,milk_b,,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_01_3,False,,1,good,,1,10,0.5,,sfx_scn_medhit,Low_2,,,,,,,,,,
d_nikke_milk_bloomingbunny_01_4,d_nikke_milk_bloomingbunny_01,Self,milk_b,,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_01_4,False,,1,good,,10,10,1.0,,,,,,,,,,,,,
d_nikke_milk_bloomingbunny_01_5,d_nikke_milk_bloomingbunny_01,Speech,milk_b,milk_b,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_01_5,True,,1,delight,,10,10,1.0,,,,,,,,,,,,,
d_nikke_milk_bloomingbunny_01_6,d_nikke_milk_bloomingbunny_01,Self,milk_b,,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_01_6,False,,1,delight,,10,10,1.0,,,,,,,,,,,,,
d_nikke_milk_bloomingbunny_01_7,d_nikke_milk_bloomingbunny_01,Self,milk_b,,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_01_7,False,,1,delight,,10,10,1.0,,,,,,,,,,,,,
d_nikke_milk_bloomingbunny_01_8,d_nikke_milk_bloomingbunny_01,Speech,milk_b,milk_b,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_01_8,True,,1,shy,,10,10,1.0,,,,,,,,,,,,,
d_nikke_milk_bloomingbunny_01_9,d_nikke_milk_bloomingbunny_01,Speech,milk_b,milk_b,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_01_9,True,,1,shy,,10,10,1.0,,,,,,,,,,,,,
d_nikke_milk_bloomingbunny_01_10,d_nikke_milk_bloomingbunny_01,Speech,milk_b,milk_b,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_01_10,True,,1,shy,,10,10,1.0,,,,,,,,,,,,,
d_nikke_milk_bloomingbunny_01_11,d_nikke_milk_bloomingbunny_01,Speech,milk_b,milk_b,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_01_11,True,,1,shy,,10,10,1.0,,,,,,,,,,,,,
d_nikke_milk_bloomingbunny_01_12,d_nikke_milk_bloomingbunny_01,Speech,milk_b,milk_b,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_01_12,True,,1,shy,,10,10,1.0,,,,,,,,,,,,,
d_nikke_milk_bloomingbunny_01_13,d_nikke_milk_bloomingbunny_01,Self,milk_b,,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_01_13,False,,1,shy,,10,10,1.0,,,,,,,,,,,,,
