id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_nikke_milk_05_1,d_nikke_milk_05,,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_05_1,True,Cafe,,,,,,S_10,S_10,0,,bgm_story_whosdumber,,None,None,,None,False,milk,,1,idle,sugar,,13,idle,frima,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_milk_05_2,d_nikke_milk_05,,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_milk_05_2,True,,,,,,,S_130,S_130,0,,,,None,None,,None,False,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_milk_05_3,d_nikke_milk_05,,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_milk_05_3,True,,,,,,,150,150,0,,,,None,None,,None,False,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_milk_05_4,d_nikke_milk_05,,Monologue,frima,Monologue,Locale_NikkeEpisode:d_nikke_milk_05_4,False,,,,,,,150,150,0,,,,None,None,,None,False,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_milk_05_5,d_nikke_milk_05,,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_05_5,True,,,,,,,150,S_10,0,,,,None,None,,None,False,,,1,angry,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_milk_05_6,d_nikke_milk_05,,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_milk_05_6,True,,,,,,,S_10,1315,0,,,,None,None,,None,False,,,1,angry,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_milk_05_7,d_nikke_milk_05,,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_milk_05_7,True,,,,,,,1315,1315,0,,,,None,None,,None,False,,,1,angry,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_milk_05_8,d_nikke_milk_05,,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_milk_05_8,True,,,,,,,1315,1315,0,,,,None,None,,None,False,,,1,angry,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_milk_05_9,d_nikke_milk_05,,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_05_9,True,,,,,,,1315,1,0,,,,None,None,,None,False,,,1,no,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_milk_05_10,d_nikke_milk_05,,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_milk_05_10,True,,,,,,,1,113,0,,,,None,None,,None,False,,,1,no,,,13,surprise,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_milk_05_11,d_nikke_milk_05,,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_05_11,True,,,,,,,113,113,0,,,,None,None,,None,False,,,1,no,,,13,surprise,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_milk_05_12,d_nikke_milk_05,,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_milk_05_12,True,,,,,,,113,113,0,,,,None,None,,None,False,,,1,no,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_milk_05_13,d_nikke_milk_05,,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_milk_05_13,True,,,,,,,113,1315,0,,,,None,None,,None,False,,,1,no,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_milk_05_14,d_nikke_milk_05,,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_05_14,True,,,,,,,1315,S_10,0,,,,None,None,,None,False,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_milk_05_15,d_nikke_milk_05,,Narration,milk,Narration,Locale_NikkeEpisode:d_nikke_milk_05_15,False,,,,,,,S_10,S_30,0,,,,None,None,,None,False,,,3,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_milk_05_16,d_nikke_milk_05,,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_05_16,True,,,,,,,S_30,S_30,0,,,,None,None,,None,False,,,3,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_milk_05_17,d_nikke_milk_05,,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_milk_05_17,True,,,,,,,S_130,S_130,0,,,,None,None,,None,False,,,3,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_milk_05_18,d_nikke_milk_05,,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_milk_05_18,True,,,,,,,150,150,0,,,,None,None,,None,False,,,3,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_milk_05_19,d_nikke_milk_05,,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_05_19,True,,,,,,,S_30,S_30,0,,,,None,None,,None,False,,,3,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_milk_05_20,d_nikke_milk_05,,Narration,milk,Narration,Locale_NikkeEpisode:d_nikke_milk_05_20,False,,,,,,,S_30,S_30,0,sfx_scn_phonevibration,none,,None,None,,None,False,,,3,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
