id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_nikke_nero_03_1,d_nikke_nero_03,,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_03_1,False,CommanderRoom,,,,,,1,1,0,,bgm_story_breakaway,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_2,d_nikke_nero_03,,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_03_2,False,,,,,,,1,1,0,,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_3,d_nikke_nero_03,,Self,,,Locale_NikkeEpisode:d_nikke_nero_03_3,False,,,,,,,1,10,0,,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_4,d_nikke_nero_03,,Self,,,Locale_NikkeEpisode:d_nikke_nero_03_4,False,,,,,,,10,10,0,,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_5,d_nikke_nero_03,,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_03_5,False,,,,,,,10,10,0,,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_6,d_nikke_nero_03,,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_03_6,False,,,,,,,10,130,0,,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_7,d_nikke_nero_03,,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_03_7,False,,,,,,,130,130,0,,none,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_8,d_nikke_nero_03,,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_03_8,True,OutpostOut,,,,,,L_10,L_10,0,,,,None,None,,Black,False,nero,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_9,d_nikke_nero_03,,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_03_9,False,,,,,,,L_10,L_10,0,,bgm_story_leisuretime,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_10,d_nikke_nero_03,,Self,,,Locale_NikkeEpisode:d_nikke_nero_03_10,False,,,,,,,L_10,L_10,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_11,d_nikke_nero_03,,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_03_11,True,,,,,,,L_10,L_10,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_12,d_nikke_nero_03,,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_03_12,False,,,,,,,L_10,L_10,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_13,d_nikke_nero_03,,Self,,,Locale_NikkeEpisode:d_nikke_nero_03_13,False,,,,,,,L_10,L_10,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_14,d_nikke_nero_03,,Self,,,Locale_NikkeEpisode:d_nikke_nero_03_14,False,,,,,,,L_10,L_10,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_15,d_nikke_nero_03,,Self,,,Locale_NikkeEpisode:d_nikke_nero_03_15,False,,,,,,,L_10,L_10,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_16,d_nikke_nero_03,,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_03_16,True,,,,,,,L_10,1,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_17,d_nikke_nero_03,,Self,,,Locale_NikkeEpisode:d_nikke_nero_03_17,False,,,,,,,1,1,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_18,d_nikke_nero_03,,Self,,,Locale_NikkeEpisode:d_nikke_nero_03_18,False,,,,,,,1,1,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_19,d_nikke_nero_03,,Narration,,,Locale_NikkeEpisode:d_nikke_nero_03_19,False,,,,,,,1,1,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_20,d_nikke_nero_03,,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_03_20,False,,,,,,,1,1,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_21,d_nikke_nero_03,,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_03_21,False,,,,,,,1,1,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_22,d_nikke_nero_03,,Self,,,Locale_NikkeEpisode:d_nikke_nero_03_22,False,,,,,,,1,1,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_23,d_nikke_nero_03,,Narration,,,Locale_NikkeEpisode:d_nikke_nero_03_23,False,,,,,,,1,13,0,sfx_scn_3step,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_24,d_nikke_nero_03,,Self,,,Locale_NikkeEpisode:d_nikke_nero_03_24,False,,,,,,,13,13,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_25,d_nikke_nero_03,,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_03_25,True,,,,,,,13,1,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_26,d_nikke_nero_03,,Self,,,Locale_NikkeEpisode:d_nikke_nero_03_26,False,,,,,,,1,1,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_27,d_nikke_nero_03,,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_03_27,True,,,,,,,1,L_10,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_28,d_nikke_nero_03,,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_03_28,False,,,,,,,L_10,L_10,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_29,d_nikke_nero_03,,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_03_29,False,,,,,,,L_10,L_100,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_nero_03_30,d_nikke_nero_03,,Self,,,Locale_NikkeEpisode:d_nikke_nero_03_30,False,,,,,,,L_100,L_100,0,,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
