id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,play_sound,characters/0/hide_char_id,set_filter_01,set_filter_02,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/1/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,jump_target
d_nikke_anne_miraclefairy_05_1,d_nikke_anne_miraclefairy_05,Monologue,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_05_1,False,NikkeRoom,1,1,1.0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anne_miraclefairy_05_2,d_nikke_anne_miraclefairy_05,Monologue,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_05_2,False,,1,XS_10,2.0,,anne,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anne_miraclefairy_05_3,d_nikke_anne_miraclefairy_05,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_05_3,True,,XS_10,XS_10,1.0,,,1,think,anne,anne,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anne_miraclefairy_05_4,d_nikke_anne_miraclefairy_05,Monologue,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_05_4,False,,XS_10,XS_10,1.0,,,1,think,anne,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anne_miraclefairy_05_5,d_nikke_anne_miraclefairy_05,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_05_5,True,,XS_10,XS_100,2.0,,,1,idle,anne,anne,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anne_miraclefairy_05_6,d_nikke_anne_miraclefairy_05,Monologue,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_05_6,False,,black,black,1.0,,,1,idle,anne,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anne_miraclefairy_05_7,d_nikke_anne_miraclefairy_05,Monologue,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_05_7,False,,black,black,1.0,,,1,idle,anne,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anne_miraclefairy_05_8,d_nikke_anne_miraclefairy_05,Monologue,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_05_8,False,,black,black,1.0,,,1,idle,anne,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anne_miraclefairy_05_9,d_nikke_anne_miraclefairy_05,Monologue,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_05_9,False,,black,black,1.0,,,1,idle,anne,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anne_miraclefairy_05_10,d_nikke_anne_miraclefairy_05,Speech,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_05_10,True,,XS_100,XS_100,1.0,,,1,idle,anne,anne,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anne_miraclefairy_05_11,d_nikke_anne_miraclefairy_05,Monologue,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_05_11,False,,black,black,1.0,,,1,idle,anne,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anne_miraclefairy_05_12,d_nikke_anne_miraclefairy_05,Monologue,Locale_NikkeEpisode:d_nikke_anne_miraclefairy_05_12,False,,black,black,1.0,,,1,idle,anne,,,,,,,,,,,,,,,,,,,,,,,,,,,,
