id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/hide_char_id,play_sound,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_clay_05_1,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_1,True,clay,1,idle,City,10,10,1.0,bgm_story_backtonormal,,,,,,,
d_nikke_clay_05_2,d_nikke_clay_05,Self,,,Locale_NikkeEpisode:d_nikke_clay_05_2,False,,1,idle,,10,10,1.0,,,,,,,,
d_nikke_clay_05_3,d_nikke_clay_05,Self,,,Locale_NikkeEpisode:d_nikke_clay_05_3,False,,1,idle,,10,10,1.0,,,,,,,,
d_nikke_clay_05_4,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_4,True,,1,idle,,10,10,1.0,,,,,,,,
d_nikke_clay_05_5,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_5,True,,1,sad,,10,10,1.0,,,,,,,,
d_nikke_clay_05_6,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_6,True,,1,sad,,10,10,1.0,,,,,,,,
d_nikke_clay_05_7,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_7,True,,1,sad,,10,10,1.0,,,,,,,,
d_nikke_clay_05_8,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_8,True,,1,delight,,10,100,1.0,,,,,,,,
d_nikke_clay_05_9,d_nikke_clay_05,Self,,,Locale_NikkeEpisode:d_nikke_clay_05_9,False,,1,delight,,100,100,1.0,,,,,,,,
d_nikke_clay_05_10,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_10,True,,1,delight,,100,100,1.0,,,,,,,,
d_nikke_clay_05_11,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_11,True,,1,idle,,100,100,1.0,,,,,,,,
d_nikke_clay_05_12,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_12,True,,1,idle,,100,100,1.0,,,,,,,,
