id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker
d_nikke_ce004_01_04_1,d_nikke_ce004_01_04,Narration,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_04_1,False,ce004_01_s,12,think,zwei,2,idle,Library,1,1,1.0,bgm_story_fairytalesend_if,
d_nikke_ce004_01_04_2,d_nikke_ce004_01_04,Narration,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_04_2,False,,12,think,,2,idle,,1,1,1.0,,
d_nikke_ce004_01_04_3,d_nikke_ce004_01_04,Speech,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_04_3,True,,12,think,,2,idle,,1,1,1.0,,zwei
d_nikke_ce004_01_04_4,d_nikke_ce004_01_04,Speech,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_04_4,False,,12,think,,2,idle,,1,1,1.0,,ce004_01_s
d_nikke_ce004_01_04_5,d_nikke_ce004_01_04,Speech,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_04_5,True,,12,think,,2,idle,,1,1,1.0,,zwei
d_nikke_ce004_01_04_6,d_nikke_ce004_01_04,Speech,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_04_6,False,,12,think,,2,idle,,1,1,1.0,,ce004_01_s
d_nikke_ce004_01_04_7,d_nikke_ce004_01_04,Speech,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_04_7,True,,12,think,,2,shy,,1,1,1.0,,zwei
d_nikke_ce004_01_04_8,d_nikke_ce004_01_04,Speech,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_04_8,True,,12,think,,2,shy,,1,1,1.0,,zwei
d_nikke_ce004_01_04_9,d_nikke_ce004_01_04,Speech,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_04_9,True,,12,idle,,2,shy,,1,120,1.0,,ce004_01_s
d_nikke_ce004_01_04_10,d_nikke_ce004_01_04,Speech,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_04_10,True,,12,idle,,2,shy,,120,120,1.0,,ce004_01_s
d_nikke_ce004_01_04_11,d_nikke_ce004_01_04,Speech,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_04_11,True,,12,idle,,2,shy,,120,120,1.0,,ce004_01_s
d_nikke_ce004_01_04_12,d_nikke_ce004_01_04,Speech,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_04_12,True,,12,idle,,2,shy,,120,1200,1.0,,ce004_01_s
d_nikke_ce004_01_04_13,d_nikke_ce004_01_04,Speech,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_04_13,True,,12,idle,,2,shy,,1200,1200,1.0,,ce004_01_s
d_nikke_ce004_01_04_14,d_nikke_ce004_01_04,Speech,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_04_14,True,,12,idle,,2,shy,,1200,1200,1.0,,ce004_01_s
d_nikke_ce004_01_04_15,d_nikke_ce004_01_04,Speech,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_04_15,True,,12,idle,,2,shy,,1200,1200,1.0,,ce004_01_s
d_nikke_ce004_01_04_16,d_nikke_ce004_01_04,Speech,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_04_16,True,,12,idle,,2,surprise,,1200,1,1.0,,zwei
d_nikke_ce004_01_04_17,d_nikke_ce004_01_04,Speech,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_04_17,True,,12,idle,,2,surprise,,1,1,1.0,,zwei
d_nikke_ce004_01_04_18,d_nikke_ce004_01_04,Speech,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_04_18,True,,12,idle,,2,surprise,,1,1,1.0,,ce004_01_s
d_nikke_ce004_01_04_19,d_nikke_ce004_01_04,Speech,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_04_19,False,,12,idle,,2,surprise,,1,20,1.0,none,zwei
d_nikke_ce004_01_04_20,d_nikke_ce004_01_04,Speech,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_04_20,False,,12,idle,,2,pain,,20,20,1.0,bgm_risk,zwei
d_nikke_ce004_01_04_21,d_nikke_ce004_01_04,Speech,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_04_21,True,,12,idle,,2,pain,,20,20,1.0,,zwei
d_nikke_ce004_01_04_22,d_nikke_ce004_01_04,Speech,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_04_22,True,,12,angry,,2,pain,,20,120,1.0,,ce004_01_s
d_nikke_ce004_01_04_23,d_nikke_ce004_01_04,Speech,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_04_23,True,,12,angry,,2,pain,,120,120,1.0,,ce004_01_s
d_nikke_ce004_01_04_24,d_nikke_ce004_01_04,Speech,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_04_24,True,,12,idle,,2,pain,,120,120,1.0,,ce004_01_s
d_nikke_ce004_01_04_25,d_nikke_ce004_01_04,Speech,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_04_25,True,,12,idle,,2,surprise,,120,20,1.0,,zwei
