id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade
d_nikke_eleggboomandshock_02_1,d_nikke_eleggboomandshock_02,Self,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_02_1,False,elegg_s,1,think,CruiseShipPool_d,S_100,S_100,1.0,bgm_story_languor,,,,,,,,,,,,,,
d_nikke_eleggboomandshock_02_2,d_nikke_eleggboomandshock_02,Speech,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_02_2,True,,1,think,,S_100,S_100,1.0,,elegg_s,,,,,,,,,,,,,
d_nikke_eleggboomandshock_02_3,d_nikke_eleggboomandshock_02,Self,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_02_3,False,,1,think,,S_100,S_100,1.0,,,,,,,,,,,,,,,
d_nikke_eleggboomandshock_02_4,d_nikke_eleggboomandshock_02,Speech,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_02_4,True,,1,surprise,,S_100,S_100,1.0,,elegg_s,,,,,,,,,,,,,
d_nikke_eleggboomandshock_02_5,d_nikke_eleggboomandshock_02,Self,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_02_5,False,,1,surprise,,S_100,S_100,1.0,,,,,,,,,,,,,,,
d_nikke_eleggboomandshock_02_6,d_nikke_eleggboomandshock_02,Self,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_02_6,False,,1,surprise,,S_100,S_100,1.0,,,,,,,,,,,,,,,
d_nikke_eleggboomandshock_02_7,d_nikke_eleggboomandshock_02,Speech,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_02_7,True,,1,think,,S_100,S_10,1.0,,elegg_s,,,,,,,,,,,,,
d_nikke_eleggboomandshock_02_8,d_nikke_eleggboomandshock_02,Speech,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_02_8,True,,1,idle,,S_10,S_10,1.0,,elegg_s,,,,,,,,,,,,,
d_nikke_eleggboomandshock_02_9,d_nikke_eleggboomandshock_02,Self,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_02_9,False,,1,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_eleggboomandshock_02_10,d_nikke_eleggboomandshock_02,Speech,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_02_10,True,,1,idle,,S_10,S_10,1.0,,elegg_s,,,,,,,,,,,,,
d_nikke_eleggboomandshock_02_11,d_nikke_eleggboomandshock_02,Speech,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_02_11,True,,1,think,,S_10,S_10,1.0,,elegg_s,,,,,,,,,,,,,
