id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_sound,set_camera_shake,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/0/hide_char_id,fade,jump_target
d_nikke_neon_04_1,d_nikke_neon_04,Narration,Locale_NikkeEpisode:d_nikke_neon_04_1,False,neon,9,idle,none,black,black,1.0,bgm_story_tuffguys,,,,,,,,,,,,,,,,,,,
d_nikke_neon_04_2,d_nikke_neon_04,Speech,Locale_NikkeEpisode:d_nikke_neon_04_2,True,,9,idle,,black,black,1.0,,neon,neon,,,,,,,,,,,,,,,,,
d_nikke_neon_04_3,d_nikke_neon_04,Speech,Locale_NikkeEpisode:d_nikke_neon_04_3,True,,9,idle,JunkMountain,19,19,1.0,,neon,neon,,,,,,,,,,,,,,,,,
d_nikke_neon_04_4,d_nikke_neon_04,Speech,Locale_NikkeEpisode:d_nikke_neon_04_4,True,,9,idle,,19,19,1.0,,neon,neon,,,,,,,,,,,,,,,,,
d_nikke_neon_04_5,d_nikke_neon_04,Monologue,Locale_NikkeEpisode:d_nikke_neon_04_5,False,,9,idle,,19,19,1.0,,neon,,,,,,,,,,,,,,,,,,
d_nikke_neon_04_6,d_nikke_neon_04,Speech,Locale_NikkeEpisode:d_nikke_neon_04_6,True,,9,surprise,,19,9,1.0,,neon,neon,,,,,,,,,,,,,,,,,
d_nikke_neon_04_7,d_nikke_neon_04,Speech,Locale_NikkeEpisode:d_nikke_neon_04_7,True,,9,surprise,,9,9,1.0,,neon,neon,,,,,,,,,,,,,,,,,
d_nikke_neon_04_8,d_nikke_neon_04,Self,Locale_NikkeEpisode:d_nikke_neon_04_8,False,,9,surprise,,9,9,1.0,,neon,,,,,,,,,,,,,,,,,,
d_nikke_neon_04_9,d_nikke_neon_04,Speech,Locale_NikkeEpisode:d_nikke_neon_04_9,True,,9,idle,,9,9,1.0,,neon,neon,,,,,,,,,,,,,,,,,
d_nikke_neon_04_10,d_nikke_neon_04,Self,Locale_NikkeEpisode:d_nikke_neon_04_10,False,,9,idle,,9,9,1.0,,neon,,,,,,,,,,,,,,,,,,
d_nikke_neon_04_11,d_nikke_neon_04,Speech,Locale_NikkeEpisode:d_nikke_neon_04_11,True,,9,idle,,9,9,1.0,,neon,neon,,,,,,,,,,,,,,,,,
d_nikke_neon_04_12,d_nikke_neon_04,Speech,Locale_NikkeEpisode:d_nikke_neon_04_12,True,,9,idle,,9,9,1.0,,neon,neon,,,,,,,,,,,,,,,,,
d_nikke_neon_04_13,d_nikke_neon_04,Speech,Locale_NikkeEpisode:d_nikke_neon_04_13,True,,9,surprise,,9,S_90,1.0,,neon,neon,,,,,,,,,,,,,,,,,
d_nikke_neon_04_14,d_nikke_neon_04,Speech,Locale_NikkeEpisode:d_nikke_neon_04_14,True,,9,surprise,,S_90,S_90,1.0,,neon,neon,,,,,,,,,,,,,,,,,
d_nikke_neon_04_15,d_nikke_neon_04,Speech,Locale_NikkeEpisode:d_nikke_neon_04_15,True,,9,surprise,,S_70,S_70,1.0,,milk,milk,milk,7,good,,,,,,,,,,,,,,
d_nikke_neon_04_16,d_nikke_neon_04,Speech,Locale_NikkeEpisode:d_nikke_neon_04_16,True,,9,surprise,,S_50,S_50,1.0,,sugar,sugar,,7,good,sugar,5,idle,,,,,,,,,,,
d_nikke_neon_04_17,d_nikke_neon_04,Speech,Locale_NikkeEpisode:d_nikke_neon_04_17,True,,9,surprise,,30,30,1.0,,frima,frima,,7,good,,5,idle,frima,3,idle,,,,,,,,
d_nikke_neon_04_18,d_nikke_neon_04,Speech,Locale_NikkeEpisode:d_nikke_neon_04_18,True,,9,surprise,,8,8,1.0,,neon,neon,,7,good,,5,idle,,3,idle,,,,,,,,
d_nikke_neon_04_19,d_nikke_neon_04,Speech,Locale_NikkeEpisode:d_nikke_neon_04_19,True,,9,surprise,,8,8,1.0,,milk,milk,,7,good,,5,idle,,3,idle,,,,,,,,
