id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/hide_char_id,jump_target,set_filter_01
d_nikke_harran_04_1,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_1,True,harran,1,idle,CityForest_02,170,10,2.0,bgm_recognition,,,,,
d_nikke_harran_04_2,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_2,True,,1,idle,,10,10,1.0,,,,,,
d_nikke_harran_04_3,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_3,False,,1,idle,,10,170,2.0,,,,,,
d_nikke_harran_04_4,d_nikke_harran_04,Self,harran,,Locale_NikkeEpisode:d_nikke_harran_04_4,False,,1,idle,,170,170,1.0,,,,,,
d_nikke_harran_04_5,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_5,False,,1,idle,,170,170,1.0,,,,,,
d_nikke_harran_04_6,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_6,False,,1,idle,,170,170,1.0,,,,,,
d_nikke_harran_04_7,d_nikke_harran_04,Narration,harran,,Locale_NikkeEpisode:d_nikke_harran_04_7,False,,1,idle,,170,1700,2.0,,sfx_scn_emptywind,,,,
d_nikke_harran_04_8,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_8,False,,1,idle,,1700,1700,1.0,,,,,,
d_nikke_harran_04_9,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_9,False,,1,idle,,1700,1700,1.0,,,,,,
d_nikke_harran_04_10,d_nikke_harran_04,Narration,harran,,Locale_NikkeEpisode:d_nikke_harran_04_10,False,,1,idle,,1700,XS_1700,2.0,,sfx_scn_rapturerun,Low_2,,,
d_nikke_harran_04_11,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_11,False,,1,idle,,black,black,1.0,,,,,,
d_nikke_harran_04_12,d_nikke_harran_04,Self,harran,,Locale_NikkeEpisode:d_nikke_harran_04_12,False,,1,idle,,10,10,1.0,,,,,,
d_nikke_harran_04_13,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_13,True,,1,idle,,10,10,1.0,,,,,,
d_nikke_harran_04_14,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_14,True,,1,idle,,10,100,2.0,,,,,,
d_nikke_harran_04_15,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_15,True,,1,idle,,100,100,1.0,,,,,,
d_nikke_harran_04_16,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_16,True,,1,idle,,100,100,1.0,,,,,,
d_nikke_harran_04_17,d_nikke_harran_04,Self,harran,,Locale_NikkeEpisode:d_nikke_harran_04_17,False,,1,idle,,100,100,1.0,,,,,,
d_nikke_harran_04_18,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_18,True,,1,idle,,100,100,1.0,,,,,,
d_nikke_harran_04_19,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_19,True,,1,idle,,100,10,0.5,,,,,,
d_nikke_harran_04_20,d_nikke_harran_04,Self,harran,,Locale_NikkeEpisode:d_nikke_harran_04_20,False,,1,idle,,10,10,1.0,,,,,,
d_nikke_harran_04_21,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_21,True,,1,idle,,10,10,1.0,,,,,,
d_nikke_harran_04_22,d_nikke_harran_04,Self,harran,,Locale_NikkeEpisode:d_nikke_harran_04_22,False,,1,idle,,10,10,1.0,,,,,,
d_nikke_harran_04_23,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_23,True,,1,idle,,10,10,1.0,,,,,,
d_nikke_harran_04_24,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_24,True,,1,rage,,10,10,1.0,,,,,,
d_nikke_harran_04_25,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_25,True,,1,rage,,10,10,1.0,,,,,,
d_nikke_harran_04_26,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_26,True,,1,rage,,10,10,1.0,,,,,,
d_nikke_harran_04_27,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_27,True,,1,rage,,10,10,1.0,,,,,,
d_nikke_harran_04_28,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_28,True,,1,rage,,10,10,1.0,,,,,,
d_nikke_harran_04_29,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_29,True,,1,rage,,10,10,1.0,,,,,,
d_nikke_harran_04_30,d_nikke_harran_04,Self,harran,,Locale_NikkeEpisode:d_nikke_harran_04_30,False,,1,rage,,10,10,1.0,,,,,,
d_nikke_harran_04_31,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_31,True,,1,rage,,10,100,0.5,,,,,,
d_nikke_harran_04_32,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_32,True,,1,rage,,100,100,1.0,,,,,,
d_nikke_harran_04_33,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_33,True,,1,rage,,100,100,1.0,,,,,,
d_nikke_harran_04_34,d_nikke_harran_04,Speech,harran,harran,Locale_NikkeEpisode:d_nikke_harran_04_34,True,,1,idle,,100,100,1.0,,,,,,
d_nikke_harran_04_35,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_35,False,,3,idle,,100,10,1.0,,,,harran,,
d_nikke_harran_04_36,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_36,False,,,,,10,190,2.0,,,,,,
d_nikke_harran_04_37,d_nikke_harran_04,Narration,harran,,Locale_NikkeEpisode:d_nikke_harran_04_37,False,,,,,190,190,1.0,,sfx_scn_emptywind,,,,
d_nikke_harran_04_38,d_nikke_harran_04,Monologue,harran,,Locale_NikkeEpisode:d_nikke_harran_04_38,False,,,,,190,190,1.0,,,,,,
