id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,fade,conversation_id,play_sound,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/5/hide_char_id,characters/6/hide_char_id
d_nikke_marian_p_04_1,d_nikke_marian_p_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_04_1,True,neon,7,idle,anis,5,angry,rapi,3,idle,ingrid,13,idle,NikkeCorridor,50,50,1.0,bgm_mystery,,,,,,,,,,,,,,,,,,,,
d_nikke_marian_p_04_2,d_nikke_marian_p_04,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_marian_p_04_2,True,,7,idle,,5,angry,,3,idle,,13,idle,,L_130,L_130,1.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_marian_p_04_3,d_nikke_marian_p_04,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_marian_p_04_3,True,,7,idle,,5,angry,,3,idle,,13,idle,,L_130,L_130,1.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_marian_p_04_4,d_nikke_marian_p_04,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_marian_p_04_4,True,,7,idle,,5,angry,,3,idle,,13,idle,,L_130,L_130,1.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_marian_p_04_5,d_nikke_marian_p_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_04_5,True,,7,idle,,5,angry,,3,idle,,13,idle,,50,50,1.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_marian_p_04_6,d_nikke_marian_p_04,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_marian_p_04_6,True,,7,idle,,5,angry,,3,idle,,13,idle,,L_130,L_130,1.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_marian_p_04_7,d_nikke_marian_p_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_04_7,True,,7,idle,,5,angry,,3,idle,,13,idle,,50,500,2.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_marian_p_04_8,d_nikke_marian_p_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_marian_p_04_8,True,,7,idle,,5,angry,,3,idle,,13,idle,,500,75,1.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_marian_p_04_9,d_nikke_marian_p_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_marian_p_04_9,True,,7,idle,,5,angry,,3,idle,,13,idle,,75,75,1.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_marian_p_04_10,d_nikke_marian_p_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_marian_p_04_10,True,,7,idle,,5,angry,,3,idle,,13,idle,,75,75,1.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_marian_p_04_11,d_nikke_marian_p_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_04_11,False,,7,idle,,5,angry,,3,idle,,13,idle,,75,75,1.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_marian_p_04_12,d_nikke_marian_p_04,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_marian_p_04_12,True,,7,idle,,5,angry,,3,idle,,13,think,,75,13,1.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_marian_p_04_13,d_nikke_marian_p_04,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_marian_p_04_13,True,,7,idle,,5,void,,3,idle,,13,think,,13,13,1.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_marian_p_04_14,d_nikke_marian_p_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_marian_p_04_14,True,,7,idle,,5,void,,3,idle,,13,think,,13,13,1.0,,,,,,,,,,,,,,,,,,,,,
