id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/hide_char_id,characters/1/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_filter_01,fade,characters/0/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/2/hide_char_id
d_nikke_hongryeon_blackshadow_05_1,d_nikke_hongryeon_blackshadow_05,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_05_1,True,snowwhite_o,5,angry,commander,3,idle,liliweiss,1,idle,hongryeon_o,13,idle,redhood,15,idle,BattleShipBridge,4,4,1.0,event_bgm_redash_goddesssquadready,,,,,,,,,,,,,,,
d_nikke_hongryeon_blackshadow_05_2,d_nikke_hongryeon_blackshadow_05,Speech,commander,commander,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_05_2,True,,5,angry,,3,idle,,1,idle,,13,idle,,15,idle,,4,4,1.0,,,,,,,,,,,,,,,,
d_nikke_hongryeon_blackshadow_05_3,d_nikke_hongryeon_blackshadow_05,Speech,commander,commander,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_05_3,True,,5,angry,,3,idle,,1,idle,,13,idle,,15,idle,,4,4,1.0,,,,,,,,,,,,,,,,
d_nikke_hongryeon_blackshadow_05_4,d_nikke_hongryeon_blackshadow_05,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_05_4,True,,5,angry,,3,idle,,1,idle,,13,idle,,15,idle,,4,12,1.0,,,,,,,,,,,,,,,,
d_nikke_hongryeon_blackshadow_05_5,d_nikke_hongryeon_blackshadow_05,Speech,hongryeon_o,hongryeon_o,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_05_5,True,,5,angry,,3,idle,,1,idle,,13,idle,,15,idle,,12,12,1.0,,,,,,,,,,,,,,,,
d_nikke_hongryeon_blackshadow_05_6,d_nikke_hongryeon_blackshadow_05,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_05_6,True,,5,angry,,3,idle,,1,idle,,13,idle,,15,idle,,12,12,1.0,,,,,,,,,,,,,,,,
d_nikke_hongryeon_blackshadow_05_7,d_nikke_hongryeon_blackshadow_05,Speech,hongryeon_o,hongryeon_o,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_05_7,True,,5,angry,,3,idle,,1,idle,,13,idle,,15,idle,,12,12,1.0,,,,,,,,,,,,,,,,
d_nikke_hongryeon_blackshadow_05_8,d_nikke_hongryeon_blackshadow_05,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_05_8,True,,5,angry,,3,idle,,1,delight,,13,idle,,15,idle,,12,12,1.0,,,,,,,,,,,,,,,,
d_nikke_hongryeon_blackshadow_05_9,d_nikke_hongryeon_blackshadow_05,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_05_9,True,,5,angry,,3,idle,,1,delight,,13,idle,,15,idle,,12,14,1.0,,,,,,,,,,,,,,,,
d_nikke_hongryeon_blackshadow_05_10,d_nikke_hongryeon_blackshadow_05,Speech,hongryeon_o,hongryeon_o,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_05_10,True,,5,angry,,3,idle,,1,delight,,13,idle,,15,idle,,14,14,1.0,,,,,,,,,,,,,,,,
