id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,characters/1/hide_char_id,characters/2/hide_char_id,jump_target
d_nikke_sora_02_1,d_nikke_sora_02,Monologue,Locale_NikkeEpisode:d_nikke_sora_02_1,False,sora,1,idle2,boy,13,idle,girl04,15,idle,Park,black,black,1.0,bgm_story_languor,,,,,,
d_nikke_sora_02_2,d_nikke_sora_02,Monologue,Locale_NikkeEpisode:d_nikke_sora_02_2,False,,1,idle2,,13,idle,,15,idle,,black,black,1.0,,,,,,,
d_nikke_sora_02_3,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_3,True,,1,idle2,,13,idle,,15,idle,,XS_150,XS_150,1.0,,girl04,girl04,,,,
d_nikke_sora_02_4,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_4,True,,1,idle2,,13,idle,,15,idle,,XS_150,XS_130,1.0,,boy,boy,,,,
d_nikke_sora_02_5,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_5,True,,1,idle2,,13,idle,,15,idle,,XS_130,1315,1.0,,children,children,,,,
d_nikke_sora_02_6,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_6,True,,1,idle2,,13,idle,,15,idle,,1315,1315,1.0,,children,children,,,,
d_nikke_sora_02_7,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_7,True,,1,idle2,,13,idle,,15,idle,,1315,1,1.5,,sora,sora,,,,
d_nikke_sora_02_8,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_8,True,,1,idle,,13,idle,,15,idle,,1,1,1.0,,sora,sora,,,,
d_nikke_sora_02_9,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_9,True,,1,idle,,13,idle,,15,idle,,1,10,1.0,,sora,sora,,,,
d_nikke_sora_02_10,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_10,False,,1,idle,,13,idle,,15,idle,,10,10,1.0,,sora,children,,,,
d_nikke_sora_02_11,d_nikke_sora_02,Self,Locale_NikkeEpisode:d_nikke_sora_02_11,False,,1,idle,,13,idle,,15,idle,,10,10,1.0,,sora,,,,,
d_nikke_sora_02_12,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_12,False,,1,idle,,13,idle,,15,idle,,10,10,1.0,,sora,sora,,,,
d_nikke_sora_02_13,d_nikke_sora_02,Speech,Locale_NikkeEpisode:d_nikke_sora_02_13,True,,1,delight,,13,idle,,15,idle,,10,100,0.7,,sora,sora,,,,
d_nikke_sora_02_14,d_nikke_sora_02,Self,Locale_NikkeEpisode:d_nikke_sora_02_14,False,,1,delight,,13,idle,,15,idle,,100,100,1.0,,sora,,,,,
