id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,highlight,play_bgm,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_helm_aquamarine_01_1,d_nikke_helm_aquamarine_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_helm_aquamarine_01_1,False,helm_s,1,idle,LogHouseIn_d,black,black,2.0,sfx_scn_keyboard,,,,,,,
d_nikke_helm_aquamarine_01_2,d_nikke_helm_aquamarine_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_helm_aquamarine_01_2,False,,1,idle,,black,black,1.0,sfx_scn_keyboard,,,,,,,
d_nikke_helm_aquamarine_01_3,d_nikke_helm_aquamarine_01,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_01_3,False,,1,idle,,1,1,1.0,,helm_s,bgm_story_voicesofthesea,,,,,
d_nikke_helm_aquamarine_01_4,d_nikke_helm_aquamarine_01,Self,Self,Locale_NikkeEpisode:d_nikke_helm_aquamarine_01_4,False,,1,idle,,1,1,1.0,,,,,,,,
d_nikke_helm_aquamarine_01_5,d_nikke_helm_aquamarine_01,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_01_5,True,,1,idle,,1,10,2.0,,helm_s,,,,,,
d_nikke_helm_aquamarine_01_6,d_nikke_helm_aquamarine_01,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_01_6,True,,1,idle,,10,10,1.0,,helm_s,,,,,,
d_nikke_helm_aquamarine_01_7,d_nikke_helm_aquamarine_01,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_01_7,True,,1,idle,,10,10,1.0,,helm_s,,,,,,
d_nikke_helm_aquamarine_01_8,d_nikke_helm_aquamarine_01,Choice,,Locale_NikkeEpisode:d_nikke_helm_aquamarine_01_8,False,,1,idle,,10,10,1.0,,,,d_nikke_helm_aquamarine_01_10,,,,
d_nikke_helm_aquamarine_01_9,d_nikke_helm_aquamarine_01,Choice,,Locale_NikkeEpisode:d_nikke_helm_aquamarine_01_9,False,,1,idle,,10,10,1.0,,,,d_nikke_helm_aquamarine_01_15,,,,
d_nikke_helm_aquamarine_01_10,d_nikke_helm_aquamarine_01,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_01_10,True,,1,think,,10,10,1.0,,helm_s,,,,,,
d_nikke_helm_aquamarine_01_11,d_nikke_helm_aquamarine_01,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_01_11,True,,1,think,,10,10,1.0,,helm_s,,,,,,
d_nikke_helm_aquamarine_01_12,d_nikke_helm_aquamarine_01,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_01_12,True,,1,think,,10,10,1.0,,helm_s,,,,,,
d_nikke_helm_aquamarine_01_13,d_nikke_helm_aquamarine_01,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_01_13,True,,1,idle,,10,10,1.0,,helm_s,,,,,,
d_nikke_helm_aquamarine_01_14,d_nikke_helm_aquamarine_01,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_01_14,True,,1,idle,,10,10,1.0,,helm_s,,d_nikke_helm_aquamarine_01_18,,,,
d_nikke_helm_aquamarine_01_15,d_nikke_helm_aquamarine_01,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_01_15,True,,1,think,,10,10,1.0,,helm_s,,,,,,
d_nikke_helm_aquamarine_01_16,d_nikke_helm_aquamarine_01,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_01_16,True,,1,idle,,10,10,1.0,,helm_s,,,,,,
d_nikke_helm_aquamarine_01_17,d_nikke_helm_aquamarine_01,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_01_17,True,,1,idle,,10,10,1.0,,helm_s,,,,,,
d_nikke_helm_aquamarine_01_18,d_nikke_helm_aquamarine_01,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_01_18,True,,1,sad,,10,10,1.0,,helm_s,,,,,,
d_nikke_helm_aquamarine_01_19,d_nikke_helm_aquamarine_01,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_01_19,True,,1,sad,,10,10,1.0,,helm_s,,,,,,
d_nikke_helm_aquamarine_01_20,d_nikke_helm_aquamarine_01,Self,Self,Locale_NikkeEpisode:d_nikke_helm_aquamarine_01_20,False,,1,sad,,10,10,1.0,,,,,,,,
d_nikke_helm_aquamarine_01_21,d_nikke_helm_aquamarine_01,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_01_21,False,,1,idle,,10,10,1.0,,helm_s,,,,,,
d_nikke_helm_aquamarine_01_22,d_nikke_helm_aquamarine_01,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_01_22,True,,1,idle,,10,10,1.0,,helm_s,,,,,,
