id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_milk_bloomingbunny_01_1,d_counseling_milk_bloomingbunny_01,Speech,0,milk_b,milk_b,Locale_Counseling:d_counseling_milk_bloomingbunny_01_1,True,milk_b,1,delight,CoinRushMainHall,100,100,1.0,bgm_story_backtonormal,,
d_counseling_milk_bloomingbunny_01_2,d_counseling_milk_bloomingbunny_01,Speech,0,milk_b,milk_b,Locale_Counseling:d_counseling_milk_bloomingbunny_01_2,True,,1,delight,,100,100,1.0,,,
d_counseling_milk_bloomingbunny_01_3,d_counseling_milk_bloomingbunny_01,Choice,100,milk_b,,Locale_Counseling:d_counseling_milk_bloomingbunny_01_3,False,,1,delight,,100,100,1.0,,d_counseling_milk_bloomingbunny_01_5,
d_counseling_milk_bloomingbunny_01_4,d_counseling_milk_bloomingbunny_01,Choice,120,milk_b,,Locale_Counseling:d_counseling_milk_bloomingbunny_01_4,False,,1,delight,,100,100,1.0,,d_counseling_milk_bloomingbunny_01_10,
d_counseling_milk_bloomingbunny_01_5,d_counseling_milk_bloomingbunny_01,Speech,0,milk_b,milk_b,Locale_Counseling:d_counseling_milk_bloomingbunny_01_5,True,,1,idle,,100,10,1.0,,,
d_counseling_milk_bloomingbunny_01_6,d_counseling_milk_bloomingbunny_01,Self,0,milk_b,,Locale_Counseling:d_counseling_milk_bloomingbunny_01_6,False,,1,idle,,10,10,1.0,,,
d_counseling_milk_bloomingbunny_01_7,d_counseling_milk_bloomingbunny_01,Speech,0,milk_b,milk_b,Locale_Counseling:d_counseling_milk_bloomingbunny_01_7,True,,1,angry2,,10,10,1.0,,,
d_counseling_milk_bloomingbunny_01_8,d_counseling_milk_bloomingbunny_01,Speech,0,milk_b,milk_b,Locale_Counseling:d_counseling_milk_bloomingbunny_01_8,True,,1,angry2,,10,10,1.0,,,
d_counseling_milk_bloomingbunny_01_9,d_counseling_milk_bloomingbunny_01,Speech,0,milk_b,milk_b,Locale_Counseling:d_counseling_milk_bloomingbunny_01_9,True,,1,angry2,,10,10,1.0,,d_counseling_milk_bloomingbunny_01_14,
d_counseling_milk_bloomingbunny_01_10,d_counseling_milk_bloomingbunny_01,Speech,0,milk_b,milk_b,Locale_Counseling:d_counseling_milk_bloomingbunny_01_10,True,,1,good,,100,100,1.0,,,
d_counseling_milk_bloomingbunny_01_11,d_counseling_milk_bloomingbunny_01,Speech,0,milk_b,milk_b,Locale_Counseling:d_counseling_milk_bloomingbunny_01_11,True,,1,good,,100,100,1.0,,,
d_counseling_milk_bloomingbunny_01_12,d_counseling_milk_bloomingbunny_01,Speech,0,milk_b,milk_b,Locale_Counseling:d_counseling_milk_bloomingbunny_01_12,True,,1,shy,,100,10,1.0,,,
d_counseling_milk_bloomingbunny_01_13,d_counseling_milk_bloomingbunny_01,Speech,0,milk_b,milk_b,Locale_Counseling:d_counseling_milk_bloomingbunny_01_13,True,,1,shy,,10,10,1.0,,d_counseling_milk_bloomingbunny_01_14,
d_counseling_milk_bloomingbunny_01_14,d_counseling_milk_bloomingbunny_01,Narration,0,milk_b,,Locale_Counseling:d_counseling_milk_bloomingbunny_01_14,False,,1,idle,none,10,10,1.0,,,milk_b
