id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake,characters/0/hide_char_id,play_sound
d_counseling_neon_blueocean_15_1,d_counseling_neon_blueocean_15,Speech,0,neon_s,neon_s,Locale_Counseling:d_counseling_neon_blueocean_15_1,True,neon_s,1,worry,Beach_d,XS_10,XS_10,1.0,bgm_story_summermood,,,,
d_counseling_neon_blueocean_15_2,d_counseling_neon_blueocean_15,Speech,0,neon_s,neon_s,Locale_Counseling:d_counseling_neon_blueocean_15_2,True,,1,worry,,XS_10,XS_10,1.0,,,,,
d_counseling_neon_blueocean_15_3,d_counseling_neon_blueocean_15,Speech,0,neon_s,neon_s,Locale_Counseling:d_counseling_neon_blueocean_15_3,True,,1,worry,,XS_10,XS_10,1.0,,,,,
d_counseling_neon_blueocean_15_4,d_counseling_neon_blueocean_15,Choice,100,neon_s,,Locale_Counseling:d_counseling_neon_blueocean_15_4,True,,1,worry,,XS_10,XS_10,1.0,,d_counseling_neon_blueocean_15_6,,,
d_counseling_neon_blueocean_15_5,d_counseling_neon_blueocean_15,Choice,120,neon_s,,Locale_Counseling:d_counseling_neon_blueocean_15_5,True,,1,worry,,XS_10,XS_10,1.0,,d_counseling_neon_blueocean_15_13,,,
d_counseling_neon_blueocean_15_6,d_counseling_neon_blueocean_15,Speech,0,neon_s,neon_s,Locale_Counseling:d_counseling_neon_blueocean_15_6,True,,1,angry,,XS_10,XS_10,1.0,,,,,
d_counseling_neon_blueocean_15_7,d_counseling_neon_blueocean_15,Monologue,0,neon_s,,Locale_Counseling:d_counseling_neon_blueocean_15_7,True,,1,angry,,XS_10,XS_100,0.5,,,Low_2,,
d_counseling_neon_blueocean_15_8,d_counseling_neon_blueocean_15,Narration,0,neon_s,,Locale_Counseling:d_counseling_neon_blueocean_15_8,True,,1,angry,,black,black,1.0,,,,neon_s,sfx_scn_waterdive
d_counseling_neon_blueocean_15_9,d_counseling_neon_blueocean_15,Speech,0,neon_s,neon_s,Locale_Counseling:d_counseling_neon_blueocean_15_9,True,,1,angry,,black,black,1.0,,,,,
d_counseling_neon_blueocean_15_10,d_counseling_neon_blueocean_15,Speech,0,neon_s,neon_s,Locale_Counseling:d_counseling_neon_blueocean_15_10,True,,1,angry,,black,black,1.0,,,,,
d_counseling_neon_blueocean_15_11,d_counseling_neon_blueocean_15,Speech,0,neon_s,neon_s,Locale_Counseling:d_counseling_neon_blueocean_15_11,True,,1,angry,,black,black,1.0,,,,,
d_counseling_neon_blueocean_15_12,d_counseling_neon_blueocean_15,Self,0,neon_s,,Locale_Counseling:d_counseling_neon_blueocean_15_12,True,,1,angry,,black,black,1.0,,d_counseling_neon_blueocean_15_16,,,
d_counseling_neon_blueocean_15_13,d_counseling_neon_blueocean_15,Speech,0,neon_s,neon_s,Locale_Counseling:d_counseling_neon_blueocean_15_13,True,neon_s,1,surprise,,XS_10,XS_100,1.0,,,,,
d_counseling_neon_blueocean_15_14,d_counseling_neon_blueocean_15,Speech,0,neon_s,neon_s,Locale_Counseling:d_counseling_neon_blueocean_15_14,True,,1,idle,,XS_100,XS_100,1.0,,,,,
d_counseling_neon_blueocean_15_15,d_counseling_neon_blueocean_15,Speech,0,neon_s,neon_s,Locale_Counseling:d_counseling_neon_blueocean_15_15,True,,1,idle,,XS_100,XS_100,1.0,,,,,
d_counseling_neon_blueocean_15_16,d_counseling_neon_blueocean_15,Narration,0,neon_s,,Locale_Counseling:d_counseling_neon_blueocean_15_16,True,,1,idle,none,black,black,1.0,,,,neon_s,
