id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_arcana_15_1,d_counseling_arcana_15,Speech,0,arcana,arcana,Locale_Counseling:d_counseling_arcana_15_1,True,arcana,1,idle,CommanderRoom,L_10,L_10,1.0,bgm_story_backtonormal,,
d_counseling_arcana_15_2,d_counseling_arcana_15,Choice,100,arcana,,Locale_Counseling:d_counseling_arcana_15_2,False,,1,idle,,L_10,L_10,1.0,,d_counseling_arcana_15_4,
d_counseling_arcana_15_3,d_counseling_arcana_15,Choice,120,arcana,,Locale_Counseling:d_counseling_arcana_15_3,False,,1,idle,,L_10,L_10,1.0,,d_counseling_arcana_15_7,
d_counseling_arcana_15_4,d_counseling_arcana_15,Speech,0,arcana,arcana,Locale_Counseling:d_counseling_arcana_15_4,True,,1,angry,,L_10,L_100,0.5,,,
d_counseling_arcana_15_5,d_counseling_arcana_15,Speech,0,arcana,arcana,Locale_Counseling:d_counseling_arcana_15_5,True,,1,angry,,L_100,L_100,1.0,,,
d_counseling_arcana_15_6,d_counseling_arcana_15,Speech,0,arcana,arcana,Locale_Counseling:d_counseling_arcana_15_6,True,,1,angry,,L_100,L_100,1.0,,d_counseling_arcana_15_12,
d_counseling_arcana_15_7,d_counseling_arcana_15,Speech,0,arcana,arcana,Locale_Counseling:d_counseling_arcana_15_7,True,,1,idle,,L_10,L_100,1.0,,,
d_counseling_arcana_15_8,d_counseling_arcana_15,Speech,0,arcana,arcana,Locale_Counseling:d_counseling_arcana_15_8,True,,1,idle,,L_100,L_100,1.0,,,
d_counseling_arcana_15_9,d_counseling_arcana_15,Speech,0,arcana,arcana,Locale_Counseling:d_counseling_arcana_15_9,True,,1,idle,,L_100,L_100,1.0,,,
d_counseling_arcana_15_10,d_counseling_arcana_15,Self,0,arcana,,Locale_Counseling:d_counseling_arcana_15_10,False,,1,idle,,L_100,L_100,1.0,,,
d_counseling_arcana_15_11,d_counseling_arcana_15,Speech,0,arcana,arcana,Locale_Counseling:d_counseling_arcana_15_11,True,,1,smile,,L_100,L_100,1.0,,d_counseling_arcana_15_12,
d_counseling_arcana_15_12,d_counseling_arcana_15,Narration,0,arcana,,Locale_Counseling:d_counseling_arcana_15_12,False,,1,idle,none,L_100,L_100,1.0,,,arcana
