id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_folkwang_05_1,d_counseling_folkwang_05,Speech,0,folkwang,folkwang,Locale_Counseling:d_counseling_folkwang_05_1,True,folkwang,1,idle,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,
d_counseling_folkwang_05_2,d_counseling_folkwang_05,Choice,100,folkwang,,Locale_Counseling:d_counseling_folkwang_05_2,False,,1,idle,,10,10,1.0,,d_counseling_folkwang_05_4,
d_counseling_folkwang_05_3,d_counseling_folkwang_05,Choice,120,folkwang,,Locale_Counseling:d_counseling_folkwang_05_3,False,,1,idle,,10,10,1.0,,d_counseling_folkwang_05_6,
d_counseling_folkwang_05_4,d_counseling_folkwang_05,Speech,0,folkwang,folkwang,Locale_Counseling:d_counseling_folkwang_05_4,True,,1,pain,,10,100,1.0,,,
d_counseling_folkwang_05_5,d_counseling_folkwang_05,Speech,0,folkwang,folkwang,Locale_Counseling:d_counseling_folkwang_05_5,True,,1,pain,,100,100,1.0,,d_counseling_folkwang_05_11,
d_counseling_folkwang_05_6,d_counseling_folkwang_05,Speech,0,folkwang,folkwang,Locale_Counseling:d_counseling_folkwang_05_6,True,,1,delight,,10,100,1.0,,,
d_counseling_folkwang_05_7,d_counseling_folkwang_05,Speech,0,folkwang,folkwang,Locale_Counseling:d_counseling_folkwang_05_7,True,,1,idle,,100,100,1.0,,,
d_counseling_folkwang_05_8,d_counseling_folkwang_05,Speech,0,folkwang,folkwang,Locale_Counseling:d_counseling_folkwang_05_8,True,,1,idle,,100,100,1.0,,,
d_counseling_folkwang_05_9,d_counseling_folkwang_05,Speech,0,folkwang,folkwang,Locale_Counseling:d_counseling_folkwang_05_9,True,,1,delight,,100,100,1.0,,,
d_counseling_folkwang_05_10,d_counseling_folkwang_05,Speech,0,folkwang,folkwang,Locale_Counseling:d_counseling_folkwang_05_10,True,,1,delight,,100,100,1.0,,,
d_counseling_folkwang_05_11,d_counseling_folkwang_05,Narration,0,folkwang,,Locale_Counseling:d_counseling_folkwang_05_11,False,,1,idle,none,100,100,1.0,,,folkwang
