id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_sin_19_1,d_counseling_sin_19,Speech,0,sin,sin,Locale_Counseling:d_counseling_sin_19_1,True,sin,1,idle,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,
d_counseling_sin_19_2,d_counseling_sin_19,Speech,0,sin,sin,Locale_Counseling:d_counseling_sin_19_2,True,,1,idle,,10,10,1.0,,,
d_counseling_sin_19_3,d_counseling_sin_19,Speech,0,sin,sin,Locale_Counseling:d_counseling_sin_19_3,True,,1,idle,,10,10,1.0,,,
d_counseling_sin_19_4,d_counseling_sin_19,Speech,0,sin,sin,Locale_Counseling:d_counseling_sin_19_4,True,,1,idle,,10,10,1.0,,,
d_counseling_sin_19_5,d_counseling_sin_19,Choice,120,sin,,Locale_Counseling:d_counseling_sin_19_5,False,,1,idle,,10,10,1.0,,d_counseling_sin_19_7,
d_counseling_sin_19_6,d_counseling_sin_19,Choice,100,sin,,Locale_Counseling:d_counseling_sin_19_6,False,,1,idle,,10,10,1.0,,d_counseling_sin_19_10,
d_counseling_sin_19_7,d_counseling_sin_19,Speech,0,sin,sin,Locale_Counseling:d_counseling_sin_19_7,True,,1,delight,,10,100,1.0,,,
d_counseling_sin_19_8,d_counseling_sin_19,Speech,0,sin,sin,Locale_Counseling:d_counseling_sin_19_8,True,,1,delight,,100,100,1.0,,,
d_counseling_sin_19_9,d_counseling_sin_19,Speech,0,sin,sin,Locale_Counseling:d_counseling_sin_19_9,True,,1,delight,,100,100,1.0,,d_counseling_sin_19_13,
d_counseling_sin_19_10,d_counseling_sin_19,Speech,0,sin,sin,Locale_Counseling:d_counseling_sin_19_10,True,,1,delight,,10,100,1.0,,,
d_counseling_sin_19_11,d_counseling_sin_19,Speech,0,sin,sin,Locale_Counseling:d_counseling_sin_19_11,True,,1,delight,,100,100,1.0,,,
d_counseling_sin_19_12,d_counseling_sin_19,Speech,0,sin,sin,Locale_Counseling:d_counseling_sin_19_12,True,,1,delight,,100,100,1.0,,,
d_counseling_sin_19_13,d_counseling_sin_19,Narration,0,sin,,Locale_Counseling:d_counseling_sin_19_13,False,,1,delight,none,100,100,1.0,,,sin
