id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,set_camera_shake,characters/0/hide_char_id
d_counseling_rosanna_05_1,d_counseling_rosanna_05,Speech,0,rosanna,rosanna,Locale_Counseling:d_counseling_rosanna_05_1,True,rosanna,1,angry,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,,,
d_counseling_rosanna_05_2,d_counseling_rosanna_05,Speech,0,rosanna,rosanna,Locale_Counseling:d_counseling_rosanna_05_2,True,,1,angry,,10,10,1.0,,,,,
d_counseling_rosanna_05_3,d_counseling_rosanna_05,Choice,120,rosanna,,Locale_Counseling:d_counseling_rosanna_05_3,False,,1,angry,,10,10,1.0,,d_counseling_rosanna_05_5,,,
d_counseling_rosanna_05_4,d_counseling_rosanna_05,Choice,100,rosanna,,Locale_Counseling:d_counseling_rosanna_05_4,False,,1,angry,,10,10,1.0,,d_counseling_rosanna_05_8,,,
d_counseling_rosanna_05_5,d_counseling_rosanna_05,Narration,0,rosanna,,Locale_Counseling:d_counseling_rosanna_05_5,False,,1,angry,,10,100,1.0,,,sfx_scn_2shot,Low_2,
d_counseling_rosanna_05_6,d_counseling_rosanna_05,Speech,0,rosanna,rosanna,Locale_Counseling:d_counseling_rosanna_05_6,True,,1,angry,,100,100,1.0,,,,,
d_counseling_rosanna_05_7,d_counseling_rosanna_05,Speech,0,rosanna,rosanna,Locale_Counseling:d_counseling_rosanna_05_7,True,,1,angry,,100,100,1.0,,d_counseling_rosanna_05_13,,,
d_counseling_rosanna_05_8,d_counseling_rosanna_05,Speech,0,rosanna,rosanna,Locale_Counseling:d_counseling_rosanna_05_8,True,,1,angry,,10,100,1.0,,,,,
d_counseling_rosanna_05_9,d_counseling_rosanna_05,Monologue,0,rosanna,,Locale_Counseling:d_counseling_rosanna_05_9,False,,1,angry,,100,100,1.0,,,,,
d_counseling_rosanna_05_10,d_counseling_rosanna_05,Narration,0,rosanna,,Locale_Counseling:d_counseling_rosanna_05_10,False,,1,angry,,100,100,1.0,,,sfx_scn_2shot,Low_2,
d_counseling_rosanna_05_11,d_counseling_rosanna_05,Speech,0,rosanna,rosanna,Locale_Counseling:d_counseling_rosanna_05_11,True,,1,angry,,100,100,1.0,,,,,
d_counseling_rosanna_05_12,d_counseling_rosanna_05,Speech,0,rosanna,rosanna,Locale_Counseling:d_counseling_rosanna_05_12,True,,1,angry,,100,100,1.0,,d_counseling_rosanna_05_13,,,
d_counseling_rosanna_05_13,d_counseling_rosanna_05,Narration,0,rosanna,,Locale_Counseling:d_counseling_rosanna_05_13,False,,1,angry,none,100,100,1.0,,,,,rosanna
