id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake,set_filter_01,characters/0/hide_char_id
d_counseling_novel_04_1,d_counseling_novel_04,Speech,0,novel,novel,Locale_Counseling:d_counseling_novel_04_1,True,novel,1,idle,CommanderRoom,S_10,S_10,1.0,bgm_story_backtonormal,,,,
d_counseling_novel_04_2,d_counseling_novel_04,Speech,0,novel,novel,Locale_Counseling:d_counseling_novel_04_2,True,,1,idle,,S_10,S_10,1.0,,,,,
d_counseling_novel_04_3,d_counseling_novel_04,Speech,0,novel,novel,Locale_Counseling:d_counseling_novel_04_3,True,,1,idle,,S_10,S_10,1.0,,,,,
d_counseling_novel_04_4,d_counseling_novel_04,Choice,120,novel,,Locale_Counseling:d_counseling_novel_04_4,False,,1,idle,,S_10,S_10,1.0,,d_counseling_novel_04_6,,,
d_counseling_novel_04_5,d_counseling_novel_04,Choice,100,novel,,Locale_Counseling:d_counseling_novel_04_5,False,,1,idle,,S_10,S_10,1.0,,d_counseling_novel_04_7,,,
d_counseling_novel_04_6,d_counseling_novel_04,Speech,0,novel,novel,Locale_Counseling:d_counseling_novel_04_6,True,,1,delight,,S_10,S_100,1.0,,d_counseling_novel_04_8,,,
d_counseling_novel_04_7,d_counseling_novel_04,Speech,0,novel,novel,Locale_Counseling:d_counseling_novel_04_7,True,,1,delight,,S_10,S_100,1.0,,d_counseling_novel_04_8,,,
d_counseling_novel_04_8,d_counseling_novel_04,Narration,0,novel,,Locale_Counseling:d_counseling_novel_04_8,False,,1,idle,,S_100,S_100,1.0,,,Low_1,Blur_Low,
d_counseling_novel_04_9,d_counseling_novel_04,Monologue,0,novel,,Locale_Counseling:d_counseling_novel_04_9,False,,1,idle,,S_100,S_100,1.0,,,,Blur_High,
d_counseling_novel_04_10,d_counseling_novel_04,Speech,0,novel,novel,Locale_Counseling:d_counseling_novel_04_10,True,,1,idle,none,S_100,S_100,1.0,,,,Blur_High,novel
d_counseling_novel_04_11,d_counseling_novel_04,Speech,0,novel,novel,Locale_Counseling:d_counseling_novel_04_11,True,,,,,S_100,S_100,1.0,,,,Blur_High,
d_counseling_novel_04_12,d_counseling_novel_04,Narration,0,novel,,Locale_Counseling:d_counseling_novel_04_12,False,,,,,S_100,S_100,1.0,,,,Blur_High,
