id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_mast_04_1,d_counseling_mast_04,Speech,0,mast,mast,Locale_Counseling:d_counseling_mast_04_1,True,mast,1,sad,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,
d_counseling_mast_04_2,d_counseling_mast_04,Speech,0,mast,mast,Locale_Counseling:d_counseling_mast_04_2,True,,1,sad,,10,10,1.0,,,
d_counseling_mast_04_3,d_counseling_mast_04,Speech,0,mast,mast,Locale_Counseling:d_counseling_mast_04_3,True,,1,sad,,10,10,1.0,,,
d_counseling_mast_04_4,d_counseling_mast_04,Choice,100,mast,,Locale_Counseling:d_counseling_mast_04_4,False,,1,sad,,10,10,1.0,,d_counseling_mast_04_6,
d_counseling_mast_04_5,d_counseling_mast_04,Choice,120,mast,,Locale_Counseling:d_counseling_mast_04_5,False,,1,sad,,10,10,1.0,,d_counseling_mast_04_9,
d_counseling_mast_04_6,d_counseling_mast_04,Speech,0,mast,mast,Locale_Counseling:d_counseling_mast_04_6,True,,1,angry,,10,100,1.0,,,
d_counseling_mast_04_7,d_counseling_mast_04,Speech,0,mast,mast,Locale_Counseling:d_counseling_mast_04_7,True,,1,angry,,100,100,1.0,,,
d_counseling_mast_04_8,d_counseling_mast_04,Speech,0,mast,mast,Locale_Counseling:d_counseling_mast_04_8,True,,1,angry,,100,100,1.0,,d_counseling_mast_04_15,
d_counseling_mast_04_9,d_counseling_mast_04,Speech,0,mast,mast,Locale_Counseling:d_counseling_mast_04_9,True,,1,delight,,10,100,1.0,,,
d_counseling_mast_04_10,d_counseling_mast_04,Speech,0,mast,mast,Locale_Counseling:d_counseling_mast_04_10,True,,1,idle,,100,100,1.0,,,
d_counseling_mast_04_11,d_counseling_mast_04,Speech,0,mast,morgan,Locale_Counseling:d_counseling_mast_04_11,True,,1,idle,,100,100,1.0,,,
d_counseling_mast_04_12,d_counseling_mast_04,Speech,0,mast,mast,Locale_Counseling:d_counseling_mast_04_12,True,,1,idle,,100,100,1.0,,,
d_counseling_mast_04_13,d_counseling_mast_04,Self,0,mast,,Locale_Counseling:d_counseling_mast_04_13,False,,1,idle,,100,100,1.0,,,
d_counseling_mast_04_14,d_counseling_mast_04,Speech,0,mast,mast,Locale_Counseling:d_counseling_mast_04_14,True,,1,angry,,100,100,1.0,,d_counseling_mast_04_15,
d_counseling_mast_04_15,d_counseling_mast_04,Narration,0,mast,,Locale_Counseling:d_counseling_mast_04_15,False,,1,angry,none,100,100,1.0,,,mast
