id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,set_filter_01,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_mihara_bondingchain_19_1,d_counseling_mihara_bondingchain_19,Narration,0,mihara,Locale_Counseling:d_counseling_mihara_bondingchain_19_1,False,CommanderRoom,black,black,1.0,bgm_areah,,,,mihara,1,idle,
d_counseling_mihara_bondingchain_19_2,d_counseling_mihara_bondingchain_19,Speech,0,mihara,Locale_Counseling:d_counseling_mihara_bondingchain_19_2,True,,100,100,1.0,,mihara,Vignetting,,,1,idle,
d_counseling_mihara_bondingchain_19_3,d_counseling_mihara_bondingchain_19,Speech,0,mihara,Locale_Counseling:d_counseling_mihara_bondingchain_19_3,True,,100,100,1.0,,mihara,Vignetting,,,1,idle,
d_counseling_mihara_bondingchain_19_4,d_counseling_mihara_bondingchain_19,Choice,120,mihara,Locale_Counseling:d_counseling_mihara_bondingchain_19_4,False,,100,100,1.0,,,Vignetting,d_counseling_mihara_bondingchain_19_6,,1,idle,
d_counseling_mihara_bondingchain_19_5,d_counseling_mihara_bondingchain_19,Choice,100,mihara,Locale_Counseling:d_counseling_mihara_bondingchain_19_5,False,,100,100,1.0,,,Vignetting,d_counseling_mihara_bondingchain_19_9,,1,idle,
d_counseling_mihara_bondingchain_19_6,d_counseling_mihara_bondingchain_19,Speech,0,mihara_b,Locale_Counseling:d_counseling_mihara_bondingchain_19_6,True,CityForest_01,100,10,1.5,,mihara_b,,,mihara_b,1,idle,mihara
d_counseling_mihara_bondingchain_19_7,d_counseling_mihara_bondingchain_19,Speech,0,mihara_b,Locale_Counseling:d_counseling_mihara_bondingchain_19_7,True,,10,10,1.0,,mihara_b,,,,1,idle,
d_counseling_mihara_bondingchain_19_8,d_counseling_mihara_bondingchain_19,Speech,0,mihara_b,Locale_Counseling:d_counseling_mihara_bondingchain_19_8,True,,10,10,1.0,,mihara_b,,d_counseling_mihara_bondingchain_19_12,,1,idle,
d_counseling_mihara_bondingchain_19_9,d_counseling_mihara_bondingchain_19,Speech,0,mihara_b,Locale_Counseling:d_counseling_mihara_bondingchain_19_9,True,CityForest_01,100,10,1.5,,mihara_b,,,mihara_b,1,surprise,mihara
d_counseling_mihara_bondingchain_19_10,d_counseling_mihara_bondingchain_19,Speech,0,mihara_b,Locale_Counseling:d_counseling_mihara_bondingchain_19_10,True,,10,10,1.0,,mihara_b,,,,1,surprise,
d_counseling_mihara_bondingchain_19_11,d_counseling_mihara_bondingchain_19,Speech,0,mihara_b,Locale_Counseling:d_counseling_mihara_bondingchain_19_11,True,,10,10,1.0,,mihara_b,,d_counseling_mihara_bondingchain_19_12,,1,idle,
d_counseling_mihara_bondingchain_19_12,d_counseling_mihara_bondingchain_19,Narration,0,mihara_b,Locale_Counseling:d_counseling_mihara_bondingchain_19_12,False,none,10,10,1.0,,,,,,1,idle,mihara_b
