id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_cinderella_13_1,d_counseling_cinderella_13,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_13_1,True,cinderella,1,angry,CountryVillage_d,S_10,S_10,1.0,bgm_story_backtonormal,,
d_counseling_cinderella_13_2,d_counseling_cinderella_13,Self,0,Self,Self,Locale_Counseling:d_counseling_cinderella_13_2,False,,1,angry,,S_10,S_10,1.0,,,
d_counseling_cinderella_13_3,d_counseling_cinderella_13,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_13_3,True,,1,angry,,S_10,S_10,1.0,,,
d_counseling_cinderella_13_4,d_counseling_cinderella_13,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_13_4,True,,1,angry,,S_10,S_10,1.0,,,
d_counseling_cinderella_13_5,d_counseling_cinderella_13,Choice,100,Choice,,Locale_Counseling:d_counseling_cinderella_13_5,False,,1,angry,,S_10,S_10,1.0,,d_counseling_cinderella_13_7,
d_counseling_cinderella_13_6,d_counseling_cinderella_13,Choice,120,Choice,,Locale_Counseling:d_counseling_cinderella_13_6,False,,1,angry,,S_10,S_10,1.0,,d_counseling_cinderella_13_10,
d_counseling_cinderella_13_7,d_counseling_cinderella_13,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_13_7,True,,1,surprise,,S_10,S_100,1.0,,,
d_counseling_cinderella_13_8,d_counseling_cinderella_13,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_13_8,True,,1,idle,,S_100,S_100,1.0,,,
d_counseling_cinderella_13_9,d_counseling_cinderella_13,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_13_9,True,,1,idle,,S_100,S_100,1.0,,d_counseling_cinderella_13_14,
d_counseling_cinderella_13_10,d_counseling_cinderella_13,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_13_10,True,,1,surprise,,S_10,S_100,1.0,,,
d_counseling_cinderella_13_11,d_counseling_cinderella_13,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_13_11,True,,1,idle,,S_100,S_100,1.0,,,
d_counseling_cinderella_13_12,d_counseling_cinderella_13,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_13_12,True,,1,angry,,S_100,S_100,1.0,,,
d_counseling_cinderella_13_13,d_counseling_cinderella_13,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_13_13,True,,1,idle,,S_100,S_100,1.0,,d_counseling_cinderella_13_14,
d_counseling_cinderella_13_14,d_counseling_cinderella_13,Narration,0,Narration,Narration,Locale_Counseling:d_counseling_cinderella_13_14,False,,1,idle,none,S_100,S_100,1.0,,,cinderella
