id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_epinel_15_1,d_counseling_epinel_15,Speech,0,epinel,epinel,Locale_Counseling:d_counseling_epinel_15_1,True,epinel,1,idle,CommanderRoom,XS_10,XS_10,1.0,bgm_story_backtonormal,,
d_counseling_epinel_15_2,d_counseling_epinel_15,Speech,0,epinel,epinel,Locale_Counseling:d_counseling_epinel_15_2,True,,1,idle,,XS_10,XS_10,1.0,,,
d_counseling_epinel_15_3,d_counseling_epinel_15,Speech,0,epinel,epinel,Locale_Counseling:d_counseling_epinel_15_3,True,,1,idle,,XS_10,XS_10,1.0,,,
d_counseling_epinel_15_4,d_counseling_epinel_15,Choice,100,epinel,,Locale_Counseling:d_counseling_epinel_15_4,False,,1,idle,,XS_10,XS_10,1.0,,d_counseling_epinel_15_6,
d_counseling_epinel_15_5,d_counseling_epinel_15,Choice,120,epinel,,Locale_Counseling:d_counseling_epinel_15_5,False,,1,idle,,XS_10,XS_10,1.0,,d_counseling_epinel_15_10,
d_counseling_epinel_15_6,d_counseling_epinel_15,Speech,0,epinel,epinel,Locale_Counseling:d_counseling_epinel_15_6,True,,1,idle,,XS_10,XS_100,1.0,,,
d_counseling_epinel_15_7,d_counseling_epinel_15,Speech,0,epinel,epinel,Locale_Counseling:d_counseling_epinel_15_7,True,,1,idle,,XS_100,XS_100,1.0,,,
d_counseling_epinel_15_8,d_counseling_epinel_15,Speech,0,epinel,epinel,Locale_Counseling:d_counseling_epinel_15_8,True,,1,idle,,XS_100,XS_100,1.0,,,
d_counseling_epinel_15_9,d_counseling_epinel_15,Speech,0,epinel,epinel,Locale_Counseling:d_counseling_epinel_15_9,True,,1,idle,,XS_100,XS_100,1.0,,d_counseling_epinel_15_13,
d_counseling_epinel_15_10,d_counseling_epinel_15,Speech,0,epinel,epinel,Locale_Counseling:d_counseling_epinel_15_10,True,,1,think,,XS_10,XS_100,1.0,,,
d_counseling_epinel_15_11,d_counseling_epinel_15,Speech,0,epinel,epinel,Locale_Counseling:d_counseling_epinel_15_11,True,,1,shy,,XS_100,XS_100,1.0,,,
d_counseling_epinel_15_12,d_counseling_epinel_15,Speech,0,epinel,epinel,Locale_Counseling:d_counseling_epinel_15_12,True,,1,shy,,XS_100,XS_100,1.0,,,
d_counseling_epinel_15_13,d_counseling_epinel_15,Narration,0,epinel,,Locale_Counseling:d_counseling_epinel_15_13,False,,1,idle,none,XS_100,XS_100,1.0,,,epinel
