id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_trina_17_1,d_counseling_trina_17,Speech,0,trina,trina,Locale_Counseling:d_counseling_trina_17_1,True,trina,1,delight,CommanderRoom,L_10,L_10,1.0,bgm_story_backtonormal,,
d_counseling_trina_17_2,d_counseling_trina_17,Speech,0,trina,trina,Locale_Counseling:d_counseling_trina_17_2,True,,1,delight,,L_10,L_10,1.0,,,
d_counseling_trina_17_3,d_counseling_trina_17,Choice,120,trina,,Locale_Counseling:d_counseling_trina_17_3,False,,1,delight,,L_10,L_10,1.0,,d_counseling_trina_17_5,
d_counseling_trina_17_4,d_counseling_trina_17,Choice,100,trina,,Locale_Counseling:d_counseling_trina_17_4,False,,1,delight,,L_10,L_10,1.0,,d_counseling_trina_17_8,
d_counseling_trina_17_5,d_counseling_trina_17,Speech,0,trina,trina,Locale_Counseling:d_counseling_trina_17_5,True,,1,delight,,L_10,L_100,1.0,,,
d_counseling_trina_17_6,d_counseling_trina_17,Speech,0,trina,trina,Locale_Counseling:d_counseling_trina_17_6,True,,1,delight,,L_100,L_100,1.0,,,
d_counseling_trina_17_7,d_counseling_trina_17,Speech,0,trina,trina,Locale_Counseling:d_counseling_trina_17_7,True,,1,delight,,L_100,L_100,1.0,,d_counseling_trina_17_13,
d_counseling_trina_17_8,d_counseling_trina_17,Speech,0,trina,trina,Locale_Counseling:d_counseling_trina_17_8,True,,1,idle,,L_10,L_100,1.0,,,
d_counseling_trina_17_9,d_counseling_trina_17,Speech,0,trina,trina,Locale_Counseling:d_counseling_trina_17_9,True,,1,idle,,L_100,L_100,1.0,,,
d_counseling_trina_17_10,d_counseling_trina_17,Speech,0,trina,trina,Locale_Counseling:d_counseling_trina_17_10,True,,1,idle,,L_100,L_100,1.0,,,
d_counseling_trina_17_11,d_counseling_trina_17,Self,0,trina,,Locale_Counseling:d_counseling_trina_17_11,False,,1,idle,,L_100,L_100,1.0,,,
d_counseling_trina_17_12,d_counseling_trina_17,Speech,0,trina,trina,Locale_Counseling:d_counseling_trina_17_12,True,,1,delight,,L_100,L_100,1.0,,d_counseling_trina_17_13,
d_counseling_trina_17_13,d_counseling_trina_17,Narration,0,trina,,Locale_Counseling:d_counseling_trina_17_13,False,,1,idle,none,L_100,L_100,1.0,,,trina
