id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_trony_09_1,d_counseling_trony_09,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_09_1,True,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,trony,1,think,
d_counseling_trony_09_2,d_counseling_trony_09,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_09_2,True,,10,10,1.0,,,,1,idle,
d_counseling_trony_09_3,d_counseling_trony_09,Monologue,0,Monologue,,Locale_Counseling:d_counseling_trony_09_3,False,,10,10,1.0,,,,1,idle,
d_counseling_trony_09_4,d_counseling_trony_09,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_09_4,True,,10,10,1.0,,,,1,idle,
d_counseling_trony_09_5,d_counseling_trony_09,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_09_5,True,,10,10,1.0,,,,1,idle,
d_counseling_trony_09_6,d_counseling_trony_09,Choice,100,Choice,,Locale_Counseling:d_counseling_trony_09_6,False,,10,10,1.0,,d_counseling_trony_09_8,,1,idle,
d_counseling_trony_09_7,d_counseling_trony_09,Choice,120,Choice,,Locale_Counseling:d_counseling_trony_09_7,False,,10,10,1.0,,d_counseling_trony_09_12,,1,idle,
d_counseling_trony_09_8,d_counseling_trony_09,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_09_8,True,,10,100,1.0,,,,1,sad,
d_counseling_trony_09_9,d_counseling_trony_09,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_09_9,True,,100,100,1.0,,,,1,sad,
d_counseling_trony_09_10,d_counseling_trony_09,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_09_10,True,,100,100,1.0,,,,1,think,
d_counseling_trony_09_11,d_counseling_trony_09,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_09_11,True,,100,100,1.0,,d_counseling_trony_09_17,,1,think,
d_counseling_trony_09_12,d_counseling_trony_09,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_09_12,True,,10,100,1.0,,,,1,idle,
d_counseling_trony_09_13,d_counseling_trony_09,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_09_13,True,,100,100,1.0,,,,1,idle,
d_counseling_trony_09_14,d_counseling_trony_09,Self,0,Self,,Locale_Counseling:d_counseling_trony_09_14,False,,100,100,1.0,,,,1,idle,
d_counseling_trony_09_15,d_counseling_trony_09,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_09_15,True,,100,100,1.0,,,,1,think,
d_counseling_trony_09_16,d_counseling_trony_09,Self,0,Self,,Locale_Counseling:d_counseling_trony_09_16,False,,100,100,1.0,,d_counseling_trony_09_17,,1,think,
d_counseling_trony_09_17,d_counseling_trony_09,Narration,0,Narration,,Locale_Counseling:d_counseling_trony_09_17,False,none,100,100,1.0,,,,1,think,trony
