id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_littlemermaid_05_1,d_counseling_littlemermaid_05,Narration,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_05_1,False,TreeOfWater,L_10,L_10,1.0,event_bgm_oldtales_beautifulthing,,,littlemermaid,1,idle,
d_counseling_littlemermaid_05_2,d_counseling_littlemermaid_05,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_05_2,True,,L_10,L_10,1.0,,littlemermaid,,,1,idle,
d_counseling_littlemermaid_05_3,d_counseling_littlemermaid_05,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_05_3,True,,L_10,L_10,1.0,,littlemermaid,,,1,idle,
d_counseling_littlemermaid_05_4,d_counseling_littlemermaid_05,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_05_4,True,,L_10,L_10,1.0,,littlemermaid,,,1,idle,
d_counseling_littlemermaid_05_5,d_counseling_littlemermaid_05,Choice,100,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_05_5,False,,L_10,L_10,1.0,,none,d_counseling_littlemermaid_05_7,,1,idle,
d_counseling_littlemermaid_05_6,d_counseling_littlemermaid_05,Choice,120,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_05_6,False,,L_10,L_10,1.0,,none,d_counseling_littlemermaid_05_13,,1,idle,
d_counseling_littlemermaid_05_7,d_counseling_littlemermaid_05,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_05_7,True,,L_10,L_10,1.0,,littlemermaid,,,1,idle,
d_counseling_littlemermaid_05_8,d_counseling_littlemermaid_05,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_05_8,True,,L_10,L_100,0.5,,littlemermaid,,,1,delight,
d_counseling_littlemermaid_05_9,d_counseling_littlemermaid_05,Narration,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_05_9,False,,L_100,L_100,1.0,,,,,1,surprise,
d_counseling_littlemermaid_05_10,d_counseling_littlemermaid_05,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_05_10,True,,L_100,L_100,1.0,,littlemermaid,,,1,surprise,
d_counseling_littlemermaid_05_11,d_counseling_littlemermaid_05,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_05_11,True,,L_100,L_100,1.0,,littlemermaid,,,1,surprise,
d_counseling_littlemermaid_05_12,d_counseling_littlemermaid_05,Narration,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_05_12,False,,L_100,L_100,1.0,,,d_counseling_littlemermaid_05_20,,1,surprise,
d_counseling_littlemermaid_05_13,d_counseling_littlemermaid_05,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_05_13,True,,L_10,L_10,1.0,,littlemermaid,,,1,idle,
d_counseling_littlemermaid_05_14,d_counseling_littlemermaid_05,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_05_14,True,,L_10,L_100,0.5,,littlemermaid,,,1,idle,
d_counseling_littlemermaid_05_15,d_counseling_littlemermaid_05,Narration,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_05_15,False,,L_100,L_100,1.0,,,,,1,idle,
d_counseling_littlemermaid_05_16,d_counseling_littlemermaid_05,Narration,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_05_16,False,,L_100,L_100,1.0,,,,,1,idle,
d_counseling_littlemermaid_05_17,d_counseling_littlemermaid_05,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_05_17,True,,L_100,L_100,1.0,,littlemermaid,,,1,idle,
d_counseling_littlemermaid_05_18,d_counseling_littlemermaid_05,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_05_18,True,,L_100,L_100,1.0,,littlemermaid,,,1,idle,
d_counseling_littlemermaid_05_19,d_counseling_littlemermaid_05,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_05_19,True,,L_100,L_100,1.0,,littlemermaid,d_counseling_littlemermaid_05_20,,1,delight,
d_counseling_littlemermaid_05_20,d_counseling_littlemermaid_05,Narration,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_05_20,False,none,L_100,L_100,1.0,,,,,1,idle,littlemermaid
