id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_flora_10_1,d_counseling_flora_10,Speech,0,flora,flora,Locale_Counseling:d_counseling_flora_10_1,True,flora,1,sad,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,
d_counseling_flora_10_2,d_counseling_flora_10,Speech,0,flora,flora,Locale_Counseling:d_counseling_flora_10_2,True,,1,sad,,10,10,1.0,,,
d_counseling_flora_10_3,d_counseling_flora_10,Choice,120,flora,,Locale_Counseling:d_counseling_flora_10_3,False,,1,sad,,10,10,1.0,,d_counseling_flora_10_5,
d_counseling_flora_10_4,d_counseling_flora_10,Choice,100,flora,,Locale_Counseling:d_counseling_flora_10_4,False,,1,sad,,10,10,1.0,,d_counseling_flora_10_8,
d_counseling_flora_10_5,d_counseling_flora_10,Speech,0,flora,flora,Locale_Counseling:d_counseling_flora_10_5,True,,1,delight,,10,100,1.0,,,
d_counseling_flora_10_6,d_counseling_flora_10,Speech,0,flora,flora,Locale_Counseling:d_counseling_flora_10_6,True,,1,delight,,100,100,1.0,,,
d_counseling_flora_10_7,d_counseling_flora_10,Speech,0,flora,flora,Locale_Counseling:d_counseling_flora_10_7,True,,1,delight,,100,100,1.0,,d_counseling_flora_10_11,
d_counseling_flora_10_8,d_counseling_flora_10,Speech,0,flora,flora,Locale_Counseling:d_counseling_flora_10_8,True,,1,sad,,10,100,1.0,,,
d_counseling_flora_10_9,d_counseling_flora_10,Speech,0,flora,flora,Locale_Counseling:d_counseling_flora_10_9,True,,1,sad,,100,100,1.0,,,
d_counseling_flora_10_10,d_counseling_flora_10,Speech,0,flora,flora,Locale_Counseling:d_counseling_flora_10_10,True,,1,sad,,100,100,1.0,,d_counseling_flora_10_11,
d_counseling_flora_10_11,d_counseling_flora_10,Self,0,flora,,Locale_Counseling:d_counseling_flora_10_11,False,,1,idle,,100,100,1.0,,,
d_counseling_flora_10_12,d_counseling_flora_10,Speech,0,flora,flora,Locale_Counseling:d_counseling_flora_10_12,True,,1,sad,,100,100,1.0,,,
d_counseling_flora_10_13,d_counseling_flora_10,Speech,0,flora,flora,Locale_Counseling:d_counseling_flora_10_13,True,,1,sad,,100,100,1.0,,,
d_counseling_flora_10_14,d_counseling_flora_10,Speech,0,flora,flora,Locale_Counseling:d_counseling_flora_10_14,True,,1,sad,,100,100,1.0,,,
d_counseling_flora_10_15,d_counseling_flora_10,Narration,0,flora,,Locale_Counseling:d_counseling_flora_10_15,False,,1,sad,none,100,100,1.0,,,flora
