id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_ade_14_1,d_counseling_ade_14,Speech,0,ade,ade,Locale_Counseling:d_counseling_ade_14_1,True,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,ade,1,idle,
d_counseling_ade_14_2,d_counseling_ade_14,Speech,0,ade,ade,Locale_Counseling:d_counseling_ade_14_2,True,,10,10,1.0,,,,1,worried,
d_counseling_ade_14_3,d_counseling_ade_14,Speech,0,ade,ade,Locale_Counseling:d_counseling_ade_14_3,True,,10,10,1.0,,,,1,worried,
d_counseling_ade_14_4,d_counseling_ade_14,Speech,0,ade,ade,Locale_Counseling:d_counseling_ade_14_4,True,,10,10,1.0,,,,1,worried,
d_counseling_ade_14_5,d_counseling_ade_14,Choice,100,Choice,,Locale_Counseling:d_counseling_ade_14_5,False,,10,10,1.0,,d_counseling_ade_14_7,,1,idle,
d_counseling_ade_14_6,d_counseling_ade_14,Choice,120,Choice,,Locale_Counseling:d_counseling_ade_14_6,False,,10,10,1.0,,d_counseling_ade_14_10,,1,idle,
d_counseling_ade_14_7,d_counseling_ade_14,Speech,0,ade,ade,Locale_Counseling:d_counseling_ade_14_7,True,,10,100,1.0,,,,1,worried,
d_counseling_ade_14_8,d_counseling_ade_14,Speech,0,ade,ade,Locale_Counseling:d_counseling_ade_14_8,True,,100,100,1.0,,,,1,idle,
d_counseling_ade_14_9,d_counseling_ade_14,Speech,0,ade,ade,Locale_Counseling:d_counseling_ade_14_9,True,,100,100,1.0,,d_counseling_ade_14_13,,1,idle,
d_counseling_ade_14_10,d_counseling_ade_14,Speech,0,ade,ade,Locale_Counseling:d_counseling_ade_14_10,True,,10,100,1.0,,,,1,idle,
d_counseling_ade_14_11,d_counseling_ade_14,Speech,0,ade,ade,Locale_Counseling:d_counseling_ade_14_11,True,,100,100,1.0,,,,1,shy,
d_counseling_ade_14_12,d_counseling_ade_14,Speech,0,ade,ade,Locale_Counseling:d_counseling_ade_14_12,True,,100,100,1.0,,d_counseling_ade_14_13,,1,shy,
d_counseling_ade_14_13,d_counseling_ade_14,Narration,0,Narration,,Locale_Counseling:d_counseling_ade_14_13,False,none,100,100,1.0,,,,1,idle,ade
