id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake,characters/0/hide_char_id
d_counseling_nihilister_09_1,d_counseling_nihilister_09,Speech,0,nihilister,nihilister,Locale_Counseling:d_counseling_nihilister_09_1,True,nihilister,1,angry,Volcano_03,10,10,1.0,bgm_volcanicnest,,,
d_counseling_nihilister_09_2,d_counseling_nihilister_09,Speech,0,nihilister,nihilister,Locale_Counseling:d_counseling_nihilister_09_2,True,,1,angry2,,10,10,1.0,,,,
d_counseling_nihilister_09_3,d_counseling_nihilister_09,Speech,0,nihilister,nihilister,Locale_Counseling:d_counseling_nihilister_09_3,True,,1,angry2,,10,10,1.0,,,,
d_counseling_nihilister_09_4,d_counseling_nihilister_09,Choice,120,nihilister,,Locale_Counseling:d_counseling_nihilister_09_4,False,,1,angry2,,10,10,1.0,,d_counseling_nihilister_09_6,,
d_counseling_nihilister_09_5,d_counseling_nihilister_09,Choice,100,nihilister,,Locale_Counseling:d_counseling_nihilister_09_5,False,,1,angry2,,10,10,1.0,,d_counseling_nihilister_09_10,,
d_counseling_nihilister_09_6,d_counseling_nihilister_09,Speech,0,nihilister,nihilister,Locale_Counseling:d_counseling_nihilister_09_6,True,,1,shy,,10,100,1.0,,,,
d_counseling_nihilister_09_7,d_counseling_nihilister_09,Speech,0,nihilister,nihilister,Locale_Counseling:d_counseling_nihilister_09_7,True,,1,shy,,100,100,1.0,,,,
d_counseling_nihilister_09_8,d_counseling_nihilister_09,Speech,0,nihilister,nihilister,Locale_Counseling:d_counseling_nihilister_09_8,False,,1,shy,,100,100,1.0,,,Low_2,
d_counseling_nihilister_09_9,d_counseling_nihilister_09,Self,0,nihilister,,Locale_Counseling:d_counseling_nihilister_09_9,False,,1,shy,,100,100,1.0,,d_counseling_nihilister_09_13,,
d_counseling_nihilister_09_10,d_counseling_nihilister_09,Speech,0,nihilister,nihilister,Locale_Counseling:d_counseling_nihilister_09_10,True,,1,angry2,,10,100,1.0,,,,
d_counseling_nihilister_09_11,d_counseling_nihilister_09,Speech,0,nihilister,nihilister,Locale_Counseling:d_counseling_nihilister_09_11,True,,1,smile,,100,100,1.0,,,,
d_counseling_nihilister_09_12,d_counseling_nihilister_09,Speech,0,nihilister,nihilister,Locale_Counseling:d_counseling_nihilister_09_12,True,,1,idle,,100,100,1.0,,,,
d_counseling_nihilister_09_13,d_counseling_nihilister_09,Monologue,0,nihilister,,Locale_Counseling:d_counseling_nihilister_09_13,False,,1,idle,none,100,100,1.0,,,,nihilister
