id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,jump_target,characters/0/hide_char_id
d_counseling_mana_15_1,d_counseling_mana_15,Narration,0,mana,Locale_Counseling:d_counseling_mana_15_1,False,mana,1,idle,CommanderRoom,10,10,1.0,sfx_scn_stockingripped,bgm_story_backtonormal,,,
d_counseling_mana_15_2,d_counseling_mana_15,Speech,0,mana,Locale_Counseling:d_counseling_mana_15_2,True,,1,idle,,10,10,1.0,,,mana,,
d_counseling_mana_15_3,d_counseling_mana_15,Choice,100,mana,Locale_Counseling:d_counseling_mana_15_3,False,,1,idle,,10,10,1.0,,,,d_counseling_mana_15_5,
d_counseling_mana_15_4,d_counseling_mana_15,Choice,120,mana,Locale_Counseling:d_counseling_mana_15_4,False,,1,idle,,10,10,1.0,,,,d_counseling_mana_15_10,
d_counseling_mana_15_5,d_counseling_mana_15,Speech,0,mana,Locale_Counseling:d_counseling_mana_15_5,True,,1,idle,,10,100,1.0,,,mana,,
d_counseling_mana_15_6,d_counseling_mana_15,Speech,0,mana,Locale_Counseling:d_counseling_mana_15_6,True,,1,idle,,100,100,1.0,,,mana,,
d_counseling_mana_15_7,d_counseling_mana_15,Self,0,mana,Locale_Counseling:d_counseling_mana_15_7,False,,1,idle,,100,100,1.0,,,,,
d_counseling_mana_15_8,d_counseling_mana_15,Speech,0,mana,Locale_Counseling:d_counseling_mana_15_8,True,,1,idle,,100,100,1.0,,,mana,,
d_counseling_mana_15_9,d_counseling_mana_15,Speech,0,mana,Locale_Counseling:d_counseling_mana_15_9,True,,1,idle,,100,100,1.0,,,mana,d_counseling_mana_15_15,
d_counseling_mana_15_10,d_counseling_mana_15,Speech,0,mana,Locale_Counseling:d_counseling_mana_15_10,True,,1,idle,,10,100,1.0,,,mana,,
d_counseling_mana_15_11,d_counseling_mana_15,Speech,0,mana,Locale_Counseling:d_counseling_mana_15_11,True,,1,idle,,100,100,1.0,,,mana,,
d_counseling_mana_15_12,d_counseling_mana_15,Speech,0,mana,Locale_Counseling:d_counseling_mana_15_12,True,,1,idle,,100,100,1.0,,,mana,,
d_counseling_mana_15_13,d_counseling_mana_15,Speech,0,mana,Locale_Counseling:d_counseling_mana_15_13,True,,1,idle,,100,100,1.0,,,mana,,
d_counseling_mana_15_14,d_counseling_mana_15,Speech,0,mana,Locale_Counseling:d_counseling_mana_15_14,True,,1,idle,,100,100,1.0,,,mana,d_counseling_mana_15_15,
d_counseling_mana_15_15,d_counseling_mana_15,Narration,0,mana,Locale_Counseling:d_counseling_mana_15_15,False,,1,idle,none,100,100,1.0,,,,,mana
