id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_n102_16_1,d_counseling_n102_16,Speech,0,n102,n102,Locale_Counseling:d_counseling_n102_16_1,True,n102,1,delight,CommanderRoom,XS_10,XS_10,1.0,bgm_story_backtonormal,,
d_counseling_n102_16_2,d_counseling_n102_16,Speech,0,n102,n102,Locale_Counseling:d_counseling_n102_16_2,True,,1,pain,,XS_10,XS_10,1.0,,,
d_counseling_n102_16_3,d_counseling_n102_16,Speech,0,n102,n102,Locale_Counseling:d_counseling_n102_16_3,True,,1,pain,,XS_10,XS_10,1.0,,,
d_counseling_n102_16_4,d_counseling_n102_16,Speech,0,n102,n102,Locale_Counseling:d_counseling_n102_16_4,True,,1,pain,,XS_10,XS_10,1.0,,,
d_counseling_n102_16_5,d_counseling_n102_16,Speech,0,n102,n102,Locale_Counseling:d_counseling_n102_16_5,True,,1,delight,,XS_10,XS_10,1.0,,,
d_counseling_n102_16_6,d_counseling_n102_16,Choice,120,n102,,Locale_Counseling:d_counseling_n102_16_6,False,,1,delight,,XS_10,XS_10,1.0,,d_counseling_n102_16_8,
d_counseling_n102_16_7,d_counseling_n102_16,Choice,100,n102,,Locale_Counseling:d_counseling_n102_16_7,False,,1,delight,,XS_10,XS_10,1.0,,d_counseling_n102_16_10,
d_counseling_n102_16_8,d_counseling_n102_16,Speech,0,n102,n102,Locale_Counseling:d_counseling_n102_16_8,True,,1,delight,,XS_10,XS_100,1.0,,,
d_counseling_n102_16_9,d_counseling_n102_16,Speech,0,n102,n102,Locale_Counseling:d_counseling_n102_16_9,True,,1,delight,,XS_100,XS_100,1.0,,d_counseling_n102_16_12,
d_counseling_n102_16_10,d_counseling_n102_16,Speech,0,n102,n102,Locale_Counseling:d_counseling_n102_16_10,True,,1,pain,,XS_10,XS_100,1.0,,,
d_counseling_n102_16_11,d_counseling_n102_16,Speech,0,n102,n102,Locale_Counseling:d_counseling_n102_16_11,True,,1,idle,,XS_100,XS_100,1.0,,,
d_counseling_n102_16_12,d_counseling_n102_16,Narration,0,n102,,Locale_Counseling:d_counseling_n102_16_12,False,,1,idle,none,XS_100,XS_100,1.0,,,n102
