id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_dorothy_serendipity_09_1,d_counseling_dorothy_serendipity_09,Speech,0,dorothy_s,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_09_1,True,dorothy_s,1,think,Deck_n,1,1,1.0,bgm_story_milkyway,,
d_counseling_dorothy_serendipity_09_2,d_counseling_dorothy_serendipity_09,Speech,0,dorothy_s,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_09_2,True,,1,think,,1,10,1.0,,,
d_counseling_dorothy_serendipity_09_3,d_counseling_dorothy_serendipity_09,Speech,0,dorothy_s,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_09_3,True,,1,think,,10,10,1.0,,,
d_counseling_dorothy_serendipity_09_4,d_counseling_dorothy_serendipity_09,Choice,100,dorothy_s,,Locale_Counseling:d_counseling_dorothy_serendipity_09_4,False,,1,think,,10,10,1.0,,d_counseling_dorothy_serendipity_09_6,
d_counseling_dorothy_serendipity_09_5,d_counseling_dorothy_serendipity_09,Choice,120,dorothy_s,,Locale_Counseling:d_counseling_dorothy_serendipity_09_5,False,,1,think,,10,10,1.0,,d_counseling_dorothy_serendipity_09_8,
d_counseling_dorothy_serendipity_09_6,d_counseling_dorothy_serendipity_09,Speech,0,dorothy_s,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_09_6,True,,1,think,,10,10,1.0,,,
d_counseling_dorothy_serendipity_09_7,d_counseling_dorothy_serendipity_09,Speech,0,dorothy_s,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_09_7,True,,1,think,,10,10,1.0,,d_counseling_dorothy_serendipity_09_11,
d_counseling_dorothy_serendipity_09_8,d_counseling_dorothy_serendipity_09,Speech,0,dorothy_s,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_09_8,True,,1,think,,10,10,1.0,,,
d_counseling_dorothy_serendipity_09_9,d_counseling_dorothy_serendipity_09,Speech,0,dorothy_s,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_09_9,True,,1,think,,10,10,1.0,,,
d_counseling_dorothy_serendipity_09_10,d_counseling_dorothy_serendipity_09,Speech,0,dorothy_s,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_09_10,True,,1,think,,10,10,1.0,,d_counseling_dorothy_serendipity_09_11,
d_counseling_dorothy_serendipity_09_11,d_counseling_dorothy_serendipity_09,Speech,0,dorothy_s,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_09_11,True,,1,think,,10,10,1.0,,,
d_counseling_dorothy_serendipity_09_12,d_counseling_dorothy_serendipity_09,Speech,0,dorothy_s,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_09_12,True,,1,no,,10,10,1.0,,,
d_counseling_dorothy_serendipity_09_13,d_counseling_dorothy_serendipity_09,Speech,0,dorothy_s,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_09_13,True,,1,no,,10,10,1.0,,,
d_counseling_dorothy_serendipity_09_14,d_counseling_dorothy_serendipity_09,Narration,0,dorothy_s,,Locale_Counseling:d_counseling_dorothy_serendipity_09_14,False,,1,no,none,10,10,1.0,,,dorothy_s
