id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id,jump_target
d_counseling_guillotine_winterslayer_13_1,d_counseling_guillotine_winterslayer_13,Narration,0,guillotine,Locale_Counseling:d_counseling_guillotine_winterslayer_13_1,False,guillotine,1,idle,black,XS_10,XS_10,1.0,event_bgm_icedragonsaga_adventure,,,
d_counseling_guillotine_winterslayer_13_2,d_counseling_guillotine_winterslayer_13,Speech,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_13_2,True,guillotine_w,1,think,SnowTown_d,XS_10,XS_10,1.0,,guillotine_w,guillotine,
d_counseling_guillotine_winterslayer_13_3,d_counseling_guillotine_winterslayer_13,Speech,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_13_3,True,,1,think,,XS_10,XS_10,1.0,,guillotine_w,,
d_counseling_guillotine_winterslayer_13_4,d_counseling_guillotine_winterslayer_13,Speech,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_13_4,True,,1,think,,XS_10,XS_10,1.0,,guillotine_w,,
d_counseling_guillotine_winterslayer_13_5,d_counseling_guillotine_winterslayer_13,Speech,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_13_5,True,,1,no,,XS_10,XS_10,1.0,,guillotine_w,,
d_counseling_guillotine_winterslayer_13_6,d_counseling_guillotine_winterslayer_13,Choice,120,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_13_6,False,,1,no,,XS_10,XS_10,1.0,,,,d_counseling_guillotine_winterslayer_13_8
d_counseling_guillotine_winterslayer_13_7,d_counseling_guillotine_winterslayer_13,Choice,100,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_13_7,False,,1,no,,XS_10,XS_10,1.0,,,,d_counseling_guillotine_winterslayer_13_14
d_counseling_guillotine_winterslayer_13_8,d_counseling_guillotine_winterslayer_13,Speech,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_13_8,True,,1,idle,,XS_10,XS_100,1.0,,guillotine_w,,
d_counseling_guillotine_winterslayer_13_9,d_counseling_guillotine_winterslayer_13,Speech,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_13_9,True,,1,delight,,XS_100,XS_100,1.0,,guillotine_w,,
d_counseling_guillotine_winterslayer_13_10,d_counseling_guillotine_winterslayer_13,Speech,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_13_10,True,,1,delight,,XS_100,XS_100,1.0,,guillotine_w,,
d_counseling_guillotine_winterslayer_13_11,d_counseling_guillotine_winterslayer_13,Speech,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_13_11,True,,1,delight,,XS_100,XS_100,1.0,,guillotine_w,,
d_counseling_guillotine_winterslayer_13_12,d_counseling_guillotine_winterslayer_13,Speech,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_13_12,True,,1,delight,,XS_100,XS_100,1.0,,guillotine_w,,
d_counseling_guillotine_winterslayer_13_13,d_counseling_guillotine_winterslayer_13,Speech,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_13_13,True,,1,delight,,XS_100,XS_100,1.0,,guillotine_w,,d_counseling_guillotine_winterslayer_13_18
d_counseling_guillotine_winterslayer_13_14,d_counseling_guillotine_winterslayer_13,Speech,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_13_14,True,,1,idle,,XS_10,XS_100,1.0,,guillotine_w,,
d_counseling_guillotine_winterslayer_13_15,d_counseling_guillotine_winterslayer_13,Speech,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_13_15,True,,1,idle,,XS_100,XS_100,1.0,,guillotine_w,,
d_counseling_guillotine_winterslayer_13_16,d_counseling_guillotine_winterslayer_13,Self,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_13_16,False,,1,idle,,XS_100,XS_100,1.0,,,,
d_counseling_guillotine_winterslayer_13_17,d_counseling_guillotine_winterslayer_13,Speech,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_13_17,False,,1,surprise,,XS_100,XS_100,1.0,,guillotine_w,,d_counseling_guillotine_winterslayer_13_18
d_counseling_guillotine_winterslayer_13_18,d_counseling_guillotine_winterslayer_13,Narration,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_13_18,False,,1,delight,none,XS_100,XS_100,1.0,,,guillotine_w,
