id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_mast_romanticmaid_11_1,d_counseling_mast_romanticmaid_11,Speech,0,mast_m,mast_m,Locale_Counseling:d_counseling_mast_romanticmaid_11_1,True,mast_m,1,surprise,CommanderRoom,S_10,S_10,1.0,bgm_story_backtonormal,,
d_counseling_mast_romanticmaid_11_2,d_counseling_mast_romanticmaid_11,Speech,0,mast_m,mast_m,Locale_Counseling:d_counseling_mast_romanticmaid_11_2,True,,1,surprise,,S_10,S_10,1.0,,,
d_counseling_mast_romanticmaid_11_3,d_counseling_mast_romanticmaid_11,Speech,0,mast_m,mast_m,Locale_Counseling:d_counseling_mast_romanticmaid_11_3,True,,1,surprise,,S_10,S_10,1.0,,,
d_counseling_mast_romanticmaid_11_4,d_counseling_mast_romanticmaid_11,Choice,120,mast_m,,Locale_Counseling:d_counseling_mast_romanticmaid_11_4,False,,1,surprise,,S_10,S_10,1.0,,d_counseling_mast_romanticmaid_11_6,
d_counseling_mast_romanticmaid_11_5,d_counseling_mast_romanticmaid_11,Choice,100,mast_m,,Locale_Counseling:d_counseling_mast_romanticmaid_11_5,False,,1,surprise,,S_10,S_10,1.0,,d_counseling_mast_romanticmaid_11_9,
d_counseling_mast_romanticmaid_11_6,d_counseling_mast_romanticmaid_11,Speech,0,mast_m,mast_m,Locale_Counseling:d_counseling_mast_romanticmaid_11_6,True,,1,delight,,S_10,S_100,1.0,,,
d_counseling_mast_romanticmaid_11_7,d_counseling_mast_romanticmaid_11,Speech,0,mast_m,mast_m,Locale_Counseling:d_counseling_mast_romanticmaid_11_7,True,,1,delight,,S_100,S_100,1.0,,,
d_counseling_mast_romanticmaid_11_8,d_counseling_mast_romanticmaid_11,Speech,0,mast_m,mast_m,Locale_Counseling:d_counseling_mast_romanticmaid_11_8,True,,1,delight,,S_100,S_100,1.0,,d_counseling_mast_romanticmaid_11_13,
d_counseling_mast_romanticmaid_11_9,d_counseling_mast_romanticmaid_11,Speech,0,mast_m,mast_m,Locale_Counseling:d_counseling_mast_romanticmaid_11_9,True,,1,angry,,S_10,S_100,1.0,,,
d_counseling_mast_romanticmaid_11_10,d_counseling_mast_romanticmaid_11,Speech,0,mast_m,mast_m,Locale_Counseling:d_counseling_mast_romanticmaid_11_10,True,,1,angry,,S_100,S_100,1.0,,,
d_counseling_mast_romanticmaid_11_11,d_counseling_mast_romanticmaid_11,Speech,0,mast_m,mast_m,Locale_Counseling:d_counseling_mast_romanticmaid_11_11,True,,1,surprise,,S_100,S_100,1.0,,,
d_counseling_mast_romanticmaid_11_12,d_counseling_mast_romanticmaid_11,Speech,0,mast_m,mast_m,Locale_Counseling:d_counseling_mast_romanticmaid_11_12,True,,1,surprise,,S_100,S_100,1.0,,d_counseling_mast_romanticmaid_11_13,
d_counseling_mast_romanticmaid_11_13,d_counseling_mast_romanticmaid_11,Narration,0,mast_m,,Locale_Counseling:d_counseling_mast_romanticmaid_11_13,False,,1,idle2,none,S_100,S_100,1.0,,,mast_m
