id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_trony_04_1,d_counseling_trony_04,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_04_1,True,trony,1,sad,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,
d_counseling_trony_04_2,d_counseling_trony_04,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_04_2,True,,1,sad,,10,10,1.0,,,
d_counseling_trony_04_3,d_counseling_trony_04,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_04_3,True,,1,sad,,10,10,1.0,,,
d_counseling_trony_04_4,d_counseling_trony_04,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_04_4,True,,1,sad,,10,10,1.0,,,
d_counseling_trony_04_5,d_counseling_trony_04,Choice,120,Choice,,Locale_Counseling:d_counseling_trony_04_5,False,,1,sad,,10,10,1.0,,d_counseling_trony_04_7,
d_counseling_trony_04_6,d_counseling_trony_04,Choice,100,Choice,,Locale_Counseling:d_counseling_trony_04_6,False,,1,sad,,10,10,1.0,,d_counseling_trony_04_11,
d_counseling_trony_04_7,d_counseling_trony_04,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_04_7,False,,1,shy,,10,100,1.0,,,
d_counseling_trony_04_8,d_counseling_trony_04,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_04_8,True,,1,shy,,100,100,1.0,,,
d_counseling_trony_04_9,d_counseling_trony_04,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_04_9,True,,1,shy,,100,100,1.0,,,
d_counseling_trony_04_10,d_counseling_trony_04,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_04_10,True,,1,shy,,100,100,1.0,,d_counseling_trony_04_17,
d_counseling_trony_04_11,d_counseling_trony_04,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_04_11,True,,1,sad,,10,100,1.0,,,
d_counseling_trony_04_12,d_counseling_trony_04,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_04_12,True,,1,no,,100,100,1.0,,,
d_counseling_trony_04_13,d_counseling_trony_04,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_04_13,True,,1,no,,100,100,1.0,,,
d_counseling_trony_04_14,d_counseling_trony_04,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_04_14,True,,1,no,,100,100,1.0,,,
d_counseling_trony_04_15,d_counseling_trony_04,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_04_15,True,,1,no,,100,100,1.0,,,
d_counseling_trony_04_16,d_counseling_trony_04,Speech,0,trony,trony,Locale_Counseling:d_counseling_trony_04_16,True,,1,shy,,100,100,1.0,,d_counseling_trony_04_17,
d_counseling_trony_04_17,d_counseling_trony_04,Narration,0,Narration,,Locale_Counseling:d_counseling_trony_04_17,False,,1,shy,none,100,100,1.0,,,trony
