id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,characters/1/hide_char_id
d_counseling_kilo_01_1,d_counseling_kilo_01,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_01_1,True,kilo,1,sad,talos,13,idle,CommanderRoom,S_10,S_10,1.0,bgm_story_backtonormal,,,
d_counseling_kilo_01_2,d_counseling_kilo_01,Self,0,Self,,Locale_Counseling:d_counseling_kilo_01_2,False,,1,sad,,13,idle,,S_10,S_10,1.0,,,,
d_counseling_kilo_01_3,d_counseling_kilo_01,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_01_3,True,,1,sad,,13,idle,,S_10,S_10,1.0,,,,
d_counseling_kilo_01_4,d_counseling_kilo_01,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_01_4,True,,1,sad,,13,idle,,S_10,S_10,1.0,,,,
d_counseling_kilo_01_5,d_counseling_kilo_01,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_01_5,True,,1,sad,,13,idle,,S_10,S_10,1.0,,,,
d_counseling_kilo_01_6,d_counseling_kilo_01,Choice,100,Choice,,Locale_Counseling:d_counseling_kilo_01_6,False,,1,sad,,13,idle,,S_10,S_10,1.0,,d_counseling_kilo_01_8,,
d_counseling_kilo_01_7,d_counseling_kilo_01,Choice,120,Choice,,Locale_Counseling:d_counseling_kilo_01_7,False,,1,sad,,13,idle,,S_10,S_10,1.0,,d_counseling_kilo_01_11,,
d_counseling_kilo_01_8,d_counseling_kilo_01,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_01_8,True,,1,idle,,13,idle,,S_10,S_100,1.0,,,,
d_counseling_kilo_01_9,d_counseling_kilo_01,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_01_9,True,,1,smile,,13,idle,,S_100,S_100,1.0,,,,
d_counseling_kilo_01_10,d_counseling_kilo_01,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_01_10,True,,1,smile,,13,idle,,S_100,S_100,1.0,,d_counseling_kilo_01_15,,
d_counseling_kilo_01_11,d_counseling_kilo_01,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_01_11,True,,1,idle,,13,idle,,S_10,S_100,1.0,,,,
d_counseling_kilo_01_12,d_counseling_kilo_01,Speech,0,talos,talos,Locale_Counseling:d_counseling_kilo_01_12,True,,1,idle,,13,idle,,S_100,13,1.0,,,,
d_counseling_kilo_01_13,d_counseling_kilo_01,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_01_13,True,,1,surprise,,13,idle,,13,S_100,1.0,,,,
d_counseling_kilo_01_14,d_counseling_kilo_01,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_01_14,True,,1,surprise,,13,idle,,S_100,S_100,1.0,,d_counseling_kilo_01_15,,
d_counseling_kilo_01_15,d_counseling_kilo_01,Narration,0,Narration,,Locale_Counseling:d_counseling_kilo_01_15,False,,1,idle,,13,idle,none,S_100,S_100,1.0,,,kilo,talos
