id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_tia_05_1,d_counseling_tia_05,Speech,0,tia,tia,Locale_Counseling:d_counseling_tia_05_1,True,tia,1,idle,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,
d_counseling_tia_05_2,d_counseling_tia_05,Speech,0,tia,tia,Locale_Counseling:d_counseling_tia_05_2,True,,1,idle,,10,10,1.0,,,
d_counseling_tia_05_3,d_counseling_tia_05,Choice,120,tia,,Locale_Counseling:d_counseling_tia_05_3,False,,1,idle,,10,10,1.0,,d_counseling_tia_05_5,
d_counseling_tia_05_4,d_counseling_tia_05,Choice,100,tia,,Locale_Counseling:d_counseling_tia_05_4,False,,1,idle,,10,10,1.0,,d_counseling_tia_05_15,
d_counseling_tia_05_5,d_counseling_tia_05,Speech,0,tia,tia,Locale_Counseling:d_counseling_tia_05_5,True,,1,worry,,10,100,1.0,,,
d_counseling_tia_05_6,d_counseling_tia_05,Narration,0,tia,,Locale_Counseling:d_counseling_tia_05_6,False,,1,worry,,100,100,1.0,,,
d_counseling_tia_05_7,d_counseling_tia_05,Speech,0,tia,tia,Locale_Counseling:d_counseling_tia_05_7,True,,1,worry,,100,100,1.0,,,
d_counseling_tia_05_8,d_counseling_tia_05,Speech,0,tia,tia,Locale_Counseling:d_counseling_tia_05_8,True,,1,idle,,100,100,1.0,,,
d_counseling_tia_05_9,d_counseling_tia_05,Narration,0,tia,,Locale_Counseling:d_counseling_tia_05_9,False,,1,idle,,100,100,1.0,,,
d_counseling_tia_05_10,d_counseling_tia_05,Narration,0,tia,,Locale_Counseling:d_counseling_tia_05_10,False,,1,idle,,100,100,1.0,,,
d_counseling_tia_05_11,d_counseling_tia_05,Speech,0,tia,tia,Locale_Counseling:d_counseling_tia_05_11,True,,1,idle,,100,100,1.0,,,
d_counseling_tia_05_12,d_counseling_tia_05,Speech,0,tia,tia,Locale_Counseling:d_counseling_tia_05_12,True,,1,delight,,100,100,1.0,,,
d_counseling_tia_05_13,d_counseling_tia_05,Speech,0,tia,tia,Locale_Counseling:d_counseling_tia_05_13,True,,1,delight,,100,100,1.0,,,
d_counseling_tia_05_14,d_counseling_tia_05,Speech,0,tia,tia,Locale_Counseling:d_counseling_tia_05_14,True,,1,delight,,100,100,1.0,,d_counseling_tia_05_22,
d_counseling_tia_05_15,d_counseling_tia_05,Speech,0,tia,tia,Locale_Counseling:d_counseling_tia_05_15,True,,1,worry,,10,100,1.0,,,
d_counseling_tia_05_16,d_counseling_tia_05,Speech,0,tia,tia,Locale_Counseling:d_counseling_tia_05_16,True,,1,worry,,100,100,1.0,,,
d_counseling_tia_05_17,d_counseling_tia_05,Speech,0,tia,tia,Locale_Counseling:d_counseling_tia_05_17,True,,1,worry,,100,100,1.0,,,
d_counseling_tia_05_18,d_counseling_tia_05,Speech,0,tia,tia,Locale_Counseling:d_counseling_tia_05_18,True,,1,worry,,100,100,1.0,,,
d_counseling_tia_05_19,d_counseling_tia_05,Speech,0,tia,tia,Locale_Counseling:d_counseling_tia_05_19,True,,1,worry,,100,100,1.0,,,
d_counseling_tia_05_20,d_counseling_tia_05,Speech,0,tia,tia,Locale_Counseling:d_counseling_tia_05_20,True,,1,idle,,100,100,1.0,,,
d_counseling_tia_05_21,d_counseling_tia_05,Speech,0,tia,tia,Locale_Counseling:d_counseling_tia_05_21,True,,1,idle,,100,100,1.0,,d_counseling_tia_05_22,
d_counseling_tia_05_22,d_counseling_tia_05,Narration,0,tia,,Locale_Counseling:d_counseling_tia_05_22,False,,1,idle,none,100,100,1.0,,,tia
