id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_bready_01_1,d_counseling_bready_01,Speech,0,bready,bready,Locale_Counseling:d_counseling_bready_01_1,True,bready,1,idle,CommanderRoom,S_10,S_10,1.0,bgm_story_backtonormal,,
d_counseling_bready_01_2,d_counseling_bready_01,Speech,0,bready,bready,Locale_Counseling:d_counseling_bready_01_2,True,,1,idle,,S_10,S_10,1.0,,,
d_counseling_bready_01_3,d_counseling_bready_01,Choice,120,bready,,Locale_Counseling:d_counseling_bready_01_3,False,,1,idle,,S_10,S_10,1.0,,d_counseling_bready_01_5,
d_counseling_bready_01_4,d_counseling_bready_01,Choice,100,bready,,Locale_Counseling:d_counseling_bready_01_4,False,,1,idle,,S_10,S_10,1.0,,d_counseling_bready_01_8,
d_counseling_bready_01_5,d_counseling_bready_01,Self,0,bready,,Locale_Counseling:d_counseling_bready_01_5,False,,1,idle,,S_10,S_100,1.0,,,
d_counseling_bready_01_6,d_counseling_bready_01,Speech,0,bready,bready,Locale_Counseling:d_counseling_bready_01_6,True,,1,delight,,S_100,S_100,1.0,,,
d_counseling_bready_01_7,d_counseling_bready_01,Speech,0,bready,bready,Locale_Counseling:d_counseling_bready_01_7,True,,1,delight,,S_100,S_100,1.0,,d_counseling_bready_01_12,
d_counseling_bready_01_8,d_counseling_bready_01,Speech,0,bready,bready,Locale_Counseling:d_counseling_bready_01_8,False,,1,no,,S_10,S_100,1.0,,,
d_counseling_bready_01_9,d_counseling_bready_01,Speech,0,bready,bready,Locale_Counseling:d_counseling_bready_01_9,True,,1,no,,S_100,S_100,1.0,,,
d_counseling_bready_01_10,d_counseling_bready_01,Speech,0,bready,bready,Locale_Counseling:d_counseling_bready_01_10,True,,1,no,,S_100,S_100,1.0,,,
d_counseling_bready_01_11,d_counseling_bready_01,Self,0,bready,,Locale_Counseling:d_counseling_bready_01_11,False,,1,no,,S_100,S_100,1.0,,d_counseling_bready_01_12,
d_counseling_bready_01_12,d_counseling_bready_01,Narration,0,bready,,Locale_Counseling:d_counseling_bready_01_12,False,,1,idle,none,S_100,S_100,1.0,,,bready
