id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_belorta_01_1,d_counseling_belorta_01,Speech,0,belorta,belorta,Locale_Counseling:d_counseling_belorta_01_1,True,belorta,1,idle,CommanderRoom,XS_10,XS_10,1.0,bgm_story_backtonormal,,
d_counseling_belorta_01_2,d_counseling_belorta_01,Speech,0,belorta,belorta,Locale_Counseling:d_counseling_belorta_01_2,True,,1,idle,,XS_10,XS_10,1.0,,,
d_counseling_belorta_01_3,d_counseling_belorta_01,Choice,120,belorta,,Locale_Counseling:d_counseling_belorta_01_3,False,,1,idle,,XS_10,XS_10,1.0,,d_counseling_belorta_01_5,
d_counseling_belorta_01_4,d_counseling_belorta_01,Choice,100,belorta,,Locale_Counseling:d_counseling_belorta_01_4,False,,1,idle,,XS_10,XS_10,1.0,,d_counseling_belorta_01_8,
d_counseling_belorta_01_5,d_counseling_belorta_01,Speech,0,belorta,belorta,Locale_Counseling:d_counseling_belorta_01_5,True,,1,delight,,XS_10,XS_100,1.0,,,
d_counseling_belorta_01_6,d_counseling_belorta_01,Speech,0,belorta,belorta,Locale_Counseling:d_counseling_belorta_01_6,True,,1,idle,,XS_100,XS_100,1.0,,,
d_counseling_belorta_01_7,d_counseling_belorta_01,Speech,0,belorta,belorta,Locale_Counseling:d_counseling_belorta_01_7,True,,1,delight,,XS_100,XS_100,1.0,,d_counseling_belorta_01_12,
d_counseling_belorta_01_8,d_counseling_belorta_01,Speech,0,belorta,belorta,Locale_Counseling:d_counseling_belorta_01_8,True,,1,idle,,XS_10,XS_100,1.0,,,
d_counseling_belorta_01_9,d_counseling_belorta_01,Speech,0,belorta,belorta,Locale_Counseling:d_counseling_belorta_01_9,True,,1,idle,,XS_100,XS_100,1.0,,,
d_counseling_belorta_01_10,d_counseling_belorta_01,Speech,0,belorta,belorta,Locale_Counseling:d_counseling_belorta_01_10,True,,1,idle,,XS_100,XS_100,1.0,,,
d_counseling_belorta_01_11,d_counseling_belorta_01,Speech,0,belorta,belorta,Locale_Counseling:d_counseling_belorta_01_11,True,,1,delight,,XS_100,XS_100,1.0,,,
d_counseling_belorta_01_12,d_counseling_belorta_01,Narration,0,belorta,,Locale_Counseling:d_counseling_belorta_01_12,False,,1,delight,none,XS_100,XS_100,1.0,,,belorta
