id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_blanc_01_1,d_counseling_blanc_01,Speech,0,blanc,blanc,Locale_Counseling:d_counseling_blanc_01_1,True,blanc,1,think,CommanderRoom,L_10,L_10,1.0,bgm_story_backtonormal,,
d_counseling_blanc_01_2,d_counseling_blanc_01,Speech,0,blanc,blanc,Locale_Counseling:d_counseling_blanc_01_2,True,,1,think,,L_10,L_10,1.0,,,
d_counseling_blanc_01_3,d_counseling_blanc_01,Speech,0,blanc,blanc,Locale_Counseling:d_counseling_blanc_01_3,True,,1,think,,L_10,L_10,1.0,,,
d_counseling_blanc_01_4,d_counseling_blanc_01,Speech,0,blanc,blanc,Locale_Counseling:d_counseling_blanc_01_4,True,,1,think,,L_10,L_10,1.0,,,
d_counseling_blanc_01_5,d_counseling_blanc_01,Choice,100,blanc,,Locale_Counseling:d_counseling_blanc_01_5,False,,1,think,,L_10,L_10,1.0,,d_counseling_blanc_01_7,
d_counseling_blanc_01_6,d_counseling_blanc_01,Choice,120,blanc,,Locale_Counseling:d_counseling_blanc_01_6,False,,1,think,,L_10,L_10,1.0,,d_counseling_blanc_01_10,
d_counseling_blanc_01_7,d_counseling_blanc_01,Speech,0,blanc,blanc,Locale_Counseling:d_counseling_blanc_01_7,True,,1,think,,L_10,L_100,1.0,,,
d_counseling_blanc_01_8,d_counseling_blanc_01,Speech,0,blanc,blanc,Locale_Counseling:d_counseling_blanc_01_8,True,,1,think,,L_100,L_100,1.0,,,
d_counseling_blanc_01_9,d_counseling_blanc_01,Speech,0,blanc,blanc,Locale_Counseling:d_counseling_blanc_01_9,True,,1,think,,L_100,L_100,1.0,,d_counseling_blanc_01_14,
d_counseling_blanc_01_10,d_counseling_blanc_01,Speech,0,blanc,blanc,Locale_Counseling:d_counseling_blanc_01_10,True,,1,idle,,L_10,L_100,1.0,,,
d_counseling_blanc_01_11,d_counseling_blanc_01,Speech,0,blanc,blanc,Locale_Counseling:d_counseling_blanc_01_11,True,,1,idle,,L_100,L_100,1.0,,,
d_counseling_blanc_01_12,d_counseling_blanc_01,Speech,0,blanc,blanc,Locale_Counseling:d_counseling_blanc_01_12,True,,1,idle,,L_100,L_100,1.0,,,
d_counseling_blanc_01_13,d_counseling_blanc_01,Speech,0,blanc,blanc,Locale_Counseling:d_counseling_blanc_01_13,True,,1,idle,,L_100,L_100,1.0,,d_counseling_blanc_01_14,
d_counseling_blanc_01_14,d_counseling_blanc_01,Narration,0,blanc,,Locale_Counseling:d_counseling_blanc_01_14,False,,1,idle,none,L_100,L_100,1.0,,,blanc
