id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_mica_snowbuddy_11_1,d_counseling_mica_snowbuddy_11,Speech,0,mica_w,mica_w,Locale_Counseling:d_counseling_mica_snowbuddy_11_1,True,mica_w,1,idle,HotSpringInnIn_d,S_10,S_10,1.0,bgm_story_backtonormal,,
d_counseling_mica_snowbuddy_11_2,d_counseling_mica_snowbuddy_11,Speech,0,mica_w,mica_w,Locale_Counseling:d_counseling_mica_snowbuddy_11_2,True,,1,idle,,S_10,S_10,1.0,,,
d_counseling_mica_snowbuddy_11_3,d_counseling_mica_snowbuddy_11,Speech,0,mica_w,mica_w,Locale_Counseling:d_counseling_mica_snowbuddy_11_3,True,,1,idle,,S_10,S_10,1.0,,,
d_counseling_mica_snowbuddy_11_4,d_counseling_mica_snowbuddy_11,Choice,100,Choice,,Locale_Counseling:d_counseling_mica_snowbuddy_11_4,False,,1,idle,,S_10,S_10,1.0,,d_counseling_mica_snowbuddy_11_6,
d_counseling_mica_snowbuddy_11_5,d_counseling_mica_snowbuddy_11,Choice,120,Choice,,Locale_Counseling:d_counseling_mica_snowbuddy_11_5,False,,1,idle,,S_10,S_10,1.0,,d_counseling_mica_snowbuddy_11_9,
d_counseling_mica_snowbuddy_11_6,d_counseling_mica_snowbuddy_11,Speech,0,mica_w,mica_w,Locale_Counseling:d_counseling_mica_snowbuddy_11_6,True,,1,special,,S_10,S_100,1.0,,,
d_counseling_mica_snowbuddy_11_7,d_counseling_mica_snowbuddy_11,Speech,0,mica_w,mica_w,Locale_Counseling:d_counseling_mica_snowbuddy_11_7,True,,1,special,,S_100,S_100,1.0,,,
d_counseling_mica_snowbuddy_11_8,d_counseling_mica_snowbuddy_11,Speech,0,mica_w,mica_w,Locale_Counseling:d_counseling_mica_snowbuddy_11_8,True,,1,special,,S_100,S_100,1.0,,d_counseling_mica_snowbuddy_11_13,
d_counseling_mica_snowbuddy_11_9,d_counseling_mica_snowbuddy_11,Speech,0,mica_w,mica_w,Locale_Counseling:d_counseling_mica_snowbuddy_11_9,True,,1,delight,,S_10,S_100,1.0,,,
d_counseling_mica_snowbuddy_11_10,d_counseling_mica_snowbuddy_11,Speech,0,mica_w,mica_w,Locale_Counseling:d_counseling_mica_snowbuddy_11_10,True,,1,idle,,S_100,S_100,1.0,,,
d_counseling_mica_snowbuddy_11_11,d_counseling_mica_snowbuddy_11,Speech,0,mica_w,mica_w,Locale_Counseling:d_counseling_mica_snowbuddy_11_11,True,,1,delight,,S_100,S_100,1.0,,,
d_counseling_mica_snowbuddy_11_12,d_counseling_mica_snowbuddy_11,Speech,0,mica_w,mica_w,Locale_Counseling:d_counseling_mica_snowbuddy_11_12,True,,1,delight,,S_100,S_100,1.0,,,
d_counseling_mica_snowbuddy_11_13,d_counseling_mica_snowbuddy_11,Narration,0,Narration,,Locale_Counseling:d_counseling_mica_snowbuddy_11_13,False,,1,idle,none,S_100,S_100,1.0,,,mica_w
