id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target,play_sound,set_camera_shake,characters/0/hide_char_id
d_counseling_privaty_unkindmaid_19_1,d_counseling_privaty_unkindmaid_19,Monologue,0,privaty_m,Locale_Counseling:d_counseling_privaty_unkindmaid_19_1,False,privaty_m,1,sad2,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,,,,
d_counseling_privaty_unkindmaid_19_2,d_counseling_privaty_unkindmaid_19,Speech,0,privaty_m,Locale_Counseling:d_counseling_privaty_unkindmaid_19_2,True,,1,sad2,,10,10,1.0,,privaty_m,,,,
d_counseling_privaty_unkindmaid_19_3,d_counseling_privaty_unkindmaid_19,Speech,0,privaty_m,Locale_Counseling:d_counseling_privaty_unkindmaid_19_3,True,,1,surprise,,10,100,1.0,,privaty_m,,,,
d_counseling_privaty_unkindmaid_19_4,d_counseling_privaty_unkindmaid_19,Choice,120,privaty_m,Locale_Counseling:d_counseling_privaty_unkindmaid_19_4,False,,1,surprise,,100,100,1.0,,,d_counseling_privaty_unkindmaid_19_6,,,
d_counseling_privaty_unkindmaid_19_5,d_counseling_privaty_unkindmaid_19,Choice,100,privaty_m,Locale_Counseling:d_counseling_privaty_unkindmaid_19_5,False,,1,surprise,,100,100,1.0,,,d_counseling_privaty_unkindmaid_19_10,,,
d_counseling_privaty_unkindmaid_19_6,d_counseling_privaty_unkindmaid_19,Speech,0,privaty_m,Locale_Counseling:d_counseling_privaty_unkindmaid_19_6,True,,1,sad2,,100,100,1.0,,privaty_m,,sfx_scn_cakethrow,,
d_counseling_privaty_unkindmaid_19_7,d_counseling_privaty_unkindmaid_19,Speech,0,privaty_m,Locale_Counseling:d_counseling_privaty_unkindmaid_19_7,True,,1,sad2,,100,100,1.0,,privaty_m,,,,
d_counseling_privaty_unkindmaid_19_8,d_counseling_privaty_unkindmaid_19,Self,0,privaty_m,Locale_Counseling:d_counseling_privaty_unkindmaid_19_8,True,,1,sad2,,100,100,1.0,,,,,,
d_counseling_privaty_unkindmaid_19_9,d_counseling_privaty_unkindmaid_19,Speech,0,privaty_m,Locale_Counseling:d_counseling_privaty_unkindmaid_19_9,True,,1,shy2,,100,10,1.0,,privaty_m,d_counseling_privaty_unkindmaid_19_15,,Low_2,
d_counseling_privaty_unkindmaid_19_10,d_counseling_privaty_unkindmaid_19,Narration,0,privaty_m,Locale_Counseling:d_counseling_privaty_unkindmaid_19_10,False,,1,surprise,,black,black,1.0,,,,sfx_scn_heavytrip,,privaty_m
d_counseling_privaty_unkindmaid_19_11,d_counseling_privaty_unkindmaid_19,Speech,0,privaty_m,Locale_Counseling:d_counseling_privaty_unkindmaid_19_11,False,privaty_m,1,no,,100,100,1.0,,privaty_m,,,,
d_counseling_privaty_unkindmaid_19_12,d_counseling_privaty_unkindmaid_19,Self,0,privaty_m,Locale_Counseling:d_counseling_privaty_unkindmaid_19_12,False,,1,no,,100,100,1.0,,,,,,
d_counseling_privaty_unkindmaid_19_13,d_counseling_privaty_unkindmaid_19,Speech,0,privaty_m,Locale_Counseling:d_counseling_privaty_unkindmaid_19_13,True,,1,angry,,100,100,1.0,,privaty_m,,,Low_2,
d_counseling_privaty_unkindmaid_19_14,d_counseling_privaty_unkindmaid_19,Speech,0,privaty_m,Locale_Counseling:d_counseling_privaty_unkindmaid_19_14,True,,1,angry,,100,10,1.0,,privaty_m,d_counseling_privaty_unkindmaid_19_15,,,
d_counseling_privaty_unkindmaid_19_15,d_counseling_privaty_unkindmaid_19,Narration,0,privaty_m,Locale_Counseling:d_counseling_privaty_unkindmaid_19_15,True,,1,idle,none,10,10,1.0,,,,,,privaty_m
