id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_quiry_11_1,d_counseling_quiry_11,Speech,0,quiry,quiry,Locale_Counseling:d_counseling_quiry_11_1,True,CommanderRoom,S_10,S_10,1.0,bgm_story_backtonormal,,quiry,1,angry,
d_counseling_quiry_11_2,d_counseling_quiry_11,Speech,0,quiry,quiry,Locale_Counseling:d_counseling_quiry_11_2,True,,S_10,S_10,1.0,,,,1,angry,
d_counseling_quiry_11_3,d_counseling_quiry_11,Speech,0,quiry,quiry,Locale_Counseling:d_counseling_quiry_11_3,True,,S_10,S_10,1.0,,,,1,angry,
d_counseling_quiry_11_4,d_counseling_quiry_11,Choice,120,quiry,,Locale_Counseling:d_counseling_quiry_11_4,True,,S_10,S_10,1.0,,d_counseling_quiry_11_6,,1,angry,
d_counseling_quiry_11_5,d_counseling_quiry_11,Choice,100,quiry,,Locale_Counseling:d_counseling_quiry_11_5,True,,S_10,S_10,1.0,,d_counseling_quiry_11_9,,1,angry,
d_counseling_quiry_11_6,d_counseling_quiry_11,Speech,0,quiry,quiry,Locale_Counseling:d_counseling_quiry_11_6,True,,S_10,S_100,1.0,,,,1,delight,
d_counseling_quiry_11_7,d_counseling_quiry_11,Speech,0,quiry,quiry,Locale_Counseling:d_counseling_quiry_11_7,True,,S_100,S_100,1.0,,,,1,angry,
d_counseling_quiry_11_8,d_counseling_quiry_11,Speech,0,quiry,quiry,Locale_Counseling:d_counseling_quiry_11_8,True,,S_100,S_100,1.0,,d_counseling_quiry_11_13,,1,sad,
d_counseling_quiry_11_9,d_counseling_quiry_11,Speech,0,quiry,quiry,Locale_Counseling:d_counseling_quiry_11_9,True,,S_10,S_100,1.0,,,,1,sad,
d_counseling_quiry_11_10,d_counseling_quiry_11,Speech,0,quiry,quiry,Locale_Counseling:d_counseling_quiry_11_10,True,,S_100,S_100,1.0,,,,1,sad,
d_counseling_quiry_11_11,d_counseling_quiry_11,Speech,0,quiry,quiry,Locale_Counseling:d_counseling_quiry_11_11,True,,S_100,S_100,1.0,,,,1,sad,
d_counseling_quiry_11_12,d_counseling_quiry_11,Speech,0,quiry,quiry,Locale_Counseling:d_counseling_quiry_11_12,True,,S_100,S_100,1.0,,d_counseling_quiry_11_13,,1,sad,
d_counseling_quiry_11_13,d_counseling_quiry_11,Narration,0,quiry,,Locale_Counseling:d_counseling_quiry_11_13,True,none,S_100,S_100,1.0,,,,1,sad,quiry
