id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_milk_bloomingbunny_04_1,d_counseling_milk_bloomingbunny_04,Speech,0,milk_b,milk_b,Locale_Counseling:d_counseling_milk_bloomingbunny_04_1,True,CoinRushMainHall,10,10,1.0,bgm_story_backtonormal,,milk_b,1,no,
d_counseling_milk_bloomingbunny_04_2,d_counseling_milk_bloomingbunny_04,Speech,0,milk_b,milk_b,Locale_Counseling:d_counseling_milk_bloomingbunny_04_2,True,,10,10,1.0,,,,1,no,
d_counseling_milk_bloomingbunny_04_3,d_counseling_milk_bloomingbunny_04,Choice,120,milk_b,,Locale_Counseling:d_counseling_milk_bloomingbunny_04_3,False,,10,10,1.0,,d_counseling_milk_bloomingbunny_04_5,,1,no,
d_counseling_milk_bloomingbunny_04_4,d_counseling_milk_bloomingbunny_04,Choice,100,milk_b,,Locale_Counseling:d_counseling_milk_bloomingbunny_04_4,False,,10,10,1.0,,d_counseling_milk_bloomingbunny_04_9,,1,no,
d_counseling_milk_bloomingbunny_04_5,d_counseling_milk_bloomingbunny_04,Speech,0,milk_b,milk_b,Locale_Counseling:d_counseling_milk_bloomingbunny_04_5,True,,10,100,1.0,,,,1,idle,
d_counseling_milk_bloomingbunny_04_6,d_counseling_milk_bloomingbunny_04,Speech,0,milk_b,milk_b,Locale_Counseling:d_counseling_milk_bloomingbunny_04_6,True,,100,100,1.0,,,,1,idle,
d_counseling_milk_bloomingbunny_04_7,d_counseling_milk_bloomingbunny_04,Self,0,milk_b,,Locale_Counseling:d_counseling_milk_bloomingbunny_04_7,False,,100,100,1.0,,,,1,idle,
d_counseling_milk_bloomingbunny_04_8,d_counseling_milk_bloomingbunny_04,Speech,0,milk_b,milk_b,Locale_Counseling:d_counseling_milk_bloomingbunny_04_8,True,,100,100,1.0,,d_counseling_milk_bloomingbunny_04_12,,1,delight,
d_counseling_milk_bloomingbunny_04_9,d_counseling_milk_bloomingbunny_04,Speech,0,milk_b,milk_b,Locale_Counseling:d_counseling_milk_bloomingbunny_04_9,True,,10,100,0.7,,,,1,angry1,
d_counseling_milk_bloomingbunny_04_10,d_counseling_milk_bloomingbunny_04,Speech,0,milk_b,milk_b,Locale_Counseling:d_counseling_milk_bloomingbunny_04_10,True,,100,100,1.0,,,,1,angry1,
d_counseling_milk_bloomingbunny_04_11,d_counseling_milk_bloomingbunny_04,Speech,0,milk_b,milk_b,Locale_Counseling:d_counseling_milk_bloomingbunny_04_11,True,,100,100,1.0,,d_counseling_milk_bloomingbunny_04_12,,1,angry2,
d_counseling_milk_bloomingbunny_04_12,d_counseling_milk_bloomingbunny_04,Narration,0,milk_b,,Locale_Counseling:d_counseling_milk_bloomingbunny_04_12,False,none,100,100,1.0,,,,1,idle,milk_b
