id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_cinderella_09_1,d_counseling_cinderella_09,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_09_1,True,CountryVillage_d,S_10,S_10,1.0,bgm_story_backtonormal,,cinderella,1,idle,
d_counseling_cinderella_09_2,d_counseling_cinderella_09,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_09_2,True,,S_10,S_10,1.0,,,,1,idle,
d_counseling_cinderella_09_3,d_counseling_cinderella_09,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_09_3,True,,S_10,S_10,1.0,,,,1,smile,
d_counseling_cinderella_09_4,d_counseling_cinderella_09,Choice,100,Choice,,Locale_Counseling:d_counseling_cinderella_09_4,False,,S_10,S_10,1.0,,d_counseling_cinderella_09_6,,1,smile,
d_counseling_cinderella_09_5,d_counseling_cinderella_09,Choice,120,Choice,,Locale_Counseling:d_counseling_cinderella_09_5,False,,S_10,S_10,1.0,,d_counseling_cinderella_09_11,,1,smile,
d_counseling_cinderella_09_6,d_counseling_cinderella_09,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_09_6,True,,S_10,S_100,1.0,,,,1,idle,
d_counseling_cinderella_09_7,d_counseling_cinderella_09,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_09_7,True,,S_100,S_100,1.0,,,,1,idle,
d_counseling_cinderella_09_8,d_counseling_cinderella_09,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_09_8,True,,S_100,S_100,1.0,,,,1,angry,
d_counseling_cinderella_09_9,d_counseling_cinderella_09,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_09_9,True,,S_100,S_100,1.0,,,,1,angry,
d_counseling_cinderella_09_10,d_counseling_cinderella_09,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_09_10,True,,S_100,S_100,1.0,,d_counseling_cinderella_09_16,,1,angry,
d_counseling_cinderella_09_11,d_counseling_cinderella_09,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_09_11,True,,S_10,S_100,1.0,,,,1,surprise,
d_counseling_cinderella_09_12,d_counseling_cinderella_09,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_09_12,True,,S_100,S_100,1.0,,,,1,smile,
d_counseling_cinderella_09_13,d_counseling_cinderella_09,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_09_13,True,,S_100,S_100,1.0,,,,1,idle,
d_counseling_cinderella_09_14,d_counseling_cinderella_09,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_09_14,True,,S_100,S_100,1.0,,,,1,smile,
d_counseling_cinderella_09_15,d_counseling_cinderella_09,Speech,0,cinderella,cinderella,Locale_Counseling:d_counseling_cinderella_09_15,True,,S_100,S_100,1.0,,d_counseling_cinderella_09_16,,1,delight,
d_counseling_cinderella_09_16,d_counseling_cinderella_09,Narration,0,Narration,Narration,Locale_Counseling:d_counseling_cinderella_09_16,False,none,S_100,S_100,1.0,,,,1,idle,cinderella
